a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100000E+03   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.181723E+03   0.000000E+00   0.000000E+00   0.181723E+03  -0.363446E+03
   0.100000E+03   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.125884E-02   0.100000E-02   0.176793E-02   0.179607E+03   0.000000E+00   0.000000E+00   0.179607E+03  -0.359214E+03
   0.101102E+03   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.100000E-02   0.125884E-02   0.100000E-02   0.176793E-02   0.179335E+03   0.000000E+00   0.000000E+00   0.179335E+03  -0.358670E+03
   0.101102E+03   0.100000E-02   0.496885E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.166542E-02   0.100000E-02   0.183030E-02   0.179394E+03   0.000000E+00   0.000000E+00   0.179394E+03  -0.358788E+03
   0.101102E+03   0.100000E-02   0.496885E-03   0.100000E-02   0.100000E-02   0.100000E-02   0.142681E-02   0.100000E-02   0.183030E-02   0.179803E+03   0.000000E+00   0.000000E+00   0.179803E+03  -0.359606E+03
   0.101102E+03   0.100000E-02   0.331850E-03   0.100000E-02   0.222772E-02   0.100000E-02   0.142681E-02   0.100000E-02   0.100109E-02   0.179593E+03   0.000000E+00   0.000000E+00   0.179593E+03  -0.359186E+03
   0.101102E+03   0.100000E-02   0.331850E-03   0.100000E-02   0.211380E-02   0.100000E-02   0.142681E-02   0.282682E-04   0.100109E-02   0.180642E+03   0.000000E+00   0.000000E+00   0.180642E+03  -0.361284E+03
   0.101102E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.211380E-02   0.100000E-02   0.142681E-02   0.282682E-04   0.100109E-02   0.181090E+03   0.000000E+00   0.000000E+00   0.181090E+03  -0.362180E+03
   0.101102E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.211380E-02   0.100000E-02   0.142681E-02   0.282682E-04   0.100109E-02   0.181090E+03   0.000000E+00   0.000000E+00   0.181090E+03  -0.362180E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.211380E-02   0.100000E-02   0.142681E-02   0.282682E-04   0.100109E-02   0.182117E+03   0.000000E+00   0.000000E+00   0.182117E+03  -0.364234E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.211380E-02   0.100000E-02   0.142681E-02   0.282682E-04   0.100109E-02   0.182117E+03   0.000000E+00   0.000000E+00   0.182117E+03  -0.364234E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.211380E-02   0.298432E-02   0.142681E-02   0.282682E-04   0.100109E-02   0.178873E+03   0.000000E+00   0.000000E+00   0.178873E+03  -0.357746E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.211380E-02   0.306323E-02   0.142681E-02   0.282682E-04   0.100109E-02   0.178777E+03   0.000000E+00   0.000000E+00   0.178777E+03  -0.357554E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.211380E-02   0.810300E-02   0.142681E-02   0.282682E-04   0.100109E-02   0.175037E+03   0.000000E+00   0.000000E+00   0.175037E+03  -0.350074E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.211380E-02   0.810300E-02   0.170388E-03   0.282682E-04   0.100109E-02   0.174920E+03   0.000000E+00   0.000000E+00   0.174920E+03  -0.349840E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.170010E-02   0.124466E-01   0.170388E-03   0.282682E-04   0.100109E-02   0.173875E+03   0.000000E+00   0.000000E+00   0.173875E+03  -0.347750E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.170010E-02   0.745243E-02   0.170388E-03   0.282682E-04   0.100109E-02   0.175907E+03   0.000000E+00   0.000000E+00   0.175907E+03  -0.351814E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.170010E-02   0.563800E-02   0.170388E-03   0.282682E-04   0.124888E-02   0.176415E+03   0.000000E+00   0.000000E+00   0.176415E+03  -0.352830E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.170010E-02   0.563800E-02   0.170388E-03   0.282682E-04   0.124888E-02   0.176415E+03   0.000000E+00   0.000000E+00   0.176415E+03  -0.352830E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.170010E-02   0.563800E-02   0.170388E-03   0.282682E-04   0.124888E-02   0.176415E+03   0.000000E+00   0.000000E+00   0.176415E+03  -0.352830E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.170010E-02   0.563800E-02   0.170388E-03   0.282682E-04   0.124888E-02   0.176415E+03   0.000000E+00   0.000000E+00   0.176415E+03  -0.352830E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.442936E-03   0.170010E-02   0.401212E-02   0.110099E-02   0.327432E-03   0.124888E-02   0.178534E+03   0.000000E+00   0.000000E+00   0.178534E+03  -0.357068E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.188616E-02   0.578830E-05   0.413282E-02   0.110099E-02   0.602732E-03   0.124888E-02   0.175858E+03   0.000000E+00   0.000000E+00   0.175858E+03  -0.351716E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.227518E-02   0.175497E-02   0.448116E-02   0.974446E-03   0.602732E-03   0.124888E-02   0.175172E+03   0.000000E+00   0.000000E+00   0.175172E+03  -0.350344E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.227518E-02   0.199976E-02   0.412826E-03   0.974446E-03   0.602732E-03   0.124888E-02   0.180263E+03   0.000000E+00   0.000000E+00   0.180263E+03  -0.360526E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.227518E-02   0.199976E-02   0.412826E-03   0.974446E-03   0.602732E-03   0.124888E-02   0.180263E+03   0.000000E+00   0.000000E+00   0.180263E+03  -0.360526E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.227518E-02   0.199976E-02   0.412826E-03   0.974446E-03   0.255491E-02   0.124888E-02   0.176651E+03   0.000000E+00   0.000000E+00   0.176651E+03  -0.353302E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.227518E-02   0.199976E-02   0.412826E-03   0.974446E-03   0.255491E-02   0.464736E-04   0.178664E+03   0.000000E+00   0.000000E+00   0.178664E+03  -0.357328E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.227518E-02   0.183829E-02   0.412826E-03   0.974446E-03   0.255491E-02   0.464736E-04   0.178920E+03   0.000000E+00   0.000000E+00   0.178920E+03  -0.357840E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.137066E-02   0.183829E-02   0.412826E-03   0.974446E-03   0.255491E-02   0.464736E-04   0.180488E+03   0.000000E+00   0.000000E+00   0.180488E+03  -0.360976E+03
   0.100273E+03   0.841188E-03   0.331850E-03   0.137066E-02   0.183829E-02   0.462105E-03   0.974446E-03   0.255491E-02   0.464736E-04   0.180492E+03   0.000000E+00   0.000000E+00   0.180492E+03  -0.360984E+03
   0.998624E+02   0.841188E-03   0.331850E-03   0.137066E-02   0.179549E-02   0.462105E-03   0.104723E-02   0.255491E-02   0.464736E-04   0.180350E+03   0.000000E+00   0.000000E+00   0.180350E+03  -0.360700E+03
   0.991030E+02   0.841188E-03   0.331850E-03   0.137066E-02   0.179549E-02   0.462105E-03   0.510055E-03   0.255491E-02   0.464736E-04   0.179953E+03   0.000000E+00   0.000000E+00   0.179953E+03  -0.359906E+03
   0.991030E+02   0.841188E-03   0.331850E-03   0.137066E-02   0.179549E-02   0.462105E-03   0.510055E-03   0.255491E-02   0.464736E-04   0.179953E+03   0.000000E+00   0.000000E+00   0.179953E+03  -0.359906E+03
   0.991030E+02   0.841188E-03   0.331850E-03   0.137066E-02   0.179549E-02   0.722387E-03   0.510055E-03   0.255491E-02   0.464736E-04   0.179872E+03   0.000000E+00   0.000000E+00   0.179872E+03  -0.359744E+03
   0.991030E+02   0.149873E-02   0.331850E-03   0.137066E-02   0.179549E-02   0.722387E-03   0.510055E-03   0.308759E-02   0.464736E-04   0.177802E+03   0.000000E+00   0.000000E+00   0.177802E+03  -0.355604E+03
   0.987978E+02   0.149873E-02   0.331850E-03   0.137066E-02   0.179549E-02   0.722387E-03   0.510055E-03   0.308759E-02   0.570380E-05   0.177306E+03   0.000000E+00   0.000000E+00   0.177306E+03  -0.354612E+03
