               a0_min         Y1_intercept   Y2_intercept   Y3_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.996684E+02   0.127118E-04   0.115538E-04   0.440442E-05
Maximum           0.102710E+03   0.263943E-02   0.246029E-02   0.819839E-03
Range             0.304160E+01   0.262672E-02   0.244874E-02   0.815435E-03
Mean              0.101082E+03   0.464498E-03   0.276339E-03   0.158163E-03
Median            0.101217E+03   0.382048E-03   0.247270E-03   0.119330E-03
Q10%              0.100366E+03   0.576160E-04   0.213328E-04   0.175051E-04
Q25%              0.100710E+03   0.166882E-03   0.944462E-04   0.755052E-04
Q75%              0.101438E+03   0.628784E-03   0.357211E-03   0.240578E-03
Q90%              0.101766E+03   0.824698E-03   0.549270E-03   0.285806E-03
St.Dev.           0.574013E+00   0.424982E-03   0.288898E-03   0.122768E-03
Variance          0.329491E+00   0.180609E-06   0.834620E-07   0.150721E-07
CV                0.567867E-02   0.914927E+00   0.104545E+01   0.776217E+00
Skewness         -0.490098E-02   0.236807E+01   0.403816E+01   0.120097E+01
Kurtosis         -0.709244E-01   0.873800E+01   0.261633E+02   0.249139E+01
MaxPost           0.100968E+03   0.559175E-04   0.335563E-04   0.175051E-04
