a0_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.102710E+03   0.769890E-03   0.369649E-03   0.641821E-03   0.143660E+03   0.000000E+00   0.000000E+00   0.143660E+03  -0.287320E+03
   0.102710E+03   0.769890E-03   0.369649E-03   0.957166E-04   0.144933E+03   0.000000E+00   0.000000E+00   0.144933E+03  -0.289866E+03
   0.101281E+03   0.769890E-03   0.378544E-03   0.957166E-04   0.148591E+03   0.000000E+00   0.000000E+00   0.148591E+03  -0.297182E+03
   0.101281E+03   0.769890E-03   0.378544E-03   0.957166E-04   0.148591E+03   0.000000E+00   0.000000E+00   0.148591E+03  -0.297182E+03
   0.101281E+03   0.154469E-02   0.449299E-03   0.957166E-04   0.145250E+03   0.000000E+00   0.000000E+00   0.145250E+03  -0.290500E+03
   0.101281E+03   0.154469E-02   0.449299E-03   0.957166E-04   0.145250E+03   0.000000E+00   0.000000E+00   0.145250E+03  -0.290500E+03
   0.101281E+03   0.263943E-02   0.449299E-03   0.957166E-04   0.141850E+03   0.000000E+00   0.000000E+00   0.141850E+03  -0.283700E+03
   0.101281E+03   0.263943E-02   0.449299E-03   0.957166E-04   0.141850E+03   0.000000E+00   0.000000E+00   0.141850E+03  -0.283700E+03
   0.101281E+03   0.263943E-02   0.104188E-03   0.957166E-04   0.143232E+03   0.000000E+00   0.000000E+00   0.143232E+03  -0.286464E+03
   0.101281E+03   0.263943E-02   0.104188E-03   0.957166E-04   0.143232E+03   0.000000E+00   0.000000E+00   0.143232E+03  -0.286464E+03
   0.101281E+03   0.263943E-02   0.104188E-03   0.957166E-04   0.143232E+03   0.000000E+00   0.000000E+00   0.143232E+03  -0.286464E+03
   0.100607E+03   0.263943E-02   0.530765E-03   0.957166E-04   0.141400E+03   0.000000E+00   0.000000E+00   0.141400E+03  -0.282800E+03
   0.100607E+03   0.146932E-02   0.530765E-03   0.957166E-04   0.145069E+03   0.000000E+00   0.000000E+00   0.145069E+03  -0.290138E+03
   0.100607E+03   0.126837E-02   0.530765E-03   0.957166E-04   0.145822E+03   0.000000E+00   0.000000E+00   0.145822E+03  -0.291644E+03
   0.100607E+03   0.126837E-02   0.530765E-03   0.957166E-04   0.145822E+03   0.000000E+00   0.000000E+00   0.145822E+03  -0.291644E+03
   0.100607E+03   0.126837E-02   0.530765E-03   0.957166E-04   0.145822E+03   0.000000E+00   0.000000E+00   0.145822E+03  -0.291644E+03
   0.100607E+03   0.126837E-02   0.944462E-04   0.128101E-03   0.147126E+03   0.000000E+00   0.000000E+00   0.147126E+03  -0.294252E+03
