a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.102654E+03  0.747297E+01  0.124162E+02  0.172963E+02  0.530874E+01  0.100000E-02  0.754283E-03  0.107784E-02  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.500716E-02  0.133761E+03
  0.103205E+03  0.747297E+01  0.361299E+00  0.136077E+02 -0.315807E+01  0.100000E-02  0.110262E-02  0.951289E-03  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.500716E-02  0.131680E+03
  0.103205E+03  0.747297E+01  0.377550E+01  0.136077E+02 -0.858157E+00  0.100000E-02  0.110262E-02  0.951289E-03  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.500716E-02  0.132573E+03
  0.103205E+03  0.415933E+01  0.986232E+01  0.868342E+01  0.126246E+02  0.100000E-02  0.110262E-02  0.290347E-02  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.386567E-02  0.131704E+03
  0.103027E+03  0.415933E+01  0.986232E+01  0.868342E+01  0.102198E+02  0.100000E-02  0.110262E-02  0.427771E-02  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.484111E-03  0.135009E+03
  0.103027E+03  0.415933E+01  0.123138E+02  0.868342E+01  0.831554E+01  0.100000E-02  0.110262E-02  0.427771E-02  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.484111E-03  0.134663E+03
  0.103027E+03  0.425789E+01  0.123138E+02  0.104604E+02  0.831554E+01  0.100000E-02  0.110262E-02  0.427771E-02  0.198670E-02  0.134959E-03  0.113515E-02  0.120968E-02  0.484111E-03  0.134590E+03
  0.102183E+03  0.425789E+01 -0.135929E+01  0.220179E+02  0.147401E+01  0.100000E-02  0.110262E-02  0.427771E-02  0.198670E-02  0.134959E-03  0.113515E-02  0.120968E-02  0.484111E-03  0.134724E+03
  0.102183E+03  0.425789E+01 -0.251995E+01  0.739480E+01 -0.559945E+01  0.100000E-02  0.110262E-02  0.453800E-02  0.198670E-02  0.134959E-03  0.113515E-02  0.120968E-02  0.121471E-02  0.133193E+03
  0.102183E+03  0.344252E+01 -0.228354E+01  0.141359E+02 -0.453409E+01  0.100000E-02  0.933088E-03  0.453800E-02  0.147163E-02  0.134959E-03  0.113515E-02  0.120968E-02  0.121471E-02  0.134309E+03
  0.102102E+03  0.344252E+01  0.720260E+00  0.975098E+00  0.399416E+00  0.100000E-02  0.933088E-03  0.995711E-03  0.147163E-02  0.134959E-03  0.113515E-02  0.120968E-02  0.121471E-02  0.138207E+03
  0.100576E+03  0.344252E+01 -0.116099E+01  0.975098E+00  0.152617E+01  0.106598E-02  0.933088E-03  0.808315E-03  0.147163E-02  0.134959E-03  0.113515E-02  0.120968E-02  0.121471E-02  0.138766E+03
  0.100576E+03  0.344252E+01  0.631374E+01  0.242030E+01  0.122457E+02  0.206372E-02  0.933088E-03  0.808315E-03  0.147163E-02  0.134959E-03  0.113515E-02  0.120968E-02  0.121471E-02  0.136361E+03
