               a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.998690E+02  -0.151404E+02  -0.218353E+02  -0.607955E+02  -0.253387E+02   0.900867E-05   0.306866E-04   0.415004E-04   0.505628E-04   0.992460E-06   0.426286E-05   0.589938E-05   0.198836E-04
Maximum           0.112956E+03   0.372764E+02   0.598417E+02   0.514902E+02   0.636158E+02   0.647096E-02   0.775190E-02   0.399190E-02   0.691177E-02   0.648718E-02   0.699235E-02   0.923093E-02   0.115423E-01
Range             0.130870E+02   0.524168E+02   0.816770E+02   0.112286E+03   0.889545E+02   0.646195E-02   0.772121E-02   0.395040E-02   0.686121E-02   0.648619E-02   0.698809E-02   0.922503E-02   0.115224E-01
Mean              0.105213E+03   0.363333E+01   0.157758E+02   0.863543E+00   0.223791E+02   0.641069E-03   0.775491E-03   0.689133E-03   0.781503E-03   0.555601E-03   0.985045E-03   0.109998E-02   0.966817E-03
Median            0.104904E+03   0.130992E+01   0.144678E+02   0.130321E+01   0.242541E+02   0.393382E-03   0.354798E-03   0.509244E-03   0.437811E-03   0.329263E-03   0.700549E-03   0.688861E-03   0.641544E-03
Q10%              0.101356E+03  -0.846633E+01  -0.497543E+01  -0.422401E+02  -0.543039E+01   0.109804E-03   0.773918E-04   0.755949E-04   0.131317E-03   0.549099E-04   0.140620E-03   0.185355E-03   0.161781E-03
Q25%              0.103025E+03  -0.184498E+01   0.382496E+01  -0.112600E+02   0.747348E+01   0.149866E-03   0.128044E-03   0.145364E-03   0.260111E-03   0.174297E-03   0.280276E-03   0.335802E-03   0.395821E-03
Q75%              0.107142E+03   0.810071E+01   0.257582E+02   0.170044E+02   0.378013E+02   0.646518E-03   0.921640E-03   0.838959E-03   0.845183E-03   0.694502E-03   0.136931E-02   0.135752E-02   0.128256E-02
Q90%              0.110351E+03   0.218186E+02   0.410351E+02   0.365697E+02   0.461130E+02   0.152509E-02   0.184654E-02   0.169558E-02   0.193419E-02   0.108886E-02   0.237973E-02   0.245082E-02   0.216213E-02
St.Dev.           0.314706E+01   0.104008E+02   0.170725E+02   0.260897E+02   0.193299E+02   0.867389E-03   0.118255E-02   0.769466E-03   0.896252E-03   0.723031E-03   0.948881E-03   0.124726E-02   0.104087E-02
Variance          0.990401E+01   0.108177E+03   0.291470E+03   0.680674E+03   0.373647E+03   0.752363E-06   0.139843E-05   0.592078E-06   0.803268E-06   0.522774E-06   0.900375E-06   0.155566E-05   0.108342E-05
CV                0.299115E-01   0.286261E+01   0.108219E+01   0.302124E+02   0.863752E+00   0.135304E+01   0.152491E+01   0.111657E+01   0.114683E+01   0.130135E+01   0.963287E+00   0.113390E+01   0.107660E+01
Skewness          0.584222E+00   0.804254E+00   0.492463E+00  -0.352225E+00  -0.187812E+00   0.360652E+01   0.322870E+01   0.198642E+01   0.240512E+01   0.435899E+01   0.203247E+01   0.326227E+01   0.387114E+01
Kurtosis         -0.396658E+00   0.406280E+00  -0.633387E-01  -0.232505E+00  -0.803348E+00   0.162678E+02   0.117534E+02   0.399997E+01   0.771049E+01   0.259415E+02   0.670422E+01   0.144492E+02   0.280996E+02
MaxPost           0.103083E+03   0.145672E+01   0.120810E+02   0.401047E+01   0.167448E+02   0.393382E-03   0.118767E-03   0.345658E-03   0.437811E-03   0.502042E-03   0.105884E-03   0.151542E-03   0.477973E-03
