a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.104075E+03  -0.198464E+00   0.236141E+02   0.437983E+01   0.183851E+02   0.213320E-03   0.177620E-03   0.384255E-03   0.398182E-03   0.592241E-03   0.556315E-03   0.679745E-03   0.347957E-03   0.144896E+03
   0.104023E+03  -0.198464E+00   0.183228E+02   0.437983E+01   0.226265E+02   0.213320E-03   0.177620E-03   0.384255E-03   0.398182E-03   0.218385E-03   0.556315E-03   0.601528E-03   0.347957E-03   0.147212E+03
   0.104023E+03  -0.300192E-01   0.157721E+02   0.437983E+01   0.404106E+02   0.213320E-03   0.775190E-02   0.208425E-03   0.398182E-03   0.218385E-03   0.556315E-03   0.601528E-03   0.347957E-03   0.138603E+03
   0.104023E+03  -0.300192E-01   0.157721E+02   0.437983E+01   0.328270E+02   0.677414E-03   0.469940E-02   0.208425E-03   0.398182E-03   0.218385E-03   0.556315E-03   0.601528E-03   0.347957E-03   0.141167E+03
   0.103527E+03  -0.300192E-01   0.199111E+02   0.140085E+01   0.293592E+02   0.677414E-03   0.542888E-02   0.208425E-03   0.133117E-03   0.218385E-03   0.556315E-03   0.601528E-03   0.347957E-03   0.140200E+03
   0.103527E+03  -0.300192E-01   0.199111E+02   0.130321E+01   0.204920E+02   0.677414E-03   0.542888E-02   0.208425E-03   0.133117E-03   0.218385E-03   0.556315E-03   0.601528E-03   0.347957E-03   0.140512E+03
   0.103527E+03  -0.300192E-01   0.147391E+02   0.130321E+01   0.160621E+02   0.677414E-03   0.542888E-02   0.208425E-03   0.133117E-03   0.218385E-03   0.416715E-03   0.239975E-03   0.347957E-03   0.142601E+03
   0.103527E+03  -0.255180E+01   0.147391E+02   0.130321E+01   0.227831E+02   0.793713E-03   0.537831E-02   0.208425E-03   0.133117E-03   0.218385E-03   0.416715E-03   0.520986E-04   0.347957E-03   0.141308E+03
   0.103527E+03  -0.255180E+01   0.147391E+02  -0.100479E+02   0.190131E+02   0.194212E-03   0.542043E-02   0.208425E-03   0.133117E-03   0.218385E-03   0.416715E-03   0.852271E-03   0.347957E-03   0.141068E+03
   0.103527E+03  -0.250815E+01   0.170159E+02  -0.100479E+02   0.194130E+02   0.310427E-03   0.625751E-02   0.208425E-03   0.133117E-03   0.218385E-03   0.416715E-03   0.858955E-03   0.347957E-03   0.139951E+03
   0.103527E+03  -0.472275E+01   0.539868E+01  -0.102557E+02   0.195198E+02   0.310427E-03   0.575376E-02   0.208425E-03   0.133117E-03   0.218385E-03   0.529990E-03   0.858955E-03   0.399562E-02   0.135434E+03
   0.103527E+03  -0.615429E+01   0.539338E+01   0.454171E+01   0.257631E+02   0.149866E-03   0.322968E-03   0.208425E-03   0.727972E-03   0.218385E-03   0.529990E-03   0.868432E-03   0.399562E-02   0.137668E+03
   0.103527E+03   0.130992E+01   0.539338E+01  -0.303155E+01   0.257631E+02   0.149866E-03   0.322968E-03   0.208425E-03   0.117370E-03   0.218385E-03   0.529990E-03   0.271428E-03   0.263078E-02   0.144040E+03
   0.103527E+03   0.130992E+01   0.539338E+01   0.251953E+01   0.407469E+02   0.149866E-03   0.322968E-03   0.208425E-03   0.117370E-03   0.218385E-03   0.260283E-02   0.271428E-03   0.193825E-02   0.140133E+03
   0.103527E+03   0.130992E+01   0.539338E+01   0.251953E+01   0.191236E+02   0.149866E-03   0.322968E-03   0.208425E-03   0.117370E-03   0.218385E-03   0.260283E-02   0.271428E-03   0.182815E-02   0.142064E+03
   0.103527E+03   0.144271E+01   0.114341E+02  -0.771566E+01   0.204323E+02   0.149866E-03   0.116481E-03   0.208425E-03   0.348894E-03   0.218385E-03   0.260283E-02   0.271428E-03   0.756924E-03   0.145374E+03
   0.103527E+03   0.144271E+01   0.973172E+01  -0.771566E+01   0.558469E+01   0.149866E-03   0.116481E-03   0.208425E-03   0.348894E-03   0.218385E-03   0.441892E-03   0.271428E-03   0.209556E-02   0.144190E+03
   0.103527E+03   0.144271E+01   0.973172E+01  -0.771566E+01   0.192546E+02   0.149866E-03   0.116481E-03   0.208425E-03   0.348894E-03   0.218385E-03   0.446497E-03   0.983695E-04   0.209556E-02   0.145035E+03
   0.102330E+03   0.144271E+01   0.781764E+01  -0.750701E+01   0.174842E+02   0.149866E-03   0.116481E-03   0.208425E-03   0.348894E-03   0.218385E-03   0.446497E-03   0.316059E-03   0.115423E-01   0.140716E+03
   0.102330E+03   0.144271E+01   0.632982E+01   0.111257E+02   0.176621E+02   0.149866E-03   0.234675E-03   0.208425E-03   0.348894E-03   0.218385E-03   0.446497E-03   0.316059E-03   0.321165E-02   0.144654E+03
   0.102330E+03   0.373441E+01   0.509847E+01   0.111257E+02   0.176621E+02   0.149866E-03   0.234675E-03   0.208425E-03   0.348894E-03   0.218385E-03   0.446497E-03   0.316059E-03   0.321165E-02   0.145413E+03
   0.102330E+03   0.316031E+01   0.521134E+01   0.111257E+02   0.205002E+02   0.149866E-03   0.234675E-03   0.208425E-03   0.348894E-03   0.218385E-03   0.446497E-03   0.316059E-03   0.321165E-02   0.145159E+03
   0.102330E+03   0.316031E+01   0.521134E+01   0.111257E+02   0.205002E+02   0.149866E-03   0.234675E-03   0.208425E-03   0.348894E-03   0.218385E-03   0.446497E-03   0.316059E-03   0.321165E-02   0.145159E+03
   0.102330E+03   0.538208E+01   0.808256E+01   0.442847E+01   0.854272E+01   0.149866E-03   0.234675E-03   0.964624E-03   0.348894E-03   0.218385E-03   0.446497E-03   0.316059E-03   0.146161E-02   0.146309E+03
