MNT_SURFAC;ZLIDAR;X;Y
248.88000;248.967;886814.55;6559266.38
248.88000;249.014;886813.44;6559264.72
248.88000;249.014;886812.33;6559263.06
248.88000;249.014;886811.23;6559261.40
248.88000;248.992;886810.12;6559259.74
248.87000;248.992;886809.02;6559258.08
248.87000;248.992;886807.91;6559256.43
248.85000;248.951;886806.80;6559254.77
248.86000;248.951;886805.70;6559253.11
248.86000;248.985;886804.59;6559251.45
248.86000;248.985;886803.48;6559249.79
248.85000;248.990;886802.38;6559248.13
248.85000;248.990;886801.27;6559246.47
248.86000;248.949;886800.16;6559244.81
248.87000;249.014;886799.06;6559243.15
248.87000;248.968;886797.95;6559241.49
248.87000;248.971;886796.85;6559239.83
248.86000;248.971;886795.74;6559238.17
248.88000;248.971;886794.63;6559236.51
248.87000;248.976;886793.53;6559234.85
248.89000;248.944;886792.42;6559233.19
248.90000;248.944;886791.31;6559231.53
248.90000;248.969;886790.21;6559229.87
248.90000;248.962;886789.10;6559228.21
248.90000;248.972;886788.00;6559226.56
248.89000;248.981;886786.89;6559224.90
248.87000;248.969;886785.78;6559223.24
248.86000;248.969;886784.68;6559221.58
248.86000;248.954;886783.57;6559219.92
248.87000;248.955;886782.46;6559218.26
248.88000;248.973;886781.36;6559216.60
248.88000;248.964;886780.25;6559214.94
248.89000;248.979;886779.15;6559213.28
248.92000;248.877;886778.04;6559211.62
248.91000;249.007;886776.93;6559209.96
248.90000;248.945;886775.83;6559208.30
248.89000;248.990;886774.72;6559206.64
248.90000;249.000;886773.61;6559204.98
248.90000;249.000;886772.51;6559203.32
248.91000;248.952;886771.40;6559201.66
248.90000;248.952;886770.29;6559200.00
248.91000;248.991;886769.19;6559198.34
248.91000;248.964;886768.08;6559196.69
248.90000;248.964;886766.98;6559195.03
248.89000;248.944;886765.87;6559193.37
248.90000;248.985;886764.76;6559191.71
248.89000;248.973;886763.66;6559190.05
248.89000;248.973;886762.55;6559188.39
248.90000;249.008;886761.44;6559186.73
248.89000;248.960;886760.09;6559185.26
248.90000;248.935;886758.73;6559183.80
248.90000;248.935;886757.38;6559182.34
248.88000;248.974;886756.02;6559180.87
248.90000;248.935;886754.67;6559179.41
248.90000;248.950;886753.31;6559177.94
248.90000;248.977;886751.95;6559176.48
248.90000;249.011;886750.60;6559175.01
248.89000;248.957;886749.24;6559173.55
248.89000;248.941;886747.89;6559172.09
248.89000;248.981;886746.53;6559170.62
248.89000;248.981;886745.18;6559169.16
248.91000;248.936;886743.82;6559167.69
248.91000;248.960;886742.46;6559166.23
248.91000;248.960;886741.11;6559164.77
248.90000;248.925;886739.75;6559163.30
248.90000;248.946;886738.40;6559161.84
248.92000;248.971;886737.04;6559160.37
248.91000;248.948;886735.68;6559158.91
248.92000;248.979;886734.33;6559157.44
248.92000;248.940;886732.97;6559155.98
248.92000;248.921;886731.62;6559154.52
248.91000;248.921;886730.26;6559153.05
248.90000;248.970;886728.91;6559151.59
248.90000;248.964;886727.55;6559150.12
248.91000;248.959;886726.19;6559148.66
248.92000;248.934;886724.84;6559147.19
248.91000;248.966;886723.48;6559145.73
248.91000;248.936;886722.13;6559144.27
248.90000;248.958;886720.77;6559142.80
248.90000;248.947;886719.42;6559141.34
248.90000;248.969;886718.06;6559139.87
248.90000;248.988;886716.70;6559138.41
248.90000;248.951;886715.35;6559136.94
248.90000;248.941;886713.99;6559135.48
248.87000;248.968;886712.64;6559134.02
248.88000;248.998;886711.28;6559132.55
248.92000;248.955;886709.93;6559131.09
248.91000;248.962;886708.57;6559129.62
248.90000;248.962;886707.21;6559128.16
248.90000;248.941;886705.86;6559126.70
248.89000;248.968;886704.50;6559125.23
248.92000;248.942;886703.15;6559123.77
248.92000;248.949;886701.79;6559122.30
248.90000;248.960;886700.43;6559120.84
248.89000;248.960;886699.08;6559119.37
248.88000;248.923;886697.72;6559117.91
248.87000;248.955;886696.37;6559116.45
248.85000;248.953;886695.01;6559114.98
248.82000;248.917;886693.66;6559113.52
248.79000;248.917;886692.30;6559112.05
248.74000;248.937;886690.94;6559110.59
248.78000;248.956;886689.59;6559109.12
248.81000;248.956;886688.23;6559107.66
248.87000;248.984;886686.88;6559106.20
248.93000;248.984;886685.52;6559104.73
248.93000;248.940;886684.17;6559103.27
248.93000;248.967;886682.81;6559101.80
248.92000;248.940;886681.45;6559100.34
248.91000;248.965;886680.10;6559098.87
248.93000;249.001;886678.74;6559097.41
248.93000;248.976;886677.39;6559095.95
248.93000;248.976;886676.03;6559094.48
248.93000;248.948;886674.68;6559093.02
248.93000;248.964;886673.32;6559091.55
248.91000;248.932;886671.96;6559090.09
248.93000;248.968;886670.61;6559088.63
248.92000;248.987;886669.25;6559087.16
248.93000;248.987;886667.90;6559085.70
248.93000;248.931;886666.54;6559084.23
248.93000;248.954;886665.18;6559082.77
248.92000;248.900;886663.83;6559081.30
248.91000;248.974;886662.47;6559079.84
248.91000;248.974;886661.12;6559078.38
248.92000;248.943;886659.76;6559076.91
248.91000;248.947;886658.41;6559075.45
248.91000;248.947;886657.05;6559073.98
248.92000;248.909;886655.69;6559072.52
248.92000;248.954;886654.34;6559071.05
248.92000;248.935;886652.98;6559069.59
248.92000;248.935;886651.63;6559068.13
248.92000;248.980;886650.27;6559066.66
248.92000;248.945;886648.92;6559065.20
248.84000;248.945;886647.56;6559063.73
248.81000;248.942;886646.20;6559062.27
248.83000;248.937;886644.37;6559061.50
248.86000;248.909;886642.53;6559060.73
248.89000;248.901;886640.70;6559059.96
248.89000;248.931;886638.86;6559059.20
248.88000;248.931;886637.03;6559058.43
248.86000;248.945;886635.19;6559057.66
248.85000;248.941;886633.36;6559056.89
248.85000;248.927;886631.52;6559056.12
248.86000;248.927;886629.69;6559055.35
248.85000;248.927;886627.85;6559054.59
248.85000;248.893;886626.02;6559053.82
248.84000;248.946;886624.18;6559053.05
248.77000;248.946;886622.35;6559052.28
248.67000;248.946;886620.51;6559051.51
248.68000;248.926;886618.67;6559050.75
248.74000;248.946;886616.84;6559049.98
248.76000;248.940;886615.00;6559049.21
248.80000;248.937;886613.17;6559048.44
248.81000;248.937;886611.33;6559047.67
248.83000;248.937;886609.50;6559046.90
248.84000;248.901;886607.66;6559046.14
248.83000;248.901;886605.83;6559045.37
248.84000;248.956;886603.99;6559044.60
248.86000;248.901;886602.16;6559043.83
248.86000;248.901;886600.32;6559043.06
248.86000;248.906;886598.49;6559042.29
248.85000;248.906;886596.65;6559041.53
248.82000;248.906;886594.82;6559040.76
248.78000;248.923;886592.98;6559039.99
248.77000;248.923;886591.15;6559039.22
248.76000;248.920;886589.31;6559038.45
248.80000;248.920;886587.47;6559037.68
248.81000;248.867;886585.64;6559036.92
248.82000;248.908;886583.80;6559036.15
