a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.102031E+03   0.711668E-03   0.344946E-02   0.374069E-03   0.525820E-03   0.401879E-03   0.938745E-05   0.120545E-02   0.237551E-02   0.137464E+03
   0.102031E+03   0.611684E-03   0.344946E-02   0.374069E-03   0.525820E-03   0.401879E-03   0.938745E-05   0.120545E-02   0.237551E-02   0.137670E+03
   0.100140E+03   0.611684E-03   0.290457E-02   0.307469E-03   0.525820E-03   0.367896E-03   0.864041E-03   0.120545E-02   0.237551E-02   0.137150E+03
   0.100140E+03   0.611684E-03   0.290457E-02   0.307469E-03   0.525820E-03   0.367896E-03   0.281391E-02   0.666064E-03   0.788948E-03   0.137711E+03
   0.102234E+03   0.611684E-03   0.321910E-02   0.307469E-03   0.283374E-03   0.367896E-03   0.895474E-03   0.666064E-03   0.788948E-03   0.140666E+03
   0.102234E+03   0.611684E-03   0.321910E-02   0.307469E-03   0.283374E-03   0.367896E-03   0.273439E-03   0.666064E-03   0.788948E-03   0.141549E+03
   0.102234E+03   0.611684E-03   0.611964E-02   0.307469E-03   0.283374E-03   0.367896E-03   0.273439E-03   0.666064E-03   0.788948E-03   0.139693E+03
   0.102256E+03   0.611684E-03   0.611964E-02   0.307469E-03   0.283374E-03   0.367896E-03   0.273439E-03   0.666064E-03   0.788948E-03   0.139631E+03
   0.102203E+03   0.611684E-03   0.330711E-02   0.307469E-03   0.463479E-03   0.367896E-03   0.273439E-03   0.666064E-03   0.788948E-03   0.141279E+03
   0.102203E+03   0.611684E-03   0.116652E-01   0.307469E-03   0.463479E-03   0.367896E-03   0.273439E-03   0.666064E-03   0.788948E-03   0.137584E+03
   0.102203E+03   0.317922E-02   0.257336E-02   0.304835E-02   0.463479E-03   0.367896E-03   0.273439E-03   0.476594E-03   0.788948E-03   0.135465E+03
   0.102203E+03   0.451471E-02   0.257336E-02   0.222933E-02   0.463479E-03   0.367896E-03   0.273439E-03   0.760371E-03   0.788948E-03   0.134706E+03
   0.102203E+03   0.451471E-02   0.273238E-02   0.222933E-02   0.871573E-03   0.367896E-03   0.273439E-03   0.293892E-03   0.646560E-03   0.134962E+03
   0.102203E+03   0.451471E-02   0.179844E-02   0.907163E-03   0.871573E-03   0.367896E-03   0.273439E-03   0.293892E-03   0.646560E-03   0.137897E+03
   0.102203E+03   0.426647E-02   0.335031E-03   0.118653E-02   0.871573E-03   0.367896E-03   0.273439E-03   0.109161E-03   0.646560E-03   0.140383E+03
   0.102203E+03   0.569444E-02   0.542831E-03   0.334149E-03   0.833432E-03   0.367896E-03   0.273439E-03   0.109161E-03   0.646560E-03   0.140346E+03
   0.102203E+03   0.569444E-02   0.542831E-03   0.334149E-03   0.833432E-03   0.367896E-03   0.273439E-03   0.109161E-03   0.646560E-03   0.140346E+03
   0.101491E+03   0.569444E-02   0.542831E-03   0.334149E-03   0.833432E-03   0.367896E-03   0.247485E-03   0.109161E-03   0.177484E-04   0.142132E+03
   0.101491E+03   0.563109E-02   0.542831E-03   0.334149E-03   0.833432E-03   0.367896E-03   0.247485E-03   0.109161E-03   0.177484E-04   0.142165E+03
   0.101491E+03   0.278855E-02   0.542831E-03   0.334149E-03   0.459577E-03   0.718475E-02   0.716551E-04   0.109161E-03   0.177484E-04   0.138407E+03
   0.101491E+03   0.313094E-03   0.542831E-03   0.402369E-03   0.459577E-03   0.122723E-02   0.716551E-04   0.109161E-03   0.177484E-04   0.147216E+03
   0.101491E+03   0.313094E-03   0.542831E-03   0.402369E-03   0.459577E-03   0.127060E-02   0.716551E-04   0.109161E-03   0.177484E-04   0.147138E+03
   0.101026E+03   0.313094E-03   0.542831E-03   0.402369E-03   0.459577E-03   0.127060E-02   0.158142E-02   0.109161E-03   0.177484E-04   0.144844E+03
   0.101026E+03   0.313094E-03   0.542831E-03   0.975578E-03   0.439663E-02   0.127060E-02   0.158142E-02   0.109161E-03   0.177484E-04   0.138886E+03
   0.101026E+03   0.313094E-03   0.542831E-03   0.975578E-03   0.886879E-02   0.127060E-02   0.158142E-02   0.109161E-03   0.386540E-02   0.131743E+03
