Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.300000E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.300000E+02   0.000000E+00   0.190000E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.150000E+02   0.000000E+00   0.100000E+00   0.100000E-01   0.100000E-01   0.100000E-01   0.100000E-01  -0.367646E+04  -0.140664E+02   0.000000E+00  -0.366239E+04   0.732479E+04
   0.323863E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.258839E+00   0.300000E+02   0.000000E+00   0.190824E+02  -0.282798E-02   0.000000E+00   0.000000E+00   0.671923E+01   0.129342E+02   0.000000E+00   0.100737E+00   0.989938E-02   0.107623E-01   0.116478E-01   0.953869E-02  -0.230818E+04  -0.230415E+02   0.000000E+00  -0.228514E+04   0.457028E+04
   0.323863E+02   0.000000E+00   0.000000E+00   0.000000E+00   0.258839E+00   0.300000E+02   0.000000E+00   0.190824E+02  -0.282798E-02   0.000000E+00   0.000000E+00   0.671923E+01   0.123577E+02   0.000000E+00   0.101052E+00   0.914545E-02   0.129977E-01   0.126981E-01   0.105183E-01  -0.229340E+04  -0.237804E+02   0.000000E+00  -0.226962E+04   0.453924E+04
   0.369321E+02  -0.113925E+00   0.000000E+00   0.242870E+00   0.258839E+00   0.300000E+02   0.244853E+01   0.200286E+02  -0.282798E-02   0.000000E+00   0.000000E+00   0.671923E+01   0.118786E+02   0.000000E+00   0.101756E+00   0.787301E-02   0.135079E-01   0.137345E-01   0.107859E-01  -0.985014E+03  -0.373906E+02   0.000000E+00  -0.947623E+03   0.189525E+04
   0.369321E+02  -0.113925E+00   0.000000E+00   0.242870E+00   0.258839E+00   0.300000E+02   0.463251E+01   0.206982E+02  -0.282798E-02  -0.184954E+01   0.000000E+00   0.671923E+01   0.118786E+02   0.000000E+00   0.101756E+00   0.979721E-02   0.141090E-01   0.139037E-01   0.997996E-02  -0.830956E+03  -0.377761E+02   0.000000E+00  -0.793180E+03   0.158636E+04
   0.389456E+02  -0.113925E+00   0.000000E+00   0.166342E+01   0.258839E+00   0.333612E+02   0.106863E+02   0.219345E+02  -0.282798E-02  -0.184954E+01   0.290740E+01   0.671923E+01   0.118786E+02   0.000000E+00   0.101756E+00   0.104710E-01   0.144793E-01   0.149116E-01   0.908941E-02  -0.438407E+03  -0.612341E+02   0.000000E+00  -0.377173E+03   0.754346E+03
   0.389456E+02  -0.113925E+00   0.000000E+00   0.166342E+01   0.258839E+00   0.333612E+02   0.106863E+02   0.232668E+02  -0.282798E-02  -0.212634E+01   0.407407E+01   0.671923E+01   0.144847E+02  -0.168943E+01   0.101756E+00   0.103070E-01   0.131132E-01   0.152142E-01   0.837237E-02  -0.394750E+03  -0.654639E+02   0.000000E+00  -0.329286E+03   0.658572E+03
   0.389456E+02  -0.113925E+00   0.000000E+00   0.166342E+01   0.258839E+00   0.333612E+02   0.106863E+02   0.232668E+02  -0.282349E+01  -0.212634E+01   0.432186E+01   0.671923E+01   0.144847E+02  -0.202241E+01   0.101867E+00   0.103070E-01   0.138757E-01   0.160240E-01   0.807826E-02  -0.357748E+03  -0.649427E+02   0.000000E+00  -0.292805E+03   0.585611E+03
   0.389456E+02  -0.113925E+00   0.000000E+00   0.557142E+01   0.366111E+01   0.333612E+02   0.106863E+02   0.232668E+02  -0.282349E+01  -0.212634E+01   0.432186E+01   0.671923E+01   0.134913E+02  -0.202241E+01   0.102128E+00   0.946683E-02   0.122825E-01   0.156988E-01   0.826438E-02  -0.343450E+03  -0.752790E+02   0.000000E+00  -0.268171E+03   0.536342E+03
   0.391251E+02  -0.113925E+00   0.870491E+00   0.448963E+01   0.366111E+01   0.333612E+02   0.977982E+01   0.232668E+02  -0.282349E+01  -0.212634E+01   0.432186E+01   0.671923E+01   0.134913E+02  -0.202241E+01   0.102128E+00   0.967097E-02   0.117982E-01   0.154334E-01   0.846485E-02  -0.335392E+03  -0.747206E+02   0.000000E+00  -0.260671E+03   0.521343E+03
