a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.102831E+03  -0.343915E+01   0.102357E+02  -0.144518E+02   0.207294E+02   0.903684E-03   0.310525E-03   0.241609E-03   0.145828E+03
   0.102831E+03  -0.146396E+00   0.116217E+02  -0.129486E+02   0.161061E+02   0.903684E-03   0.310525E-03   0.241609E-03   0.144924E+03
   0.102831E+03  -0.196216E+01   0.116217E+02  -0.103857E+02   0.161061E+02   0.107288E-04   0.310525E-03   0.241609E-03   0.148894E+03
   0.102831E+03  -0.196216E+01   0.302365E+01  -0.294746E+01  -0.225323E+02   0.107288E-04   0.310525E-03   0.613526E-04   0.143357E+03
   0.102831E+03   0.214713E+01   0.155679E+01  -0.588165E+01  -0.239962E+02   0.107288E-04   0.310525E-03   0.613526E-04   0.144106E+03
   0.102831E+03  -0.667907E+00   0.155679E+01  -0.163820E+02  -0.239962E+02   0.929498E-03   0.310525E-03   0.613526E-04   0.143411E+03
   0.102831E+03  -0.667907E+00  -0.427077E+01  -0.163820E+02  -0.157818E+02   0.929498E-03   0.310525E-03   0.613526E-04   0.145505E+03
   0.102831E+03  -0.667907E+00  -0.523545E+01  -0.163820E+02  -0.157818E+02   0.929498E-03   0.569315E-03   0.613526E-04   0.144186E+03
   0.102281E+03  -0.261020E+01  -0.633696E+01  -0.163820E+02  -0.157818E+02   0.821130E-03   0.569315E-03   0.613526E-04   0.145624E+03
   0.102281E+03  -0.261020E+01  -0.912981E+01  -0.163820E+02  -0.201415E+02   0.821130E-03   0.569315E-03   0.613526E-04   0.144815E+03
   0.102281E+03  -0.261020E+01  -0.915309E+00  -0.211006E+02  -0.201415E+02   0.821130E-03   0.479330E-03   0.613526E-04   0.144306E+03
   0.102281E+03  -0.277465E+01  -0.983274E+00  -0.133672E+02  -0.733362E+01   0.821130E-03   0.479330E-03   0.613526E-04   0.146270E+03
   0.102281E+03  -0.277465E+01   0.546318E+01  -0.237037E+01  -0.164310E+01   0.821130E-03   0.479330E-03   0.613526E-04   0.146068E+03
   0.102281E+03   0.132064E+01   0.804837E+01  -0.178648E+01   0.773916E+01   0.624749E-03   0.479330E-03   0.613526E-04   0.148293E+03
   0.102281E+03  -0.262364E+01   0.804837E+01  -0.129545E+02  -0.134952E+01   0.624749E-03   0.479330E-03   0.374364E-03   0.145370E+03
   0.102638E+03  -0.262364E+01   0.144940E+02  -0.932303E+01  -0.210352E+00   0.624749E-03   0.479330E-03   0.385674E-03   0.143576E+03
   0.102638E+03  -0.262364E+01   0.119634E+01  -0.932303E+01  -0.947754E+01   0.598206E-03   0.479330E-03   0.409074E-03   0.144803E+03
   0.102638E+03  -0.262364E+01   0.155655E+01  -0.175913E+02   0.975671E+01   0.598206E-03   0.479330E-03   0.409074E-03   0.145601E+03
   0.102638E+03  -0.262364E+01   0.155655E+01  -0.891206E+01   0.440497E+01   0.598206E-03   0.479330E-03   0.409074E-03   0.145678E+03
