a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.102136E+03   0.851204E+01   0.120232E+02   0.189339E+02   0.311478E-03   0.147505E-03   0.250135E-03   0.110671E-02   0.190388E+03   0.000000E+00   0.000000E+00   0.190388E+03  -0.380776E+03
   0.102136E+03   0.851204E+01   0.120232E+02   0.189339E+02   0.311478E-03   0.147505E-03   0.250135E-03   0.110671E-02   0.190388E+03   0.000000E+00   0.000000E+00   0.190388E+03  -0.380776E+03
   0.102136E+03   0.851204E+01   0.120232E+02   0.201276E+02   0.311478E-03   0.147505E-03   0.250135E-03   0.110671E-02   0.190177E+03   0.000000E+00   0.000000E+00   0.190177E+03  -0.380354E+03
   0.102136E+03   0.851204E+01   0.120232E+02   0.237804E+02   0.311478E-03   0.147505E-03   0.250135E-03   0.110671E-02   0.189071E+03   0.000000E+00   0.000000E+00   0.189071E+03  -0.378142E+03
   0.102136E+03   0.117448E+02   0.120232E+02   0.220448E+02   0.415594E-04   0.147505E-03   0.250135E-03   0.110671E-02   0.189115E+03   0.000000E+00   0.000000E+00   0.189115E+03  -0.378230E+03
   0.102136E+03   0.121824E+02   0.120232E+02   0.220448E+02   0.415594E-04   0.147505E-03   0.250135E-03   0.110671E-02   0.188791E+03   0.000000E+00   0.000000E+00   0.188791E+03  -0.377582E+03
   0.102136E+03   0.121824E+02   0.656451E+01   0.205321E+02   0.415594E-04   0.147505E-03   0.250135E-03   0.110671E-02   0.188165E+03   0.000000E+00   0.000000E+00   0.188165E+03  -0.376330E+03
   0.103024E+03   0.349395E+01   0.130041E+02   0.604002E+01   0.415594E-04   0.156037E-03   0.310404E-03   0.110671E-02   0.189589E+03   0.000000E+00   0.000000E+00   0.189589E+03  -0.379178E+03
   0.103024E+03   0.349395E+01   0.578844E+01   0.274336E+02   0.415594E-04   0.156037E-03   0.310404E-03   0.110671E-02   0.184327E+03   0.000000E+00   0.000000E+00   0.184327E+03  -0.368654E+03
   0.103024E+03   0.349395E+01   0.578844E+01   0.102734E+02   0.415594E-04   0.156037E-03   0.310404E-03   0.223247E-02   0.187246E+03   0.000000E+00   0.000000E+00   0.187246E+03  -0.374492E+03
   0.103024E+03   0.349395E+01   0.578844E+01   0.102734E+02   0.415594E-04   0.156037E-03   0.310404E-03   0.223247E-02   0.187246E+03   0.000000E+00   0.000000E+00   0.187246E+03  -0.374492E+03
   0.103024E+03   0.349395E+01   0.578844E+01   0.745500E+01   0.415594E-04   0.156037E-03   0.310404E-03   0.223247E-02   0.187329E+03   0.000000E+00   0.000000E+00   0.187329E+03  -0.374658E+03
   0.103024E+03   0.218723E+01   0.951696E+01   0.471595E+01   0.415594E-04   0.156037E-03   0.310404E-03   0.281214E-02   0.186524E+03   0.000000E+00   0.000000E+00   0.186524E+03  -0.373048E+03
   0.103024E+03   0.218723E+01   0.951696E+01   0.849047E+01   0.415594E-04   0.156037E-03   0.310404E-03   0.914774E-03   0.188571E+03   0.000000E+00   0.000000E+00   0.188571E+03  -0.377142E+03
