               a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.983791E+02  -0.529084E+01  -0.156009E+02  -0.306728E+02   0.197351E-04   0.849627E-05   0.391124E-04   0.511659E-03
Maximum           0.103573E+03   0.121824E+02   0.186307E+02   0.274336E+02   0.157704E-02   0.125797E-02   0.104494E-02   0.293056E-02
Range             0.519390E+01   0.174732E+02   0.342316E+02   0.581064E+02   0.155730E-02   0.124947E-02   0.100583E-02   0.241890E-02
Mean              0.101492E+03   0.255350E+01   0.314817E+01   0.157308E+01   0.455304E-03   0.254596E-03   0.307841E-03   0.129613E-02
Median            0.101427E+03   0.174334E+01   0.376536E+01   0.205152E+01   0.361944E-03   0.235290E-03   0.259344E-03   0.116070E-02
Q10%              0.100423E+03  -0.204316E+01  -0.528500E+01  -0.122519E+02   0.711381E-04   0.541842E-04   0.565175E-04   0.943237E-03
Q25%              0.100950E+03  -0.313528E+00  -0.967246E+00  -0.474942E+01   0.177602E-03   0.148543E-03   0.134337E-03   0.109555E-02
Q75%              0.102308E+03   0.540623E+01   0.733384E+01   0.869264E+01   0.661093E-03   0.329256E-03   0.467289E-03   0.139578E-02
Q90%              0.102770E+03   0.818497E+01   0.105194E+02   0.155513E+02   0.938618E-03   0.442942E-03   0.596820E-03   0.200842E-02
St.Dev.           0.990011E+00   0.382680E+01   0.589016E+01   0.107088E+02   0.341708E-03   0.161823E-03   0.218757E-03   0.425290E-03
Variance          0.980121E+00   0.146444E+02   0.346940E+02   0.114679E+03   0.116765E-06   0.261867E-07   0.478548E-07   0.180871E-06
CV                0.975453E-02   0.149865E+01   0.187098E+01   0.680758E+01   0.750505E+00   0.635608E+00   0.710619E+00   0.328123E+00
Skewness         -0.361438E+00   0.331948E+00  -0.434594E+00  -0.239596E+00   0.996809E+00   0.151470E+01   0.941878E+00   0.168905E+01
Kurtosis         -0.261051E-01  -0.838963E+00  -0.262357E-01  -0.761283E-01   0.651615E+00   0.674446E+01   0.354433E+00   0.374249E+01
MaxPost           0.101306E+03   0.634826E+00   0.332685E+01  -0.137997E+01   0.277390E-03   0.148543E-03   0.160962E-03   0.115559E-02
