               a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.980991E+02   0.323719E-05   0.210285E-04   0.261218E-04   0.243964E-04   0.121856E-05   0.190477E-04   0.672763E-05   0.226733E-05
Maximum           0.102841E+03   0.253478E-02   0.603043E-02   0.279270E-02   0.514847E-02   0.429174E-02   0.699741E-02   0.731145E-02   0.378713E-02
Range             0.474190E+01   0.253154E-02   0.600940E-02   0.276658E-02   0.512407E-02   0.429052E-02   0.697836E-02   0.730472E-02   0.378486E-02
Mean              0.100239E+03   0.672719E-03   0.548541E-03   0.699732E-03   0.113795E-02   0.853636E-03   0.108232E-02   0.767122E-03   0.520069E-03
Median            0.100300E+03   0.709660E-03   0.397452E-03   0.539775E-03   0.938365E-03   0.784967E-03   0.934434E-03   0.517584E-03   0.348124E-03
Q10%              0.993624E+02   0.919941E-04   0.525947E-04   0.227575E-03   0.505883E-03   0.270162E-03   0.376188E-03   0.713392E-04   0.477088E-04
Q25%              0.996635E+02   0.391150E-03   0.131791E-03   0.325290E-03   0.799828E-03   0.427704E-03   0.562768E-03   0.188189E-03   0.152010E-03
Q75%              0.100903E+03   0.844716E-03   0.716433E-03   0.850573E-03   0.119883E-02   0.111531E-02   0.131055E-02   0.114226E-02   0.776395E-03
Q90%              0.101311E+03   0.126359E-02   0.137318E-02   0.173245E-02   0.164740E-02   0.147383E-02   0.215032E-02   0.140941E-02   0.126678E-02
St.Dev.           0.839934E+00   0.430250E-03   0.555936E-03   0.563891E-03   0.772151E-03   0.596356E-03   0.795430E-03   0.832224E-03   0.497854E-03
Variance          0.705489E+00   0.185115E-06   0.309064E-06   0.317973E-06   0.596217E-06   0.355641E-06   0.632710E-06   0.692597E-06   0.247859E-06
CV                0.837929E-02   0.639568E+00   0.101348E+01   0.805867E+00   0.678544E+00   0.698607E+00   0.734928E+00   0.108486E+01   0.957286E+00
Skewness          0.921168E-01   0.727507E+00   0.312657E+01   0.171690E+01   0.249731E+01   0.202633E+01   0.214455E+01   0.318730E+01   0.192469E+01
Kurtosis          0.370198E+00   0.103388E+01   0.231475E+02   0.257010E+01   0.706418E+01   0.756698E+01   0.921908E+01   0.160658E+02   0.652345E+01
MaxPost           0.999862E+02   0.277567E-03   0.121632E-03   0.616791E-03   0.595464E-03   0.405392E-03   0.562768E-03   0.333715E-04   0.529245E-03
