a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101928E+03   0.112346E+00   0.660806E-04   0.432885E-03   0.465486E-03   0.136467E-02   0.189137E+03   0.000000E+00   0.000000E+00   0.189137E+03  -0.378274E+03
   0.101928E+03   0.112346E+00   0.660806E-04   0.432885E-03   0.465486E-03   0.104294E-02   0.188963E+03   0.000000E+00   0.000000E+00   0.188963E+03  -0.377926E+03
   0.101673E+03   0.112346E+00   0.660806E-04   0.432885E-03   0.106064E-03   0.104294E-02   0.191211E+03   0.000000E+00   0.000000E+00   0.191211E+03  -0.382422E+03
   0.101279E+03   0.112346E+00   0.660806E-04   0.432885E-03   0.106064E-03   0.104294E-02   0.192155E+03   0.000000E+00   0.000000E+00   0.192155E+03  -0.384310E+03
   0.101279E+03   0.112346E+00   0.660806E-04   0.432885E-03   0.106064E-03   0.187045E-02   0.191072E+03   0.000000E+00   0.000000E+00   0.191072E+03  -0.382144E+03
   0.101279E+03   0.339492E+00   0.660806E-04   0.432885E-03   0.106064E-03   0.117539E-02   0.192268E+03   0.000000E+00   0.000000E+00   0.192268E+03  -0.384536E+03
   0.101279E+03   0.283780E+01   0.660806E-04   0.432885E-03   0.106064E-03   0.141588E-02   0.191642E+03   0.000000E+00   0.000000E+00   0.191642E+03  -0.383284E+03
   0.101279E+03   0.283780E+01   0.660806E-04   0.432885E-03   0.106064E-03   0.125785E-02   0.191824E+03   0.000000E+00   0.000000E+00   0.191824E+03  -0.383648E+03
   0.101279E+03   0.283780E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.125785E-02   0.193512E+03   0.000000E+00   0.000000E+00   0.193512E+03  -0.387024E+03
   0.101279E+03   0.283780E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.125785E-02   0.193512E+03   0.000000E+00   0.000000E+00   0.193512E+03  -0.387024E+03
   0.101279E+03   0.234397E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.125785E-02   0.193687E+03   0.000000E+00   0.000000E+00   0.193687E+03  -0.387374E+03
   0.101279E+03   0.234397E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.125785E-02   0.193687E+03   0.000000E+00   0.000000E+00   0.193687E+03  -0.387374E+03
   0.101279E+03   0.234397E+01   0.660806E-04   0.307514E-04   0.106064E-03   0.125785E-02   0.193687E+03   0.000000E+00   0.000000E+00   0.193687E+03  -0.387374E+03
