<CdSiteHydro>;<CdStationHydro>;<CdCapteur>;<GrdSerieObsHydro>;<DtObsHydro>;<StObsHydro>;<ResObsHydro>;<QualifObsHydro>;<MethObsHydro>;<ContObsHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Code du capteur";"Grandeur observée de la série";"Date d'observation hydrométrique";"Résultat de l'observation hydro";"Résultat de l'observation hydrométrique";"Qualification de la donnée de l'observation hydrométrique";"Méthode d'obtention du résultat de l'observation hydrométrique";"Continuité de la donnée de l'observation hydrométrique";<FLG>
V2942010;V294201001;;Q;"2018-12-01 00:47:00";16;22292;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-01 04:09:00";16;20582;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-01 06:00:00";16;23852;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-01 06:45:00";16;31160;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-01 07:06:00";16;33770;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-01 07:23:00";16;34490;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-01 11:24:00";16;35300;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-01 16:32:00";16;34400;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 04:11:00";16;36200;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 10:56:00";16;38000;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 14:04:00";16;40700;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 15:12:00";16;43900;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 17:27:00";16;47600;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 20:33:00";16;64609;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 21:02:00";16;72701;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 21:21:00";16;79817;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 22:11:00";16;109313;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 22:36:00";16;122149;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 23:04:00";16;135900;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-02 23:21:00";16;141120;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 01:09:00";16;165441;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 02:00:00";16;179956;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 05:03:00";16;238015;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 05:36:00";16;244235;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 06:45:00";16;252529;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 09:51:00";16;267044;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 10:30:00";16;275338;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 12:12:00";16;309659;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 13:09:00";16;325317;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 14:03:00";16;333146;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 17:48:00";16;340976;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 18:33:00";16;338366;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 19:11:00";16;330537;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 21:00:00";16;299220;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 21:59:00";16;289853;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-03 23:21:00";16;285706;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-04 02:27:00";16;283632;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-04 05:15:00";16;285706;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-04 06:47:00";16;309659;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-04 07:36:00";16;320098;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-04 10:11:00";16;338366;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-04 12:00:00";16;346195;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-04 15:12:00";16;351415;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-04 16:19:00";16;348805;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-04 18:18:00";16;320098;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-04 22:30:00";16;283632;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 00:47:00";16;271191;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 02:39:00";16;258750;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 06:02:00";16;248382;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 06:59:00";16;240088;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 08:04:00";16;227647;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 08:57:00";16;221426;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 11:27:00";16;211059;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 12:02:00";16;204838;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 13:23:00";16;179956;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 14:41:00";16;167515;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 15:59:00";16;161294;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-05 20:53:00";16;155074;20;10;0;<FLG>
V2942010;V294201001;;Q;"2018-12-06 02:04:00";16;159221;20;10;0;<FLG>
