a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.984611E+02   0.213823E+01  -0.343267E+01  -0.328913E+00   0.721221E-03   0.786693E+01   0.105481E+02   0.132944E+02   0.130497E+02   0.174256E+03
   0.979064E+02   0.312101E+01   0.726737E+01   0.558841E+01   0.720643E-03   0.108948E+02   0.897028E+01   0.897594E+01   0.203519E+02   0.170737E+03
   0.993955E+02   0.207935E+01   0.136577E+02  -0.116624E+00   0.574957E-03   0.102935E+02   0.874536E+01   0.210579E+02   0.156096E+02   0.171339E+03
   0.974157E+02   0.356548E+01  -0.761121E+01  -0.470749E+01   0.833576E-03   0.968072E+01   0.985611E+01   0.199439E+02   0.148133E+02   0.172374E+03
   0.991763E+02  -0.300784E+01   0.748702E+01  -0.847053E+01   0.640282E-03   0.100801E+02   0.862010E+01   0.164941E+02   0.141174E+02   0.174129E+03
   0.991763E+02   0.571663E+01   0.179539E+02   0.125424E+02   0.732411E-03   0.146539E+02   0.842673E+01   0.973063E+01   0.109105E+02   0.166969E+03
   0.993346E+02   0.754982E+01   0.960277E+01   0.122005E+02   0.670979E-03   0.114880E+02   0.110949E+02   0.116477E+02   0.137135E+02   0.173086E+03
   0.986616E+02  -0.244005E+01   0.113221E+01  -0.535515E+01   0.583365E-03   0.103502E+02   0.122551E+02   0.150822E+02   0.209645E+02   0.172725E+03
   0.993590E+02  -0.192501E+01  -0.115186E+01  -0.130475E+02   0.669542E-03   0.116131E+02   0.763814E+01   0.168068E+02   0.168905E+02   0.172583E+03
   0.980055E+02   0.495933E+00   0.341637E+01   0.427281E+01   0.396718E-03   0.130281E+02   0.114365E+02   0.164026E+02   0.165264E+02   0.172923E+03
   0.980055E+02   0.112687E+01  -0.336527E+01  -0.317800E+01   0.411292E-03   0.105515E+02   0.131135E+02   0.172541E+02   0.141078E+02   0.172589E+03
   0.966440E+02   0.112687E+01  -0.309069E+01   0.364423E+01   0.364081E-03   0.920304E+01   0.124763E+02   0.126340E+02   0.163248E+02   0.172391E+03
   0.971161E+02   0.587690E+01   0.171298E+00   0.111034E+02   0.740742E-03   0.883323E+01   0.940961E+01   0.128245E+02   0.149341E+02   0.174303E+03
   0.978720E+02   0.335945E+01   0.126336E+01   0.460862E+01   0.740742E-03   0.738666E+01   0.108840E+02   0.170354E+02   0.153404E+02   0.174303E+03
   0.967601E+02   0.414813E+01  -0.165774E+01   0.121585E+02   0.634603E-03   0.112401E+02   0.101975E+02   0.178655E+02   0.225625E+02   0.171316E+03
   0.983964E+02   0.129917E+01  -0.393839E+01  -0.140346E+01   0.549525E-03   0.917624E+01   0.112386E+02   0.110298E+02   0.200589E+02   0.172537E+03
