               a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04
Minimum           0.958255E+02  -0.141629E+02  -0.163242E+02  -0.423837E+02   0.297293E-03   0.487442E+01   0.540306E+01   0.805380E+01   0.769796E+01
Maximum           0.103940E+03   0.119321E+02   0.236351E+02   0.325892E+02   0.146280E-02   0.192716E+02   0.169402E+02   0.257166E+02   0.286733E+02
Range             0.811450E+01   0.260950E+02   0.399593E+02   0.749729E+02   0.116551E-02   0.143972E+02   0.115371E+02   0.176628E+02   0.209753E+02
Mean              0.983179E+02   0.849356E+00   0.195169E+01   0.598175E+00   0.670821E-03   0.102413E+02   0.100384E+02   0.149526E+02   0.151633E+02
Median            0.981232E+02   0.940349E+00   0.187454E+01   0.162197E+01   0.661728E-03   0.100586E+02   0.991092E+01   0.147585E+02   0.145718E+02
Q10%              0.970369E+02  -0.373461E+01  -0.539141E+01  -0.144090E+02   0.486154E-03   0.793902E+01   0.783105E+01   0.116569E+02   0.114232E+02
Q25%              0.975820E+02  -0.135966E+01  -0.195738E+01  -0.640704E+01   0.546458E-03   0.889381E+01   0.879620E+01   0.127804E+02   0.128964E+02
Q75%              0.988334E+02   0.311984E+01   0.605115E+01   0.878198E+01   0.783773E-03   0.114013E+02   0.111525E+02   0.166877E+02   0.170508E+02
Q90%              0.996097E+02   0.530338E+01   0.943380E+01   0.149201E+02   0.867605E-03   0.126539E+02   0.125443E+02   0.188625E+02   0.194580E+02
St.Dev.           0.113757E+01   0.372616E+01   0.598387E+01   0.120581E+02   0.146983E-03   0.199545E+01   0.179300E+01   0.282854E+01   0.318245E+01
Variance          0.129407E+01   0.138843E+02   0.358066E+02   0.145398E+03   0.216039E-07   0.398184E+01   0.321484E+01   0.800061E+01   0.101280E+02
CV                0.115704E-01   0.438704E+01   0.306600E+01   0.201582E+02   0.219109E+00   0.194844E+00   0.178613E+00   0.189167E+00   0.209878E+00
Skewness          0.130708E+01  -0.448248E+00  -0.971963E-02  -0.624474E+00   0.382147E+00   0.812743E+00   0.389612E+00   0.474054E+00   0.774521E+00
Kurtosis          0.317272E+01   0.950621E+00   0.408177E-01   0.720399E+00   0.426613E+00   0.169582E+01  -0.229049E-01   0.348434E-01   0.946946E+00
MaxPost           0.976845E+02   0.441999E+00  -0.204225E+01   0.207383E+01   0.651629E-03   0.890016E+01   0.933924E+01   0.140304E+02   0.142911E+02
