"P0_Reach_1" "P1_Reach_1" "P2_Reach_1" "P3_Reach_1"
1 -1 1 -1
1 -0.97979797979798 0.940006121824304 -0.881828178736657
1 -0.95959595959596 0.881236608509336 -0.769654508558702
1 -0.939393939393939 0.823691460055097 -0.663355316247879
1 -0.919191919191919 0.767370676461586 -0.562806928585931
1 -0.898989898989899 0.712274257728803 -0.467885672354604
1 -0.878787878787879 0.658402203856749 -0.378467874335643
1 -0.858585858585859 0.605754514845424 -0.294429861310792
1 -0.838383838383838 0.554331190694827 -0.215647960061795
1 -0.818181818181818 0.504132231404958 -0.141998497370398
1 -0.797979797979798 0.455157636975819 -0.073357800018345
1 -0.777777777777778 0.407407407407407 -0.00960219478737997
1 -0.757575757575758 0.360881542699724 0.049391991540752
1 -0.737373737373737 0.31558004285277 0.103748432184306
1 -0.717171717171717 0.271502907866544 0.153590800361538
1 -0.696969696969697 0.228650137741047 0.199042769290703
1 -0.676767676767677 0.187021732476278 0.240228012190057
1 -0.656565656565657 0.146617692072238 0.277270202277855
1 -0.636363636363636 0.107438016528926 0.310293012772352
1 -0.616161616161616 0.0694827058463422 0.339420116891803
1 -0.595959595959596 0.0327517600244872 0.364775187854466
1 -0.575757575757576 -0.00275482093663926 0.386481898878593
1 -0.555555555555556 -0.037037037037037 0.404663923182442
1 -0.535353535353535 -0.0700948882767066 0.419444933984267
1 -0.515151515151515 -0.101928374655647 0.430948604502323
1 -0.494949494949495 -0.13253749617386 0.439298607954868
1 -0.474747474747475 -0.161922252831344 0.444618617560154
1 -0.454545454545454 -0.190082644628099 0.447032306536439
1 -0.434343434343434 -0.217018671564126 0.446663348101977
1 -0.414141414141414 -0.242730333639425 0.443635415475024
1 -0.393939393939394 -0.267217630853995 0.438072181873835
1 -0.373737373737374 -0.290480563207836 0.430097320516665
1 -0.353535353535353 -0.312519130700949 0.419834504621771
1 -0.333333333333333 -0.333333333333333 0.407407407407407
1 -0.313131313131313 -0.352923171104989 0.392939702091829
1 -0.292929292929293 -0.371288644015917 0.376555061893293
1 -0.272727272727273 -0.388429752066116 0.358377160030053
1 -0.252525252525252 -0.404346495255586 0.338529669720365
1 -0.232323232323232 -0.419038873584328 0.317136264182484
1 -0.212121212121212 -0.432506887052342 0.294320616634666
1 -0.191919191919192 -0.444750535659627 0.270206400295167
1 -0.171717171717172 -0.455769819406183 0.244917288382241
1 -0.151515151515151 -0.465564738292011 0.218576954114144
1 -0.131313131313131 -0.47413529231711 0.191309070709132
1 -0.111111111111111 -0.481481481481482 0.163237311385459
1 -0.0909090909090908 -0.487603305785124 0.134485349361382
1 -0.0707070707070706 -0.492500765228038 0.105176857855156
1 -0.0505050505050504 -0.496173859810223 0.0754355100850355
1 -0.0303030303030303 -0.49862258953168 0.0453849792692768
1 -0.0101010101010101 -0.499846954392409 0.0151489386261348
1 0.0101010101010102 -0.499846954392409 -0.0151489386261349
1 0.0303030303030305 -0.49862258953168 -0.0453849792692771
1 0.0505050505050506 -0.496173859810223 -0.0754355100850358
1 0.0707070707070707 -0.492500765228038 -0.105176857855156
1 0.0909090909090911 -0.487603305785124 -0.134485349361383
1 0.111111111111111 -0.481481481481481 -0.16323731138546
1 0.131313131313131 -0.47413529231711 -0.191309070709132
1 0.151515151515152 -0.465564738292011 -0.218576954114144
1 0.171717171717172 -0.455769819406183 -0.244917288382241
1 0.191919191919192 -0.444750535659627 -0.270206400295167
1 0.212121212121212 -0.432506887052342 -0.294320616634666
1 0.232323232323232 -0.419038873584328 -0.317136264182484
1 0.252525252525253 -0.404346495255586 -0.338529669720365
1 0.272727272727273 -0.388429752066116 -0.358377160030053
1 0.292929292929293 -0.371288644015917 -0.376555061893293
1 0.313131313131313 -0.352923171104989 -0.392939702091829
1 0.333333333333333 -0.333333333333333 -0.407407407407407
1 0.353535353535354 -0.312519130700949 -0.419834504621771
1 0.373737373737374 -0.290480563207836 -0.430097320516666
1 0.393939393939394 -0.267217630853994 -0.438072181873835
1 0.414141414141414 -0.242730333639424 -0.443635415475024
1 0.434343434343434 -0.217018671564126 -0.446663348101977
1 0.454545454545455 -0.190082644628099 -0.447032306536439
1 0.474747474747475 -0.161922252831343 -0.444618617560154
1 0.494949494949495 -0.13253749617386 -0.439298607954867
1 0.515151515151515 -0.101928374655647 -0.430948604502323
1 0.535353535353535 -0.0700948882767063 -0.419444933984267
1 0.555555555555556 -0.037037037037037 -0.404663923182442
1 0.575757575757576 -0.00275482093663887 -0.386481898878593
1 0.595959595959596 0.0327517600244874 -0.364775187854465
1 0.616161616161616 0.0694827058463425 -0.339420116891803
1 0.636363636363636 0.107438016528926 -0.310293012772351
1 0.656565656565657 0.146617692072238 -0.277270202277854
1 0.676767676767677 0.187021732476278 -0.240228012190057
1 0.696969696969697 0.228650137741047 -0.199042769290703
1 0.717171717171717 0.271502907866545 -0.153590800361537
1 0.737373737373737 0.31558004285277 -0.103748432184306
1 0.757575757575758 0.360881542699725 -0.0493919915407512
1 0.777777777777778 0.407407407407408 0.00960219478738041
1 0.797979797979798 0.455157636975819 0.0733578000183457
1 0.818181818181818 0.504132231404959 0.141998497370399
1 0.838383838383838 0.554331190694827 0.215647960061796
1 0.858585858585859 0.605754514845424 0.294429861310793
1 0.878787878787879 0.65840220385675 0.378467874335643
1 0.898989898989899 0.712274257728804 0.467885672354605
1 0.919191919191919 0.767370676461586 0.562806928585931
1 0.939393939393939 0.823691460055097 0.663355316247879
1 0.95959595959596 0.881236608509336 0.769654508558703
1 0.97979797979798 0.940006121824304 0.881828178736658
1 1 1 1
