a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.979542E+02   0.940349E+00   0.270009E+00   0.158982E+02   0.654705E-03   0.128330E+02   0.813065E+01   0.159961E+02   0.178797E+02   0.172807E+03  -0.929190E+01   0.000000E+00   0.182099E+03  -0.364198E+03
   0.990646E+02   0.940349E+00   0.815461E+00   0.181573E+02   0.813754E-03   0.128330E+02   0.964367E+01   0.159961E+02   0.200135E+02   0.170968E+03  -0.971030E+01   0.000000E+00   0.180678E+03  -0.361357E+03
   0.990646E+02   0.940349E+00  -0.244709E+01   0.181573E+02   0.813754E-03   0.123158E+02   0.956128E+01   0.159961E+02   0.200135E+02   0.170795E+03  -0.943391E+01   0.000000E+00   0.180229E+03  -0.360458E+03
   0.990646E+02  -0.162380E+00   0.515711E+01   0.181573E+02   0.813754E-03   0.140872E+02   0.956128E+01   0.174353E+02   0.200135E+02   0.169422E+03  -0.108112E+02   0.000000E+00   0.180233E+03  -0.360466E+03
   0.984260E+02   0.145124E+01   0.515711E+01   0.188086E+02   0.813754E-03   0.142736E+02   0.832925E+01   0.174353E+02   0.200135E+02   0.169569E+03  -0.111938E+02   0.000000E+00   0.180763E+03  -0.361526E+03
   0.984260E+02   0.788083E+01   0.515711E+01   0.130612E+02   0.813754E-03   0.953169E+01   0.832925E+01   0.127787E+02   0.172820E+02   0.173179E+03  -0.802812E+01   0.000000E+00   0.181207E+03  -0.362414E+03
   0.984260E+02   0.788083E+01   0.599450E+01   0.130612E+02   0.813754E-03   0.953169E+01   0.117705E+02   0.127787E+02   0.137439E+02   0.173312E+03  -0.790420E+01   0.000000E+00   0.181216E+03  -0.362432E+03
   0.984260E+02   0.201612E+01   0.987261E+01   0.846813E+01   0.813754E-03   0.953169E+01   0.117705E+02   0.127787E+02   0.142945E+02   0.173498E+03  -0.787688E+01   0.000000E+00   0.181375E+03  -0.362750E+03
   0.984260E+02   0.194310E+01   0.348911E+01   0.127441E+02   0.813754E-03   0.953169E+01   0.148872E+02   0.135339E+02   0.142945E+02   0.172333E+03  -0.962742E+01   0.000000E+00   0.181960E+03  -0.363921E+03
   0.984260E+02   0.194310E+01   0.348911E+01   0.114521E+02   0.813754E-03   0.941874E+01   0.110625E+02   0.135339E+02   0.165751E+02   0.174336E+03  -0.772650E+01   0.000000E+00   0.182063E+03  -0.364125E+03
   0.984260E+02   0.194310E+01   0.348911E+01   0.155104E+02   0.544964E-03   0.859429E+01   0.112079E+02   0.159391E+02   0.194699E+02   0.173643E+03  -0.888919E+01   0.000000E+00   0.182532E+03  -0.365064E+03
   0.984260E+02   0.716640E+00   0.770791E+01   0.155104E+02   0.544964E-03   0.100124E+02   0.112079E+02   0.159391E+02   0.193227E+02   0.172491E+03  -0.869873E+01   0.000000E+00   0.181190E+03  -0.362379E+03
   0.989406E+02   0.716640E+00   0.770791E+01   0.358830E+01   0.544964E-03   0.100124E+02   0.105543E+02   0.160437E+02   0.198327E+02   0.173655E+03  -0.872895E+01   0.000000E+00   0.182384E+03  -0.364768E+03
   0.989406E+02   0.716640E+00   0.770791E+01   0.358830E+01   0.544964E-03   0.100124E+02   0.105543E+02   0.161533E+02   0.198338E+02   0.173636E+03  -0.874823E+01   0.000000E+00   0.182384E+03  -0.364768E+03
   0.989406E+02   0.716640E+00   0.770791E+01   0.358830E+01   0.544964E-03   0.100124E+02   0.105543E+02   0.155674E+02   0.177314E+02   0.174462E+03  -0.792232E+01   0.000000E+00   0.182384E+03  -0.364769E+03
   0.989406E+02   0.716640E+00   0.149944E+01  -0.170508E+02   0.544964E-03   0.100124E+02   0.105543E+02   0.136133E+02   0.177314E+02   0.172484E+03  -0.788857E+01   0.000000E+00   0.180373E+03  -0.360745E+03
   0.989406E+02   0.716640E+00   0.149944E+01  -0.160103E+02   0.587163E-03   0.916143E+01   0.956931E+01   0.140492E+02   0.127347E+02   0.173522E+03  -0.740723E+01   0.000000E+00   0.180929E+03  -0.361858E+03
   0.989406E+02  -0.345292E+01   0.135017E+02  -0.160103E+02   0.587163E-03   0.916143E+01   0.108847E+02   0.144390E+02   0.127347E+02   0.170938E+03  -0.759355E+01   0.000000E+00   0.178532E+03  -0.357063E+03
   0.989406E+02  -0.345292E+01   0.337009E+01  -0.160103E+02   0.587163E-03   0.945555E+01   0.108847E+02   0.155486E+02   0.127347E+02   0.174119E+03  -0.764045E+01   0.000000E+00   0.181759E+03  -0.363519E+03
