a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.995803E+02   0.120035E+01   0.764259E+01   0.721829E+01   0.149502E-02   0.412885E-03   0.911016E-03   0.795940E-03   0.138226E-02   0.606171E-03   0.305193E-03   0.549832E-03   0.182396E+03   0.000000E+00   0.000000E+00   0.182396E+03  -0.364792E+03
   0.995803E+02   0.120035E+01  -0.114754E+02   0.631356E+01   0.141680E-02   0.412885E-03   0.911016E-03   0.795940E-03   0.138226E-02   0.606171E-03   0.305193E-03   0.549832E-03   0.181712E+03   0.000000E+00   0.000000E+00   0.181712E+03  -0.363424E+03
   0.994984E+02   0.658467E+01  -0.598418E+01   0.532382E+01   0.596501E-03   0.490891E-03   0.911016E-03   0.795940E-03   0.145806E-02   0.606171E-03   0.305193E-03   0.549832E-03   0.183058E+03   0.000000E+00   0.000000E+00   0.183058E+03  -0.366116E+03
   0.994984E+02   0.658467E+01  -0.841042E+01   0.444976E+01   0.596501E-03   0.490891E-03   0.911016E-03   0.795940E-03   0.137537E-03   0.606171E-03   0.292198E-04   0.549832E-03   0.182190E+03   0.000000E+00   0.000000E+00   0.182190E+03  -0.364380E+03
   0.994984E+02   0.412271E+01  -0.205403E+01   0.444976E+01   0.132598E-02   0.490891E-03   0.616501E-03   0.795940E-03   0.137537E-03   0.606171E-03   0.426079E-02   0.549832E-03   0.180046E+03   0.000000E+00   0.000000E+00   0.180046E+03  -0.360092E+03
   0.994984E+02   0.412271E+01  -0.214280E+01   0.444976E+01   0.132598E-02   0.490891E-03   0.616501E-03   0.795940E-03   0.531210E-03   0.606171E-03   0.206498E-02   0.549832E-03   0.182992E+03   0.000000E+00   0.000000E+00   0.182992E+03  -0.365984E+03
   0.994984E+02   0.412271E+01   0.291947E+01  -0.649617E+00   0.132598E-02   0.490891E-03   0.616501E-03   0.795940E-03   0.163989E-03   0.606171E-03   0.190987E-02   0.549832E-03   0.182443E+03   0.000000E+00   0.000000E+00   0.182443E+03  -0.364886E+03
   0.991602E+02   0.284319E+01   0.291947E+01  -0.649617E+00   0.132598E-02   0.490891E-03   0.616501E-03   0.376274E-03   0.496179E-03   0.606171E-03   0.190987E-02   0.549832E-03   0.181859E+03   0.000000E+00   0.000000E+00   0.181859E+03  -0.363718E+03
   0.991602E+02  -0.195824E+01   0.467985E+01  -0.649617E+00   0.187070E-03   0.490891E-03   0.616501E-03   0.376274E-03   0.496179E-03   0.606171E-03   0.195199E-02   0.549832E-03   0.180745E+03   0.000000E+00   0.000000E+00   0.180745E+03  -0.361490E+03
   0.102006E+03  -0.338983E+01   0.653295E+01   0.124662E+02   0.187070E-03   0.512715E-03   0.616501E-03   0.179490E-02   0.496179E-03   0.606171E-03   0.195199E-02   0.549832E-03   0.174902E+03   0.000000E+00   0.000000E+00   0.174902E+03  -0.349804E+03
   0.102006E+03   0.111938E+02   0.653295E+01   0.124662E+02   0.187070E-03   0.512715E-03   0.616501E-03   0.687600E-03   0.111663E-03   0.606171E-03   0.786400E-03   0.549832E-03   0.183675E+03   0.000000E+00   0.000000E+00   0.183675E+03  -0.367350E+03
   0.102006E+03   0.111938E+02   0.653295E+01   0.242621E+02   0.722132E-03   0.512715E-03   0.801722E-02   0.808352E-03   0.111663E-03   0.606171E-03   0.786400E-03   0.679823E-03   0.177780E+03   0.000000E+00   0.000000E+00   0.177780E+03  -0.355560E+03
   0.102006E+03   0.939535E+01   0.653295E+01   0.252244E+02   0.722132E-03   0.512715E-03   0.140633E-01   0.808352E-03   0.115158E-04   0.606171E-03   0.786400E-03   0.679823E-03   0.176051E+03   0.000000E+00   0.000000E+00   0.176051E+03  -0.352102E+03
   0.102006E+03   0.939535E+01   0.518828E+01   0.251732E+02   0.722132E-03   0.512715E-03   0.123704E-01   0.808352E-03   0.115158E-04   0.606171E-03   0.786400E-03   0.679823E-03   0.176307E+03   0.000000E+00   0.000000E+00   0.176307E+03  -0.352614E+03
