"P0" "P1" "P2" "P3"
1 -1 1 -1
1 -0.992729035385361 0.978266406545724 -0.956769753276494
1 -0.982515061283845 0.948003768474395 -0.897369926943997
1 -0.972301087182328 0.918054106203906 -0.839507617802212
1 -0.962087113080812 0.888417419734256 -0.783166842217515
1 -0.951873138979295 0.859093709065444 -0.728331616556286
1 -0.941659164877779 0.830082974197473 -0.674985957184906
1 -0.931445190776262 0.801385215130341 -0.623113880469752
1 -0.921231216674746 0.773000431864048 -0.572699402777204
1 -0.911132654709969 0.745244071718254 -0.524271912645887
1 -0.901034092745193 0.71779365443373 -0.477238195171459
1 -0.890935530780417 0.690649180010475 -0.431582802439209
1 -0.880836968815641 0.663810648448489 -0.387290286534426
1 -0.870738406850864 0.637278059747772 -0.344345199542399
1 -0.860639844886088 0.611051413908325 -0.302732093548418
1 -0.850541282921312 0.585130710930147 -0.26243552063777
1 -0.840442720956536 0.559515950813238 -0.223440032895745
1 -0.83034415899176 0.534207133557599 -0.185730182407632
1 -0.820245597026983 0.509204259163228 -0.149290521258719
1 -0.810147035062207 0.484507327630128 -0.114105601534298
1 -0.800048473097431 0.460116338958296 -0.0801599753196542
1 -0.789949911132655 0.436031293147734 -0.0474381947000782
1 -0.779851349167878 0.41225219019844 -0.0159248117608587
1 -0.769752787203102 0.388779030110417 0.0143956214127149
1 -0.759654225238326 0.365611812883662 0.0435385527353538
1 -0.74955566327355 0.342750538518177 0.0715194301217692
1 -0.739457101308774 0.320195207013961 0.0983537014866721
1 -0.729358539343997 0.297945818371014 0.124056814744774
1 -0.719259977379221 0.276002372589337 0.148644217810785
1 -0.709161415414445 0.254364869668929 0.172131358599416
1 -0.699062853449669 0.23303330960979 0.19453368502538
1 -0.688964291484893 0.21200769241192 0.215866645003386
1 -0.678865729520116 0.19128801807532 0.236145686448146
1 -0.66876716755534 0.170874286599989 0.25538625727437
1 -0.658668605590564 0.150766497985927 0.273603805396771
1 -0.648570043625788 0.130964652233134 0.290813778730058
1 -0.638471481661012 0.111468749341611 0.307031625188944
1 -0.628372919696235 0.0922787893113571 0.322272792688138
1 -0.618274357731459 0.0733947721423724 0.336552729142353
1 -0.608175795766683 0.054816697834657 0.349886882466298
1 -0.598077233801907 0.0365445663882108 0.362290700574686
1 -0.58797867183713 0.018578377803034 0.373779631382226
1 -0.577880109872354 0.000918132079126388 0.384369122803631
1 -0.567781547907578 -0.0164361707835119 0.394074622753612
1 -0.557682985942802 -0.033484530784881 0.402911579146878
1 -0.547584423978026 -0.050226947924981 0.410895439898142
1 -0.537485862013249 -0.0666634222038113 0.418041652922114
1 -0.527387300048473 -0.0827939536213725 0.424365666133506
1 -0.517288738083697 -0.0986185421776646 0.429882927447028
1 -0.507190176118921 -0.114137187872687 0.434608884777391
1 -0.497091614154144 -0.129349890706441 0.438558986039308
1 -0.486993052189368 -0.144256650678925 0.441748679147487
1 -0.476894490224592 -0.15885746779014 0.444193412016642
1 -0.466795928259816 -0.173152342040085 0.445908632561482
1 -0.45669736629504 -0.187141273428762 0.446909788696719
1 -0.446598804330263 -0.200824261956169 0.447212328337063
1 -0.436500242365487 -0.214201307622306 0.446831699397227
