               a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04
Minimum           0.107477E+03   0.247288E+02   0.228711E-03   0.585851E+01   0.516278E+01   0.725653E+01   0.853567E+01
Maximum           0.128520E+03   0.472676E+02   0.102863E-02   0.198952E+02   0.195344E+02   0.263916E+02   0.257831E+02
Range             0.210430E+02   0.225388E+02   0.799919E-03   0.140367E+02   0.143716E+02   0.191351E+02   0.172474E+02
Mean              0.117070E+03   0.357093E+02   0.468017E-03   0.104228E+02   0.103401E+02   0.151835E+02   0.152568E+02
Median            0.116618E+03   0.359248E+02   0.440464E-03   0.101681E+02   0.100215E+02   0.150761E+02   0.148531E+02
Q10%              0.111313E+03   0.299287E+02   0.308796E-03   0.796125E+01   0.790223E+01   0.115555E+02   0.116597E+02
Q25%              0.114076E+03   0.319041E+02   0.364814E-03   0.901263E+01   0.887726E+01   0.131794E+02   0.131598E+02
Q75%              0.120626E+03   0.387175E+02   0.548339E-03   0.115642E+02   0.115822E+02   0.170176E+02   0.171466E+02
Q90%              0.122328E+03   0.423658E+02   0.664119E-03   0.132770E+02   0.131045E+02   0.188887E+02   0.193279E+02
St.Dev.           0.439786E+01   0.472929E+01   0.139538E-03   0.209975E+01   0.212893E+01   0.292228E+01   0.302605E+01
Variance          0.193412E+02   0.223662E+02   0.194708E-07   0.440893E+01   0.453233E+01   0.853975E+01   0.915699E+01
CV                0.375661E-01   0.132438E+00   0.298147E+00   0.201457E+00   0.205891E+00   0.192464E+00   0.198341E+00
Skewness          0.169611E+00   0.105879E+00   0.807301E+00   0.714238E+00   0.737369E+00   0.450935E+00   0.561829E+00
Kurtosis         -0.610062E+00  -0.633168E+00   0.467690E+00   0.821512E+00   0.100874E+01   0.474089E+00   0.139611E+00
MaxPost           0.118985E+03   0.332381E+02   0.334454E-03   0.979147E+01   0.999873E+01   0.149831E+02   0.145602E+02
