x (m);0.06;0.65;1.65;3.65;5.65;7.65;9.65;11.65;15.65
U1 (cm/s);50.0924615384615;52.1266043478261;53.63195;54.6250555555556;53.1331611111111;53.4880555555556;54.0509833333333;55.2003875;55.2375
U2 (cm/s);51.9625125;53.97384;51.0937666666667;54.60334;54.7172857142857;55.8489857142857;54.82404375;56.4976733333333;56.2618722222222
Us (cm/s);1.87005096153847;1.84723565217392;-2.53818333333334;-0.0217155555555593;1.5841246031746;2.36093015873017;0.773060416666667;1.29728583333334;1.02437222222221
Uc (cm/s);51.0274870192308;53.050222173913;52.3628583333333;54.6141977777778;53.9252234126984;54.6685206349206;54.4375135416667;55.8490304166667;55.7496861111111
Ui (cm/s);ND;ND;ND;ND;ND;ND;ND;ND;ND
yc (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
yi (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
lambda;0.0183239570550839;0.0174102536848779;-0.0242364856896819;-0.000198808702124663;0.0146881598528674;0.0215931410920792;0.00710043834087833;0.0116142198320618;0.00918724654503526
dU/dy max (s-1);ND;ND;ND;ND;ND;ND;ND;ND;ND
delta_v (m);ND;ND;ND;ND;ND;ND;ND;ND;ND
delta_v/h;ND;ND;ND;ND;ND;ND;ND;ND;ND
h / cf (m);14.2441491699257;14.3588349671855;14.3213073387332;14.2593137780701;14.1909688311425;14.2889446853643;14.1405407384428;14.1706288458786;14.2252334337685
h1 (mm);60.9045444431106;60.9045444431106;60.3286416042214;60.5214778191117;60.3065866007226;60.4517101506665;60.2010611589724;60.0696503030008;60.0115030056389
h2 (mm);61.401982356056;61.401982356056;61.9812548067777;60.4822515785277;60.4724320710827;60.746360330528;60.0282487310839;59.8528507178606;60.3313157177508
h (mm);61.1532633995833;61.1532633995833;61.1549482054995;60.5018646988197;60.3895093359027;60.5990352405972;60.1146549450282;59.9612505104307;60.1714093616949
cf1;0.00431327228617076;0.00427760180911859;0.0042610348928117;0.00424284487022203;0.00426956625861506;0.00426188635488959;0.00425628564789334;0.00423983183302521;0.00424008778247126
cf2;0.00427316733476482;0.00424025685272105;0.00427937929690415;0.00424309851253288;0.00424141139970749;0.00422006057330686;0.00424616925209491;0.00422291899653588;0.00421972549818218
cf;0.00429321981046779;0.00425892933091982;0.00427020709485792;0.00424297169137745;0.00425548882916128;0.00424097346409822;0.00425122744999413;0.00423137541478054;0.00422990664032672
S;ND;ND;ND;ND;ND;ND;ND;ND;ND
Max V/Uc (%);5.64381717393531;2.71820108259187;1.28695238618642;0.643050461041177;0.850230547264237;0.925990989947541;0.441405790850779;0.702361645835056;0.490606355942249
Froude1;0.648056722670692;0.674372856515877;0.697151732128059;0.708928810019211;0.690794350410691;0.694573182165333;0.703342761687407;0.719084737334374;0.719916717981417
Froude2;0.669521367715665;0.695436718493288;0.65524427410329;0.708876745659114;0.710413694127024;0.723470214117798;0.714428424127338;0.737315967959039;0.731321393407671
Re1 ;30508.5855003404;31747.4709117062;32355.4269008552;33059.890881733;32042.7958191737;32334.4443096719;32539.265533526;33158.6797371514;33148.8539727398
Re2;31906.0127570134;33141.0077136859;31668.5577080471;33025.3294690788;33088.8734347117;33926.2261029451;32909.9133466882;33815.4680792646;33943.5277591064
number of measuring points across the channel;62;61;37;62;37;37;37;37;37
