x(m)	h2(mm)
0.504	61.22094369
0.604	62.29240049
0.704	60.62976038
0.804	61.46482487
0.904	60.12513424
1.004	62.72633391
1.104	60.60009471
1.204	62.97388892
1.304	61.53339603
1.404	62.42296271
1.504	62.03706463
1.604	62.50262847
1.704	61.76687995
1.804	61.61844617
1.904	61.20668572
2.004	61.06967083
2.104	60.11092378
2.204	60.38918797
2.304	60.61273543
2.404	59.01069978
2.504	60.52319573
2.604	59.67072955
2.704	60.39997953
2.804	60.08758308
2.904	60.40653056
3.004	59.88574966
3.104	60.30782228
3.204	60.24055616
3.304	60.22073826
3.404	60.80797715
3.504	60.34912136
3.604	60.71315317
3.704	60.1024559
3.804	60.76427588
3.904	59.46565501
4.004	59.79763417
4.104	59.11679229
4.204	59.34602996
4.304	59.36465088
4.404	58.88153947
4.504	59.18487757
4.604	58.28767481
4.704	60.4769824
4.804	59.28920446
4.904	60.44061316
5.004	59.17228018
5.104	59.44870573
5.204	58.70304491
5.304	59.05120364
5.404	59.563844
5.504	60.38450635
5.604	60.16949684
5.704	60.51653872
5.804	60.81918637
5.904	60.77912816
6.004	61.15666159
6.104	61.04102037
6.204	60.8401902
6.304	60.06665996
6.404	60.73292829
6.504	60.08540842
6.604	60.29664648
6.704	59.86147043
6.804	59.79552863
6.904	59.53791972
7.004	59.81425744
7.104	60.40644282
7.204	60.39245354
7.304	60.80991786
7.404	60.61200545
7.504	61.06339413
7.604	60.51907228
7.704	61.01218156
7.804	60.39079335
7.904	60.80619943
8.004	60.26035171
8.104	60.28162704
8.204	60.24063908
8.304	59.88782877
8.404	59.90950563
8.504	58.91545309
8.604	59.63966808
8.704	59.04001258
8.804	59.73201816
8.904	59.4793353
9.004	59.99424587
9.104	60.16715219
9.204	60.30978392
9.304	59.69386183
9.404	59.97972491
9.504	60.4510374
9.604	59.62270864
9.704	60.23142679
9.804	59.8078221
9.904	60.35156514
10.004	60.53074951
10.104	60.66730336
10.204	60.94342728
10.304	60.91752094
10.404	61.28430519
10.504	61.24228678
10.604	61.82299239
10.704	60.90884418
10.804	60.75907349
10.904	60.57654551
11.004	60.87075816
11.104	60.64445341
11.204	60.52563695
11.304	60.3831068
11.404	60.17584712
11.504	59.9909261
11.604	59.7396989
11.704	59.67588157
11.804	60.0048963
11.904	59.51636005
12.004	59.55971038
12.104	59.52002608
12.204	59.52279662
12.304	59.82110164
12.404	59.82654671
12.504	59.93585558
12.604	59.42546347
12.704	59.29163644
12.804	59.29512442
12.904	59.59457726
13.004	61.10067889
13.104	60.03607828
13.204	60.66143797
13.304	60.1635296
13.404	60.66574121
13.504	60.71868777
13.604	61.06849364
13.704	60.08924978
13.804	59.31167499
13.904	60.45637326
14.004	58.94056015
14.104	60.15658355
14.204	58.37148396
14.304	59.92296547
14.404	58.99658834
14.504	60.68288982
14.604	60.18443609
14.704	60.59573997
14.804	60.96942432
14.904	60.65269764
15.004	61.24045839
15.104	60.21267651
15.204	61.24488289
15.304	60.16477823
15.404	61.43608946
15.504	60.35183319
15.604	60.88060377
15.704	59.63562162
15.804	60.45720429
15.904	59.86203813
16.004	60.45384139
16.104	60.18646904
16.204	60.3144443
16.304	60.33431323
16.404	60.01099712
16.504	60.39803903
