a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.994278E+02   0.373634E+01  -0.183575E+01   0.280873E-03   0.267004E-03   0.350147E-03   0.100308E-02   0.857207E-03   0.578632E-03   0.104382E-02   0.122224E-03   0.185752E+03
   0.994278E+02   0.209619E+01  -0.183575E+01   0.280873E-03   0.267004E-03   0.350147E-03   0.100308E-02   0.857207E-03   0.578632E-03   0.104382E-02   0.122224E-03   0.186355E+03
   0.994278E+02   0.902185E+00  -0.570857E+01   0.280873E-03   0.267004E-03   0.350147E-03   0.100308E-02   0.857207E-03   0.578632E-03   0.104382E-02   0.122224E-03   0.185868E+03
   0.994278E+02   0.902185E+00  -0.542430E+01   0.280873E-03   0.267004E-03   0.350147E-03   0.286863E-02   0.857207E-03   0.578632E-03   0.104382E-02   0.231376E-04   0.183088E+03
   0.994278E+02   0.902185E+00  -0.542430E+01   0.280873E-03   0.607829E-03   0.350147E-03   0.182773E-02   0.739808E-03   0.578632E-03   0.396608E-03   0.556363E-03   0.185138E+03
   0.994278E+02   0.902185E+00  -0.547727E+01   0.280873E-03   0.607829E-03   0.350147E-03   0.464592E-02   0.739808E-03   0.578632E-03   0.396608E-03   0.556363E-03   0.181868E+03
   0.994278E+02   0.532454E+01   0.562122E+01   0.280873E-03   0.607829E-03   0.350147E-03   0.239995E-02   0.739808E-03   0.578632E-03   0.396608E-03   0.556363E-03   0.183112E+03
   0.994278E+02   0.532454E+01   0.669128E+01   0.280873E-03   0.607829E-03   0.350147E-03   0.239995E-02   0.739808E-03   0.578632E-03   0.396608E-03   0.560968E-03   0.182856E+03
   0.994278E+02  -0.220959E+01   0.631055E+01   0.280873E-03   0.825518E-03   0.350147E-03   0.239995E-02   0.739808E-03   0.578632E-03   0.396608E-03   0.560968E-03   0.181733E+03
   0.995675E+02  -0.808279E-01   0.631055E+01   0.280873E-03   0.825518E-03   0.350147E-03   0.239995E-02   0.739808E-03   0.578632E-03   0.396608E-03   0.560968E-03   0.183469E+03
   0.995675E+02  -0.162321E+01   0.631055E+01   0.280873E-03   0.825518E-03   0.747441E-03   0.239995E-02   0.846183E-03   0.578632E-03   0.396608E-03   0.560968E-03   0.182342E+03
   0.101712E+03  -0.162321E+01   0.339219E+01   0.280873E-03   0.825518E-03   0.747441E-03   0.239995E-02   0.846183E-03   0.578632E-03   0.396608E-03   0.560968E-03   0.181323E+03
   0.985725E+02  -0.152060E+01   0.258700E+01   0.280873E-03   0.825518E-03   0.747441E-03   0.137319E-02   0.846183E-03   0.578632E-03   0.396608E-03   0.560968E-03   0.182164E+03
   0.985725E+02  -0.152060E+01  -0.760719E+01   0.280873E-03   0.825518E-03   0.747441E-03   0.137319E-02   0.846183E-03   0.578632E-03   0.396608E-03   0.560968E-03   0.181916E+03
   0.999336E+02   0.412419E+01   0.845300E+01   0.280873E-03   0.825518E-03   0.921725E-03   0.893407E-03   0.846183E-03   0.578632E-03   0.396608E-03   0.560968E-03   0.184905E+03
   0.999336E+02   0.412419E+01   0.536630E+01   0.280873E-03   0.825518E-03   0.921725E-03   0.893407E-03   0.846183E-03   0.578632E-03   0.396608E-03   0.560968E-03   0.185603E+03
   0.999336E+02   0.412419E+01   0.490328E+01   0.280873E-03   0.825518E-03   0.921725E-03   0.893407E-03   0.178240E-02   0.578632E-03   0.108024E-02   0.560968E-03   0.182701E+03
   0.999336E+02   0.412419E+01  -0.400362E+01   0.280873E-03   0.825518E-03   0.363119E-04   0.893407E-03   0.392481E-03   0.578632E-03   0.108024E-02   0.216803E-03   0.185062E+03
   0.999336E+02   0.412419E+01  -0.938629E+00   0.280873E-03   0.825518E-03   0.363119E-04   0.893407E-03   0.906550E-03   0.578632E-03   0.108024E-02   0.216803E-03   0.184975E+03
   0.999336E+02   0.412419E+01  -0.938629E+00   0.280873E-03   0.825518E-03   0.363119E-04   0.893407E-03   0.906550E-03   0.578632E-03   0.231681E-03   0.216803E-03   0.185989E+03
   0.999336E+02   0.346123E+01   0.862967E+00   0.280873E-03   0.825518E-03   0.363119E-04   0.893407E-03   0.906550E-03   0.578632E-03   0.231681E-03   0.216803E-03   0.186404E+03
   0.999336E+02   0.346123E+01   0.862967E+00   0.280873E-03   0.825518E-03   0.363119E-04   0.100558E-02   0.906550E-03   0.578632E-03   0.231681E-03   0.216803E-03   0.186242E+03
   0.999336E+02   0.346123E+01   0.862967E+00   0.280873E-03   0.894425E-04   0.363119E-04   0.128889E-02   0.906550E-03   0.578632E-03   0.231681E-03   0.216803E-03   0.186362E+03
   0.999336E+02   0.311525E+01   0.757851E+01   0.280873E-03   0.894425E-04   0.363119E-04   0.193167E-02   0.503095E-03   0.578632E-03   0.231681E-03   0.216803E-03   0.184807E+03
   0.999336E+02   0.311525E+01   0.757851E+01   0.280873E-03   0.894425E-04   0.363119E-04   0.193167E-02   0.503095E-03   0.578632E-03   0.231681E-03   0.216803E-03   0.184807E+03
   0.999336E+02   0.311525E+01  -0.681362E+01   0.280873E-03   0.894425E-04   0.363119E-04   0.193167E-02   0.503095E-03   0.690153E-03   0.231681E-03   0.216803E-03   0.184900E+03
   0.999336E+02  -0.152889E+01   0.368749E+01   0.280873E-03   0.894425E-04   0.363119E-04   0.194825E-02   0.503095E-03   0.690153E-03   0.231681E-03   0.216803E-03   0.184024E+03
   0.999336E+02  -0.152889E+01   0.357930E+01   0.587949E-03   0.894425E-04   0.363119E-04   0.198900E-02   0.503095E-03   0.690153E-03   0.231681E-03   0.216803E-03   0.183942E+03
   0.100420E+03  -0.152889E+01   0.357930E+01   0.587949E-03   0.894425E-04   0.636416E-03   0.198900E-02   0.503095E-03   0.690153E-03   0.231681E-03   0.216803E-03   0.184947E+03
   0.100420E+03  -0.152889E+01   0.357930E+01   0.587949E-03   0.894425E-04   0.636416E-03   0.161396E-02   0.503095E-03   0.690153E-03   0.231681E-03   0.216803E-03   0.185539E+03
   0.100420E+03  -0.387450E+00   0.357930E+01   0.189142E-02   0.894425E-04   0.132881E-02   0.628591E-03   0.441580E-04   0.690153E-03   0.231681E-03   0.540982E-04   0.183287E+03
   0.100420E+03  -0.387450E+00   0.357930E+01   0.147993E-02   0.894425E-04   0.132881E-02   0.628591E-03   0.441580E-04   0.808110E-03   0.231681E-03   0.540982E-04   0.183946E+03
   0.100577E+03  -0.387450E+00   0.357930E+01   0.350190E-02   0.894425E-04   0.132881E-02   0.628591E-03   0.441580E-04   0.808110E-03   0.231681E-03   0.540982E-04   0.180992E+03
   0.100577E+03  -0.387450E+00   0.357930E+01   0.398350E-02   0.871477E-03   0.132881E-02   0.912678E-03   0.441580E-04   0.142292E-03   0.231681E-03   0.540982E-04   0.178990E+03
   0.100577E+03  -0.764381E+00   0.520989E+01   0.230660E-02   0.871477E-03   0.481479E-03   0.912678E-03   0.441580E-04   0.142292E-03   0.231681E-03   0.540982E-04   0.182066E+03
   0.993317E+02  -0.764381E+00  -0.632612E+01   0.282823E-02   0.871477E-03   0.840580E-03   0.912678E-03   0.441580E-04   0.374523E-02   0.231681E-03   0.483297E-04   0.175975E+03
   0.100404E+03  -0.764381E+00  -0.867260E+01   0.282823E-02   0.104297E-02   0.840580E-03   0.416282E-03   0.441580E-04   0.138349E-02   0.231681E-03   0.483297E-04   0.177436E+03
   0.992962E+02  -0.764381E+00  -0.496554E+01   0.608257E-03   0.104297E-02   0.840580E-03   0.416282E-03   0.720051E-03   0.250499E-03   0.231681E-03   0.483297E-04   0.183566E+03
   0.992962E+02  -0.764381E+00   0.619407E+01   0.647013E-03   0.104297E-02   0.840580E-03   0.416282E-03   0.720051E-03   0.110139E-02   0.231681E-03   0.483297E-04   0.182672E+03
   0.992962E+02  -0.239300E+01   0.610717E+01   0.647013E-03   0.104297E-02   0.840580E-03   0.416282E-03   0.720051E-03   0.110139E-02   0.231681E-03   0.483297E-04   0.181377E+03
   0.992962E+02  -0.239300E+01   0.226105E+01   0.398124E-03   0.104297E-02   0.840580E-03   0.416282E-03   0.720051E-03   0.391760E-02   0.231681E-03   0.945783E-03   0.177653E+03
   0.992962E+02  -0.187804E+00  -0.977239E+01   0.398124E-03   0.104297E-02   0.840580E-03   0.416282E-03   0.129656E-02   0.496859E-02   0.920938E-04   0.945783E-03   0.176570E+03
   0.992962E+02   0.215023E+01   0.536125E+01   0.131738E-02   0.104297E-02   0.840580E-03   0.143559E-02   0.129656E-02   0.496859E-02   0.920938E-04   0.945783E-03   0.175515E+03
   0.100721E+03   0.175681E+01   0.864862E+01   0.105842E-02   0.104297E-02   0.488072E-03   0.211960E-02   0.129656E-02   0.204926E-03   0.920938E-04   0.945783E-03   0.180857E+03
   0.100721E+03   0.175681E+01   0.664381E+01   0.105842E-02   0.104297E-02   0.488072E-03   0.211960E-02   0.129656E-02   0.204926E-03   0.920938E-04   0.945783E-03   0.180649E+03
   0.100721E+03   0.113388E+01   0.808060E+01   0.913354E-04   0.104297E-02   0.488072E-03   0.137300E-02   0.809144E-03   0.204926E-03   0.556266E-03   0.945783E-03   0.183346E+03
   0.100721E+03   0.132727E+01   0.143126E+02   0.187500E-02   0.104297E-02   0.895191E-03   0.137300E-02   0.809144E-03   0.204926E-03   0.556266E-03   0.945783E-03   0.179605E+03
   0.100721E+03   0.132727E+01   0.143126E+02   0.187500E-02   0.104297E-02   0.139499E-02   0.137300E-02   0.809144E-03   0.204926E-03   0.556266E-03   0.945783E-03   0.178601E+03
   0.100721E+03  -0.336890E+01   0.120040E+02   0.187500E-02   0.104297E-02   0.139499E-02   0.137300E-02   0.809144E-03   0.204926E-03   0.556266E-03   0.945783E-03   0.177455E+03
   0.100721E+03   0.723035E+01   0.126077E+02   0.138797E-02   0.104297E-02   0.139499E-02   0.137300E-02   0.809144E-03   0.204926E-03   0.556266E-03   0.663631E-03   0.178407E+03
   0.100721E+03   0.213531E+01   0.109421E+02   0.138797E-02   0.104297E-02   0.139499E-02   0.137300E-02   0.756980E-03   0.204926E-03   0.556266E-03   0.663631E-03   0.180783E+03
   0.100721E+03   0.213531E+01   0.109421E+02   0.138797E-02   0.104297E-02   0.159028E-03   0.137300E-02   0.756980E-03   0.204926E-03   0.535226E-03   0.119955E-02   0.181093E+03
   0.100721E+03   0.213531E+01   0.109421E+02   0.138797E-02   0.308987E-03   0.159028E-03   0.137300E-02   0.756980E-03   0.119457E-02   0.535226E-03   0.119955E-02   0.181748E+03
   0.100721E+03   0.213531E+01   0.105161E+02   0.138797E-02   0.308987E-03   0.159028E-03   0.137300E-02   0.756980E-03   0.119457E-02   0.535226E-03   0.116402E-02   0.181916E+03
   0.100721E+03   0.213531E+01   0.105161E+02   0.138797E-02   0.308987E-03   0.159028E-03   0.579223E-03   0.756980E-03   0.211734E-02   0.535226E-03   0.116402E-02   0.180877E+03
   0.100721E+03   0.213531E+01  -0.304877E+01   0.414989E-03   0.308987E-03   0.159028E-03   0.579223E-03   0.186410E-02   0.211734E-02   0.535226E-03   0.116402E-02   0.180996E+03
   0.100721E+03   0.213531E+01  -0.447613E+01   0.414989E-03   0.860147E-03   0.221593E-02   0.579223E-03   0.186410E-02   0.211734E-02   0.547649E-03   0.116402E-02   0.178199E+03
   0.100721E+03   0.213531E+01  -0.311920E+00   0.619730E-03   0.860147E-03   0.221593E-02   0.579223E-03   0.186410E-02   0.211734E-02   0.547649E-03   0.116402E-02   0.178197E+03
   0.100721E+03   0.716819E+01   0.345334E+01   0.619730E-03   0.860147E-03   0.144454E-02   0.579223E-03   0.158956E-02   0.211734E-02   0.547649E-03   0.116402E-02   0.179069E+03
   0.100721E+03   0.203842E+01   0.702916E+01   0.619730E-03   0.860147E-03   0.144454E-02   0.579223E-03   0.258337E-03   0.211734E-02   0.547649E-03   0.116402E-02   0.181429E+03
   0.100721E+03   0.203842E+01   0.161168E+01   0.485274E-03   0.574456E-03   0.144454E-02   0.579223E-03   0.258337E-03   0.153901E-02   0.547649E-03   0.116402E-02   0.183753E+03
   0.100721E+03   0.207723E+00   0.161168E+01   0.485274E-03   0.574456E-03   0.836753E-03   0.607117E-03   0.258337E-03   0.153901E-02   0.547649E-03   0.116402E-02   0.184354E+03
   0.100721E+03   0.207723E+00   0.835186E+00   0.485274E-03   0.574456E-03   0.619565E-03   0.607117E-03   0.102821E-02   0.408407E-03   0.650041E-03   0.116402E-02   0.184584E+03
   0.100721E+03   0.253371E+01   0.603841E+00   0.485274E-03   0.930918E-03   0.619565E-03   0.145104E-02   0.102821E-02   0.408407E-03   0.650041E-03   0.116402E-02   0.182882E+03
   0.100721E+03   0.253371E+01   0.603841E+00   0.485274E-03   0.930918E-03   0.619565E-03   0.590610E-04   0.102821E-02   0.408407E-03   0.650041E-03   0.100983E-02   0.182923E+03
   0.100337E+03   0.186310E+01   0.515773E+01   0.485274E-03   0.386880E-03   0.619565E-03   0.590610E-04   0.102821E-02   0.408407E-03   0.650041E-03   0.503713E-03   0.185639E+03
   0.100337E+03   0.186310E+01   0.515773E+01   0.485274E-03   0.280737E-03   0.619565E-03   0.859826E-03   0.102821E-02   0.550892E-03   0.650041E-03   0.503713E-03   0.186890E+03
   0.100337E+03   0.119409E+01   0.271321E+00   0.128348E-03   0.152978E-03   0.619565E-03   0.859826E-03   0.116318E-02   0.106263E-02   0.650041E-03   0.503713E-03   0.186251E+03
   0.100337E+03   0.119409E+01   0.271321E+00   0.128348E-03   0.152978E-03   0.619565E-03   0.859826E-03   0.116318E-02   0.106263E-02   0.185188E-02   0.503713E-03   0.183777E+03
   0.101014E+03   0.293845E+01  -0.991959E+01   0.128348E-03   0.152978E-03   0.619565E-03   0.987355E-03   0.116318E-02   0.575259E-03   0.192617E-02   0.503713E-03   0.181362E+03
   0.101014E+03   0.293845E+01  -0.991959E+01   0.128348E-03   0.152978E-03   0.619565E-03   0.905863E-03   0.116318E-02   0.222797E-02   0.192617E-02   0.503713E-03   0.180684E+03
   0.101014E+03  -0.227000E+01  -0.527325E+01   0.145768E-02   0.152978E-03   0.619565E-03   0.905863E-03   0.116318E-02   0.159251E-02   0.714024E-03   0.150670E-03   0.180172E+03
   0.101014E+03   0.453792E+01  -0.527325E+01   0.145768E-02   0.152978E-03   0.619565E-03   0.905863E-03   0.116318E-02   0.159251E-02   0.714024E-03   0.150670E-03   0.182127E+03
   0.101014E+03   0.400592E+01  -0.527325E+01   0.145768E-02   0.152978E-03   0.619565E-03   0.905863E-03   0.116318E-02   0.159251E-02   0.714024E-03   0.150670E-03   0.182277E+03
   0.101014E+03   0.400592E+01  -0.257923E+01   0.145768E-02   0.152978E-03   0.619565E-03   0.458577E-04   0.116318E-02   0.159251E-02   0.714024E-03   0.150670E-03   0.180525E+03
   0.100236E+03   0.284914E+01   0.760329E+01   0.145768E-02   0.152978E-03   0.619565E-03   0.458577E-04   0.116318E-02   0.159251E-02   0.714024E-03   0.150670E-03   0.180792E+03
   0.100236E+03   0.284914E+01   0.152840E+01   0.235944E-03   0.152978E-03   0.619565E-03   0.458577E-04   0.116318E-02   0.119959E-03   0.714024E-03   0.150670E-03   0.183900E+03
   0.100236E+03   0.284914E+01   0.828603E+01   0.235944E-03   0.152978E-03   0.619565E-03   0.458577E-04   0.116318E-02   0.119959E-03   0.714024E-03   0.150670E-03   0.183171E+03
   0.100175E+03   0.284914E+01   0.828603E+01   0.235944E-03   0.152978E-03   0.619565E-03   0.846234E-03   0.116318E-02   0.730281E-02   0.714024E-03   0.150670E-03   0.178133E+03
   0.100175E+03   0.284914E+01   0.204122E+01   0.235944E-03   0.152978E-03   0.619565E-03   0.846234E-03   0.116318E-02   0.873067E-02   0.714024E-03   0.150670E-03   0.179194E+03
