a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.000000E+00  0.500000E-03  0.100000E+02  0.100000E+02  0.150000E+02  0.150000E+02  0.396916E+02
  0.100000E+03  0.444277E+01 -0.165523E+02 -0.536279E+01  0.551768E-03  0.939983E+01  0.891986E+01  0.150824E+02  0.149992E+02  0.392349E+02
  0.100000E+03 -0.122628E+01 -0.580157E+01 -0.108717E+02  0.551768E-03  0.101368E+02  0.881923E+01  0.162258E+02  0.174708E+02  0.389994E+02
  0.100000E+03 -0.646317E+01 -0.570178E+01 -0.108717E+02  0.551768E-03  0.910907E+01  0.912580E+01  0.156934E+02  0.166749E+02  0.382216E+02
  0.100000E+03 -0.939901E+00 -0.973350E+00 -0.111358E+02  0.551768E-03  0.935461E+01  0.852192E+01  0.145459E+02  0.164261E+02  0.393611E+02
  0.100000E+03 -0.939901E+00 -0.369779E+01 -0.249663E+01  0.551768E-03  0.900180E+01  0.857049E+01  0.145459E+02  0.146036E+02  0.393729E+02
  0.100000E+03  0.410635E+01 -0.312676E+01  0.508323E+01  0.530435E-03  0.102220E+02  0.841077E+01  0.127754E+02  0.156584E+02  0.391102E+02
  0.100000E+03  0.410635E+01  0.516425E+01  0.722391E+01  0.530435E-03  0.105914E+02  0.976827E+01  0.127754E+02  0.170740E+02  0.389842E+02
  0.100000E+03  0.410635E+01  0.516425E+01  0.987341E+01  0.717333E-04  0.100102E+02  0.841206E+01  0.108588E+02  0.175634E+02  0.388205E+02
  0.100000E+03  0.410635E+01  0.882295E+01  0.144972E+02  0.717333E-04  0.112594E+02  0.880892E+01  0.108588E+02  0.170485E+02  0.383986E+02
  0.100000E+03  0.410635E+01  0.882295E+01  0.144972E+02  0.717333E-04  0.112594E+02  0.856123E+01  0.122982E+02  0.183760E+02  0.386286E+02
  0.100000E+03  0.410635E+01  0.616103E+01  0.163134E+02  0.717333E-04  0.103688E+02  0.814519E+01  0.161184E+02  0.194696E+02  0.386159E+02
  0.100000E+03  0.410635E+01  0.415075E+01  0.120531E+02  0.717333E-04  0.106226E+02  0.808983E+01  0.164684E+02  0.193455E+02  0.387537E+02
  0.100000E+03  0.140326E+01 -0.509030E+01  0.107406E+02  0.717333E-04  0.106226E+02  0.776109E+01  0.149701E+02  0.174184E+02  0.391795E+02
  0.100000E+03  0.140326E+01 -0.509030E+01  0.107406E+02  0.204461E-03  0.111245E+02  0.739820E+01  0.149701E+02  0.173137E+02  0.386551E+02
  0.100000E+03  0.140326E+01 -0.339449E+01  0.138104E+02  0.204461E-03  0.111245E+02  0.816076E+01  0.161847E+02  0.168726E+02  0.390758E+02
  0.100000E+03  0.140326E+01 -0.690961E+01  0.200632E+02  0.204461E-03  0.109238E+02  0.868593E+01  0.145730E+02  0.168726E+02  0.390859E+02
  0.100000E+03  0.140326E+01 -0.108412E+02  0.174141E+02  0.204461E-03  0.115839E+02  0.958488E+01  0.160178E+02  0.151794E+02  0.390339E+02
  0.100000E+03  0.323999E+01 -0.108412E+02  0.174141E+02  0.204461E-03  0.113676E+02  0.814020E+01  0.146846E+02  0.149075E+02  0.390053E+02
  0.100000E+03  0.323999E+01 -0.671290E+01  0.520215E+01  0.282264E-03  0.117174E+02  0.820986E+01  0.146467E+02  0.135814E+02  0.393634E+02
  0.100000E+03  0.506309E+01  0.557132E+01 -0.391119E+00  0.282264E-03  0.109037E+02  0.712996E+01  0.173247E+02  0.164511E+02  0.382130E+02
  0.100000E+03  0.506309E+01 -0.351199E+01  0.102797E+02  0.282264E-03  0.117850E+02  0.727651E+01  0.168277E+02  0.173641E+02  0.379903E+02
  0.100000E+03  0.506309E+01  0.644335E+01  0.143257E+02  0.672700E-03  0.117850E+02  0.727651E+01  0.169604E+02  0.170217E+02  0.369146E+02
  0.998223E+02  0.506309E+01 -0.122233E+01  0.143257E+02  0.432219E-03  0.117850E+02  0.727651E+01  0.159813E+02  0.171451E+02  0.379902E+02
  0.998223E+02  0.506309E+01 -0.663282E+01  0.419999E+01  0.182010E-03  0.120302E+02  0.727651E+01  0.156957E+02  0.192977E+02  0.376621E+02
  0.998223E+02  0.506309E+01  0.279061E+01  0.645955E+01  0.102690E-02  0.115536E+02  0.718625E+01  0.158818E+02  0.192977E+02  0.351967E+02
  0.101092E+03  0.154674E+02  0.242535E+01 -0.421822E+01  0.182900E-02  0.115450E+02  0.831503E+01  0.159036E+02  0.197104E+02  0.318434E+02
  0.103072E+03  0.147923E+02  0.180070E+02 -0.151567E+02  0.182900E-02  0.108609E+02  0.861771E+01  0.147181E+02  0.197104E+02  0.317251E+02
  0.103072E+03  0.173284E+02  0.142271E+02 -0.113023E+02  0.182900E-02  0.985047E+01  0.948368E+01  0.160819E+02  0.208733E+02  0.312704E+02
  0.103072E+03  0.173289E+02  0.175766E+02 -0.166694E+02  0.134368E-02  0.910236E+01  0.106983E+02  0.175126E+02  0.203587E+02  0.313867E+02
  0.103072E+03  0.112777E+02  0.173054E+02 -0.261310E+02  0.134368E-02  0.932917E+01  0.994906E+01  0.151807E+02  0.203465E+02  0.325603E+02
  0.103072E+03  0.136807E+02  0.677670E+01 -0.221842E+02  0.134368E-02  0.952299E+01  0.924060E+01  0.166017E+02  0.189739E+02  0.329026E+02
  0.103072E+03  0.136807E+02 -0.739559E+01 -0.143373E+02  0.801060E-03  0.935943E+01  0.103650E+02  0.178565E+02  0.203061E+02  0.317477E+02
  0.102697E+03  0.510578E+01 -0.142636E+02 -0.163912E+02  0.801060E-03  0.102471E+02  0.111125E+02  0.178565E+02  0.219140E+02  0.337269E+02
  0.102697E+03 -0.264783E+01 -0.660709E+01 -0.163912E+02  0.801060E-03  0.105384E+02  0.133254E+02  0.165855E+02  0.199807E+02  0.343580E+02
  0.102697E+03 -0.518374E+01  0.883597E+00 -0.247264E+02  0.797182E-03  0.951650E+01  0.133254E+02  0.158648E+02  0.184785E+02  0.358744E+02
  0.102697E+03 -0.518374E+01  0.436749E+01 -0.247264E+02  0.797182E-03  0.951650E+01  0.139131E+02  0.158648E+02  0.184618E+02  0.354929E+02
  0.100835E+03 -0.391958E+00  0.400765E+01 -0.290129E+02  0.869783E-04  0.951650E+01  0.126889E+02  0.161451E+02  0.184618E+02  0.378647E+02
  0.100835E+03 -0.391958E+00  0.400765E+01 -0.301275E+02  0.869783E-04  0.101497E+02  0.123497E+02  0.169166E+02  0.163230E+02  0.382561E+02
  0.100835E+03  0.326115E+01  0.400765E+01 -0.301275E+02  0.869783E-04  0.900722E+01  0.107345E+02  0.143398E+02  0.163230E+02  0.384424E+02
  0.100835E+03  0.326115E+01  0.400765E+01 -0.235109E+02  0.869783E-04  0.989119E+01  0.122503E+02  0.120740E+02  0.173356E+02  0.380575E+02
  0.100835E+03 -0.487998E+01 -0.373715E+01 -0.282098E+02  0.706916E-03  0.102125E+02  0.103716E+02  0.127081E+02  0.173356E+02  0.375432E+02
