a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.122048E+03   0.308552E+02   0.106858E-03   0.102939E+02   0.837475E+01   0.141785E+02   0.134449E+02   0.503653E+02
   0.122048E+03   0.301180E+02   0.106858E-03   0.130123E+02   0.837475E+01   0.167448E+02   0.134449E+02   0.491229E+02
   0.122048E+03   0.301180E+02   0.130564E-03   0.112245E+02   0.942261E+01   0.185809E+02   0.120440E+02   0.492862E+02
   0.122048E+03   0.301180E+02   0.130564E-03   0.112245E+02   0.105990E+02   0.173712E+02   0.120440E+02   0.495414E+02
   0.122048E+03   0.301180E+02   0.130564E-03   0.112245E+02   0.105990E+02   0.188701E+02   0.625313E+01   0.407574E+02
   0.122048E+03   0.304382E+02   0.130564E-03   0.108216E+02   0.105990E+02   0.140359E+02   0.625313E+01   0.418730E+02
   0.122048E+03   0.304382E+02   0.130564E-03   0.105415E+02   0.105990E+02   0.834507E+01   0.625313E+01   0.382195E+02
   0.121476E+03   0.304382E+02   0.130564E-03   0.965851E+01   0.105990E+02   0.110730E+02   0.131276E+02   0.495282E+02
   0.121476E+03   0.304382E+02   0.130564E-03   0.965851E+01   0.952542E+01   0.107544E+02   0.131276E+02   0.494448E+02
   0.121476E+03   0.304382E+02   0.130564E-03   0.101150E+02   0.952542E+01   0.107544E+02   0.156856E+02   0.494313E+02
   0.121476E+03   0.314581E+02   0.130564E-03   0.101150E+02   0.833494E+01   0.135226E+02   0.159602E+02   0.501520E+02
   0.121476E+03   0.314581E+02   0.130564E-03   0.101150E+02   0.818315E+01   0.135226E+02   0.165196E+02   0.499798E+02
   0.121476E+03   0.314581E+02   0.130564E-03   0.101150E+02   0.818315E+01   0.158723E+02   0.115017E+02   0.495109E+02
   0.121476E+03   0.314581E+02   0.130564E-03   0.101150E+02   0.104468E+02   0.150022E+02   0.115017E+02   0.498417E+02
   0.121476E+03   0.304732E+02   0.130564E-03   0.108054E+02   0.110364E+02   0.177176E+02   0.115017E+02   0.490758E+02
   0.121423E+03   0.311932E+02   0.397160E-03   0.739037E+01   0.110364E+02   0.177176E+02   0.182476E+02   0.473232E+02
   0.121423E+03   0.311932E+02   0.397160E-03   0.739037E+01   0.125575E+02   0.177176E+02   0.126186E+02   0.471427E+02
   0.121423E+03   0.311932E+02   0.397160E-03   0.875419E+01   0.125575E+02   0.153725E+02   0.126186E+02   0.483763E+02
   0.121423E+03   0.311932E+02   0.344066E-03   0.875419E+01   0.125575E+02   0.105236E+02   0.142654E+02   0.477341E+02
   0.121423E+03   0.311932E+02   0.344066E-03   0.875419E+01   0.132205E+02   0.117010E+02   0.182440E+02   0.473561E+02
