               a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04
Minimum           0.107476E+03   0.233567E+02   0.145789E-05   0.535017E+01   0.547351E+01   0.774341E+01   0.625313E+01
Maximum           0.130073E+03   0.463434E+02   0.175629E-02   0.174023E+02   0.222593E+02   0.307639E+02   0.274443E+02
Range             0.225970E+02   0.229867E+02   0.175483E-02   0.120521E+02   0.167858E+02   0.230205E+02   0.211912E+02
Mean              0.120212E+03   0.325015E+02   0.206773E-03   0.100450E+02   0.102319E+02   0.153791E+02   0.153577E+02
Median            0.119620E+03   0.328741E+02   0.171729E-03   0.979308E+01   0.100250E+02   0.152684E+02   0.150985E+02
Q10%              0.114031E+03   0.263506E+02   0.328739E-04   0.767180E+01   0.753398E+01   0.115704E+02   0.113155E+02
Q25%              0.116518E+03   0.281212E+02   0.660069E-04   0.867289E+01   0.863564E+01   0.131729E+02   0.129375E+02
Q75%              0.124503E+03   0.361098E+02   0.306319E-03   0.112066E+02   0.116690E+02   0.170806E+02   0.175066E+02
Q90%              0.126536E+03   0.387142E+02   0.431031E-03   0.128531E+02   0.131120E+02   0.194669E+02   0.195939E+02
St.Dev.           0.483271E+01   0.477911E+01   0.178138E-03   0.197102E+01   0.220082E+01   0.310897E+01   0.327574E+01
Variance          0.233551E+02   0.228399E+02   0.317331E-07   0.388494E+01   0.484360E+01   0.966571E+01   0.107305E+02
CV                0.402015E-01   0.147042E+00   0.861514E+00   0.196220E+00   0.215094E+00   0.202156E+00   0.213297E+00
Skewness          0.730142E-01   0.104323E+00   0.222869E+01   0.635261E+00   0.571186E+00   0.611240E+00   0.543355E+00
Kurtosis         -0.966783E+00  -0.821106E+00   0.115867E+02   0.351366E+00   0.620198E+00   0.121153E+01   0.343737E+00
MaxPost           0.119856E+03   0.323052E+02   0.636728E-04   0.104839E+02   0.998064E+01   0.139885E+02   0.155705E+02
