Pk;Z
3.5613974484050886e-05;237.876
11.98553443338666;237.858
11.98553443338666;237.838
14.405892394556052;237.829
19.843056384536766;237.816
24.91912675051291;237.81
31.936878358751695;237.795
37.97365486074381;237.788
44.531076096345004;237.78
50.66070739057544;237.75
55.98660134052473;237.697
66.01717841468003;237.652
71.06188227918818;237.654
74.21421615988866;237.606
82.71268015483707;237.551
89.9986045443781;237.49
94.36541969380384;237.469
100.27517194743547;237.459
106.89235103717229;237.426
113.13725259611034;237.397
117.89227191162577;237.395
123.83613391927828;237.36
130.48989412281094;237.354
141.82202512238453;237.311
148.09304248972765;237.272
152.9887960449649;237.254
156.50867524278937;237.246
171.96767994607768;237.22
177.4924136172412;237.206
183.06978875553034;237.159
190.29331347524152;237.168
192.7724620902755;237.126
198.30358943229038;237.105
207.1644666493027;237.079
210.4402234208538;237.033
222.37330787498917;236.958
229.05822555548565;236.974
235.22491367061662;236.969
241.84460768062408;236.983
248.95675750992305;236.971
254.37514106864012;236.938
259.53711904774224;236.882
269.9463783915916;236.883
280.77800371373786;236.875
285.061898501285;236.87
289.7038864171437;236.869
296.2734888335003;236.861
303.65875133572473;236.865
310.05615377167015;236.853
316.53212423695953;236.859
324.2765795176627;236.836
328.14744590149604;236.834
334.6692306216532;236.815
336.0595469572329;236.836
343.5759215899816;236.822
349.7129029452171;236.826
358.9952355408451;236.815
365.37442260044276;236.832
370.8189121379881;236.819
377.60487172311167;236.814
385.7661092924305;236.826
392.2537373994943;236.816
401.55353354398267;236.814
404.42299523430285;236.795
409.97750686415543;236.821
415.92995015749824;236.798
418.9908427229659;236.792
425.0123407622862;236.793
430.5973359654548;236.795
435.80035485730224;236.787
446.5122879662813;236.816
447.92557802157586;236.778
451.56034715474846;236.804
454.5836709814853;236.815
462.21014405217176;236.806
466.4313522373318;236.798
476.24738980733065;236.801
476.32816332491575;236.791
476.32816332491575;236.801
490.4821434664776;236.779
496.5775781422458;236.804
502.9684108066036;236.802
506.32468896616956;236.808
516.8953061645431;236.822
523.0628945801585;236.791
530.0795401205362;236.816
535.9656480985858;236.801
546.7798161899537;236.8
548.6076705999412;236.804
560.2176963113253;236.822
564.5336163523248;236.789
567.6227537704971;236.78
577.1388730741508;236.796
579.3354141101169;236.787
583.1010855183317;236.769
589.6728945214142;236.776
599.2746684633825;236.788
604.178616517105;236.778
609.2439363457704;236.764
616.7675666900789;236.763
620.7549270103846;236.768
625.3195132186802;236.772
637.8959697023671;236.771
640.2865141105004;236.757
648.9335820564442;236.765
654.6740769735976;236.757
657.558613267276;236.747
663.2773974666775;236.785
668.1849824930777;236.781
676.2492807714606;236.751
680.8083247613242;236.774
688.1298032171666;236.766
694.3629982453559;236.772
700.8164543717693;236.757
707.8166353188275;236.789
714.3099828593163;236.758
723.0558259857842;236.761
728.0265996847223;236.762
735.1555271348927;236.761
737.4732203083399;236.758
743.3553095754698;236.764
748.140709516031;236.766
759.597822109349;236.755
762.9211718620716;236.764
767.2161403282025;236.822
775.4795284188425;236.758
781.3527640015126;236.751
792.5339168078698;236.716
795.2183844207945;236.742
802.7765305281714;236.753
806.3735364159237;236.74
812.5446030911014;236.756
824.5056177711222;236.708
828.8241502825025;236.715
834.2523382586751;236.727
839.766393007097;236.727
845.9282039117718;236.7
853.7964404056075;236.681
862.2502378905644;236.691
864.6041436828939;236.65
876.0990511769741;236.667
883.3134841638699;236.638
894.0278659241518;236.59
900.1958307570361;236.539
913.8968378515697;236.452
920.2775105307226;236.388
921.5382381890829;236.33
924.9995845188251;236.254
933.6139664038836;236.181
937.8705857614584;236.033
944.3254175598412;235.866
951.4198152799028;235.7
957.4140463922962;235.725
962.8925268335728;235.728
967.6587295067245;235.728
973.7068837561301;235.753
980.4979870910903;235.734
985.3397981483279;235.736
990.3412172535205;235.706
996.731393397465;235.709
1002.5477817890466;235.735
1009.2406436825694;235.718
1014.5762204500187;235.723
1019.7096531945568;235.749
1025.6186518720438;235.734
1031.1866616789948;235.719
1036.9396266377064;235.745
1043.6453881872615;235.7
1050.0269607003538;235.727
1056.934151739195;235.724
1062.990611420489;235.732
1068.7891647384058;235.712
1077.8831620002618;235.707
