Km_SU1_Rh_a0  Km_SU1_Rh_a1  Km_SU1_Rh_a2  Km_SU1_Rh_a3  Km_SU1_Rh_a4  Km_SU2_Rh_a0  Km_SU2_Rh_a1  Km_SU1_Ai_a0  Km_SU1_Ai_a1  Km_SU1_Ai_a2  Km_SU1_Ai_a3  Km_SU1_Ai_a4  Km_SU2_Ai_a0  Km_SU2_Ai_a1  Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.398749E+02 -0.529052E+00  0.968492E+00  0.466206E+01  0.226738E+01  0.366039E+02  0.898319E+01  0.226928E+02 -0.838504E+01 -0.131615E+02 -0.542110E+00  0.102254E+02  0.121622E+02 -0.375853E+00  0.119166E+00  0.766091E-02  0.158542E-01  0.118064E-01  0.522828E-02 -0.378293E+02
  0.398749E+02 -0.537360E+00  0.968492E+00  0.466206E+01  0.226738E+01  0.366039E+02  0.809265E+01  0.226928E+02 -0.838504E+01 -0.131615E+02 -0.542110E+00  0.102254E+02  0.123253E+02  0.294610E+01  0.120302E+00  0.733310E-02  0.164517E-01  0.120349E-01  0.644256E-02 -0.346571E+02
  0.398749E+02 -0.537360E+00  0.968492E+00  0.466206E+01  0.226738E+01  0.366039E+02  0.822459E+01  0.226928E+02 -0.838504E+01 -0.131615E+02 -0.542110E+00  0.102254E+02  0.122415E+02  0.294610E+01  0.120302E+00  0.556887E-02  0.163907E-01  0.126684E-01  0.541094E-02 -0.344599E+02
  0.394704E+02 -0.537360E+00  0.968492E+00  0.466206E+01  0.251996E+01  0.366039E+02  0.822459E+01  0.226928E+02 -0.838504E+01 -0.131615E+02 -0.542110E+00  0.102254E+02  0.155427E+02  0.158340E+01  0.121018E+00  0.399513E-02  0.167783E-01  0.111215E-01  0.571739E-02 -0.293105E+02
  0.394704E+02 -0.160051E+00  0.105584E+01  0.466206E+01  0.251996E+01  0.366039E+02  0.822459E+01  0.224915E+02 -0.838504E+01 -0.131615E+02 -0.542110E+00  0.102254E+02  0.155427E+02  0.158340E+01  0.122198E+00  0.441514E-02  0.170486E-01  0.117298E-01  0.530533E-02 -0.248247E+02
  0.394704E+02 -0.923026E+00  0.105584E+01  0.466206E+01  0.251996E+01  0.366039E+02  0.822459E+01  0.224915E+02 -0.838504E+01 -0.131615E+02 -0.542110E+00  0.102254E+02  0.131780E+02 -0.108177E+01  0.122198E+00  0.368439E-02  0.170486E-01  0.110600E-01  0.543568E-02 -0.240744E+02
  0.394704E+02 -0.923026E+00  0.105584E+01  0.466206E+01  0.251996E+01  0.366039E+02  0.822459E+01  0.224915E+02 -0.838504E+01 -0.131615E+02 -0.542110E+00  0.102254E+02  0.131780E+02 -0.164601E+01  0.122716E+00  0.302618E-02  0.169046E-01  0.100058E-01  0.583311E-02 -0.223632E+02
  0.394704E+02 -0.923026E+00  0.105584E+01  0.466206E+01  0.251996E+01  0.366039E+02  0.822459E+01  0.224915E+02 -0.838504E+01 -0.131615E+02 -0.542110E+00  0.997733E+01  0.131780E+02 -0.678371E+00  0.122873E+00  0.128102E-02  0.167448E-01  0.945118E-02  0.459715E-02 -0.214773E+02
  0.394704E+02 -0.878125E+00  0.105584E+01  0.466206E+01  0.157687E+01  0.366039E+02  0.822459E+01  0.224915E+02 -0.838504E+01 -0.131615E+02 -0.542110E+00  0.997733E+01  0.147476E+02 -0.678371E+00  0.122873E+00  0.127679E-02  0.154196E-01  0.988683E-02  0.546253E-02 -0.213395E+02
  0.394704E+02 -0.878125E+00  0.105584E+01  0.466206E+01  0.157687E+01  0.366039E+02  0.822459E+01  0.224915E+02 -0.838504E+01 -0.131615E+02 -0.542110E+00  0.997733E+01  0.147476E+02 -0.678371E+00  0.123758E+00  0.196756E-02  0.147537E-01  0.936025E-02  0.411462E-02 -0.181600E+02
