"X1" "X2"
1 55826.6791044776
1 55680.0373134328
1 55533.3955223881
1 55386.7537313433
1 55240.1119402985
1 55093.4701492537
1 54946.828358209
1 54800.1865671642
1 54653.5447761194
1 54506.9029850746
1 54360.2611940299
1 54213.6194029851
1 54066.9776119403
1 53920.3358208955
1 53773.6940298507
1 53627.052238806
1 53480.4104477612
1 53333.7686567164
1 53187.1268656716
1 53040.4850746269
1 52893.8432835821
1 52747.2014925373
1 52600.5597014925
1 52453.9179104478
1 52307.276119403
1 52160.6343283582
1 52013.9925373134
1 51867.3507462687
1 51720.7089552239
1 51574.0671641791
1 51427.4253731343
1 51280.7835820895
1 51134.1417910448
1 50987.5
1 50840.8582089552
1 50694.2164179104
1 50547.5746268657
1 50400.9328358209
1 50254.2910447761
1 50107.6492537313
1 49961.0074626866
1 49814.3656716418
1 49667.723880597
1 49521.0820895522
1 49374.4402985075
1 49227.7985074627
1 49081.1567164179
1 48934.5149253731
1 48787.8731343284
1 48641.2313432836
1 48494.5895522388
1 48347.947761194
1 48201.3059701493
1 48054.6641791045
1 47908.0223880597
1 47761.3805970149
1 47614.7388059701
1 47468.0970149254
1 47321.4552238806
1 47174.8134328358
1 47028.171641791
1 46881.5298507463
1 46734.8880597015
1 46588.2462686567
1 46441.6044776119
1 46294.9626865672
1 46148.3208955224
1 46001.6791044776
1 45855.0373134328
1 45708.3955223881
1 45561.7537313433
1 45415.1119402985
1 45268.4701492537
1 45121.828358209
1 44975.1865671642
1 44828.5447761194
1 44681.9029850746
1 44535.2611940299
1 44388.6194029851
1 44241.9776119403
1 44095.3358208955
1 43948.6940298507
1 43802.052238806
1 43655.4104477612
1 43508.7686567164
1 43362.1268656716
1 43215.4850746269
1 43068.8432835821
1 42922.2014925373
1 42775.5597014925
1 42628.9179104478
1 42482.276119403
1 42335.6343283582
1 42188.9925373134
1 42042.3507462687
1 41895.7089552239
1 41749.0671641791
1 41602.4253731343
1 41455.7835820896
1 41309.1417910448
1 41162.5
1 41015.8582089552
1 40869.2164179104
1 40722.5746268657
1 40575.9328358209
1 40429.2910447761
1 40282.6492537313
1 40136.0074626866
1 39989.3656716418
1 39842.723880597
1 39696.0820895522
1 39549.4402985075
1 39402.7985074627
1 39256.1567164179
1 39109.5149253731
1 38962.8731343284
1 38816.2313432836
1 38669.5895522388
1 38522.947761194
1 38376.3059701493
1 38229.6641791045
1 38083.0223880597
1 37936.3805970149
1 37789.7388059701
1 37643.0970149254
1 37496.4552238806
1 37349.8134328358
1 37203.171641791
1 37056.5298507463
1 36909.8880597015
1 36763.2462686567
1 36616.6044776119
1 36469.9626865672
1 36323.3208955224
2 36177.0833333333
2 36031.25
2 35885.4166666667
2 35739.5833333333
2 35593.75
2 35447.9166666667
2 35302.0833333333
2 35156.25
2 35010.4166666667
2 34864.5833333333
2 34718.75
2 34572.9166666667
3 34426.8867924528
3 34280.6603773585
3 34134.4339622641
3 33988.2075471698
3 33841.9811320755
3 33695.7547169811
3 33549.5283018868
3 33403.3018867925
3 33257.0754716981
3 33110.8490566038
3 32964.6226415094
3 32818.3962264151
3 32672.1698113208
3 32525.9433962264
3 32379.7169811321
3 32233.4905660377
3 32087.2641509434
3 31941.0377358491
3 31794.8113207547
3 31648.5849056604
3 31502.358490566
3 31356.1320754717
3 31209.9056603774
3 31063.679245283
3 30917.4528301887
3 30771.2264150943
3 30625
3 30478.7735849057
3 30332.5471698113
3 30186.320754717
3 30040.0943396226
3 29893.8679245283
3 29747.641509434
3 29601.4150943396
3 29455.1886792453
3 29308.9622641509
3 29162.7358490566
3 29016.5094339623
3 28870.2830188679
3 28724.0566037736
3 28577.8301886792
3 28431.6037735849
3 28285.3773584906
3 28139.1509433962
3 27992.9245283019
3 27846.6981132075
3 27700.4716981132
3 27554.2452830189
3 27408.0188679245
3 27261.7924528302
3 27115.5660377359
3 26969.3396226415
3 26823.1132075472
4 37538.6923076923
4 37634.0769230769
4 37729.4615384615
4 37824.8461538462
4 37920.2307692308
4 38015.6153846154
4 38111
4 38206.3846153846
4 38301.7692307692
4 38397.1538461538
4 38492.5384615385
4 38587.9230769231
4 38683.3076923077
4 38778.6923076923
4 38874.0769230769
4 38969.4615384615
4 39064.8461538462
4 39160.2307692308
4 39255.6153846154
4 39351
4 39446.3846153846
4 39541.7692307692
4 39637.1538461538
4 39732.5384615385
4 39827.9230769231
4 39923.3076923077
4 40018.6923076923
4 40114.0769230769
4 40209.4615384615
4 40304.8461538462
4 40400.2307692308
4 40495.6153846154
4 40591
4 40686.3846153846
4 40781.7692307692
4 40877.1538461538
4 40972.5384615385
4 41067.9230769231
4 41163.3076923077
5 41252.6666666667
5 41336
5 41419.3333333333
6 22380.9683544304
6 22476.9050632911
6 22572.8417721519
6 22668.7784810127
6 22764.7151898734
6 22860.6518987342
6 22956.5886075949
6 23052.5253164557
6 23148.4620253165
6 23244.3987341772
6 23340.335443038
6 23436.2721518987
6 23532.2088607595
6 23628.1455696203
6 23724.082278481
6 23820.0189873418
6 23915.9556962025
6 24011.8924050633
6 24107.8291139241
6 24203.7658227848
6 24299.7025316456
6 24395.6392405063
6 24491.5759493671
6 24587.5126582278
6 24683.4493670886
6 24779.3860759494
6 24875.3227848101
6 24971.2594936709
6 25067.1962025316
6 25163.1329113924
6 25259.0696202532
6 25355.0063291139
6 25450.9430379747
6 25546.8797468354
6 25642.8164556962
6 25738.753164557
6 25834.6898734177
6 25930.6265822785
6 26026.5632911392
6 26122.5
6 26218.4367088608
6 26314.3734177215
6 26410.3101265823
6 26506.246835443
6 26602.1835443038
6 26698.1202531646
6 26794.0569620253
6 26889.9936708861
6 26985.9303797468
6 27081.8670886076
6 27177.8037974684
6 27273.7405063291
6 27369.6772151899
6 27465.6139240506
6 27561.5506329114
6 27657.4873417722
6 27753.4240506329
6 27849.3607594937
6 27945.2974683544
6 28041.2341772152
6 28137.1708860759
6 28233.1075949367
6 28329.0443037975
6 28424.9810126582
6 28520.917721519
6 28616.8544303797
6 28712.7911392405
6 28808.7278481013
6 28904.664556962
6 29000.6012658228
6 29096.5379746835
6 29192.4746835443
6 29288.4113924051
6 29384.3481012658
6 29480.2848101266
6 29576.2215189873
6 29672.1582278481
6 29768.0949367089
6 29864.0316455696
6 29959.9683544304
6 30055.9050632911
6 30151.8417721519
6 30247.7784810127
6 30343.7151898734
6 30439.6518987342
6 30535.5886075949
6 30631.5253164557
6 30727.4620253165
6 30823.3987341772
6 30919.335443038
6 31015.2721518987
6 31111.2088607595
6 31207.1455696203
6 31303.082278481
6 31399.0189873418
6 31494.9556962025
6 31590.8924050633
6 31686.8291139241
6 31782.7658227848
6 31878.7025316456
6 31974.6392405063
6 32070.5759493671
6 32166.5126582278
6 32262.4493670886
6 32358.3860759494
6 32454.3227848101
6 32550.2594936709
6 32646.1962025316
6 32742.1329113924
6 32838.0696202532
6 32934.0063291139
6 33029.9430379747
6 33125.8797468354
6 33221.8164556962
6 33317.753164557
6 33413.6898734177
6 33509.6265822785
6 33605.5632911392
6 33701.5
6 33797.4367088608
6 33893.3734177215
6 33989.3101265823
6 34085.246835443
6 34181.1835443038
6 34277.1202531646
6 34373.0569620253
6 34468.9936708861
6 34564.9303797468
6 34660.8670886076
6 34756.8037974684
6 34852.7405063291
6 34948.6772151899
6 35044.6139240506
6 35140.5506329114
6 35236.4873417722
6 35332.4240506329
6 35428.3607594937
6 35524.2974683544
6 35620.2341772152
6 35716.170886076
6 35812.1075949367
6 35908.0443037975
6 36003.9810126582
6 36099.917721519
6 36195.8544303797
6 36291.7911392405
6 36387.7278481013
6 36483.664556962
6 36579.6012658228
6 36675.5379746835
6 36771.4746835443
6 36867.4113924051
6 36963.3481012658
6 37059.2848101266
6 37155.2215189873
6 37251.1582278481
6 37347.0949367089
6 37443.0316455696
