"P0_Reach_1" "P1_Reach_1" "P2_Reach_1"
1 -1 1
1 -0.97979797979798 0.940006121824304
1 -0.95959595959596 0.881236608509336
1 -0.939393939393939 0.823691460055097
1 -0.919191919191919 0.767370676461586
1 -0.898989898989899 0.712274257728803
1 -0.878787878787879 0.658402203856749
1 -0.858585858585859 0.605754514845424
1 -0.838383838383838 0.554331190694827
1 -0.818181818181818 0.504132231404958
1 -0.797979797979798 0.455157636975819
1 -0.777777777777778 0.407407407407407
1 -0.757575757575758 0.360881542699724
1 -0.737373737373737 0.31558004285277
1 -0.717171717171717 0.271502907866544
1 -0.696969696969697 0.228650137741047
1 -0.676767676767677 0.187021732476278
1 -0.656565656565657 0.146617692072238
1 -0.636363636363636 0.107438016528926
1 -0.616161616161616 0.0694827058463422
1 -0.595959595959596 0.0327517600244872
1 -0.575757575757576 -0.00275482093663926
1 -0.555555555555556 -0.037037037037037
1 -0.535353535353535 -0.0700948882767066
1 -0.515151515151515 -0.101928374655647
1 -0.494949494949495 -0.13253749617386
1 -0.474747474747475 -0.161922252831344
1 -0.454545454545454 -0.190082644628099
1 -0.434343434343434 -0.217018671564126
1 -0.414141414141414 -0.242730333639425
1 -0.393939393939394 -0.267217630853995
1 -0.373737373737374 -0.290480563207836
1 -0.353535353535353 -0.312519130700949
1 -0.333333333333333 -0.333333333333333
1 -0.313131313131313 -0.352923171104989
1 -0.292929292929293 -0.371288644015917
1 -0.272727272727273 -0.388429752066116
1 -0.252525252525252 -0.404346495255586
1 -0.232323232323232 -0.419038873584328
1 -0.212121212121212 -0.432506887052342
1 -0.191919191919192 -0.444750535659627
1 -0.171717171717172 -0.455769819406183
1 -0.151515151515151 -0.465564738292011
1 -0.131313131313131 -0.47413529231711
1 -0.111111111111111 -0.481481481481482
1 -0.0909090909090908 -0.487603305785124
1 -0.0707070707070706 -0.492500765228038
1 -0.0505050505050504 -0.496173859810223
1 -0.0303030303030303 -0.49862258953168
1 -0.0101010101010101 -0.499846954392409
1 0.0101010101010102 -0.499846954392409
1 0.0303030303030305 -0.49862258953168
1 0.0505050505050506 -0.496173859810223
1 0.0707070707070707 -0.492500765228038
1 0.0909090909090911 -0.487603305785124
1 0.111111111111111 -0.481481481481481
1 0.131313131313131 -0.47413529231711
1 0.151515151515152 -0.465564738292011
1 0.171717171717172 -0.455769819406183
1 0.191919191919192 -0.444750535659627
1 0.212121212121212 -0.432506887052342
1 0.232323232323232 -0.419038873584328
1 0.252525252525253 -0.404346495255586
1 0.272727272727273 -0.388429752066116
1 0.292929292929293 -0.371288644015917
1 0.313131313131313 -0.352923171104989
1 0.333333333333333 -0.333333333333333
1 0.353535353535354 -0.312519130700949
1 0.373737373737374 -0.290480563207836
1 0.393939393939394 -0.267217630853994
1 0.414141414141414 -0.242730333639424
1 0.434343434343434 -0.217018671564126
1 0.454545454545455 -0.190082644628099
1 0.474747474747475 -0.161922252831343
1 0.494949494949495 -0.13253749617386
1 0.515151515151515 -0.101928374655647
1 0.535353535353535 -0.0700948882767063
1 0.555555555555556 -0.037037037037037
1 0.575757575757576 -0.00275482093663887
1 0.595959595959596 0.0327517600244874
1 0.616161616161616 0.0694827058463425
1 0.636363636363636 0.107438016528926
1 0.656565656565657 0.146617692072238
1 0.676767676767677 0.187021732476278
1 0.696969696969697 0.228650137741047
1 0.717171717171717 0.271502907866545
1 0.737373737373737 0.31558004285277
1 0.757575757575758 0.360881542699725
1 0.777777777777778 0.407407407407408
1 0.797979797979798 0.455157636975819
1 0.818181818181818 0.504132231404959
1 0.838383838383838 0.554331190694827
1 0.858585858585859 0.605754514845424
1 0.878787878787879 0.65840220385675
1 0.898989898989899 0.712274257728804
1 0.919191919191919 0.767370676461586
1 0.939393939393939 0.823691460055097
1 0.95959595959596 0.881236608509336
1 0.97979797979798 0.940006121824304
1 1 1
