a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.984450E+02  0.111405E+02  0.260824E+01  0.322233E-05  0.698046E+01  0.102027E+02  0.238086E+02  0.175712E+02  0.341993E+02
  0.988351E+02  0.111405E+02  0.260824E+01  0.322233E-05  0.698923E+01  0.988102E+01  0.238086E+02  0.179429E+02  0.343022E+02
  0.988351E+02  0.103842E+02  0.934054E+01  0.322233E-05  0.744587E+01  0.107901E+02  0.223370E+02  0.166708E+02  0.351077E+02
  0.988351E+02  0.103842E+02  0.728002E+01  0.322233E-05  0.851104E+01  0.110701E+02  0.217962E+02  0.156177E+02  0.364509E+02
  0.988351E+02  0.103842E+02 -0.480436E+01  0.678294E-03  0.851104E+01  0.100525E+02  0.203440E+02  0.147367E+02  0.368805E+02
  0.988351E+02  0.129544E+02 -0.198339E+02  0.110104E-02  0.958048E+01  0.121159E+02  0.188537E+02  0.147367E+02  0.340992E+02
  0.988351E+02  0.179551E+02 -0.198339E+02  0.259546E-02  0.792577E+01  0.128952E+02  0.206051E+02  0.144388E+02  0.282881E+02
  0.101014E+03  0.166718E+02 -0.198339E+02  0.217767E-02  0.829824E+01  0.114310E+02  0.206051E+02  0.158832E+02  0.299736E+02
  0.101014E+03  0.166718E+02 -0.196237E+02  0.805132E-03  0.101459E+02  0.114310E+02  0.186421E+02  0.162943E+02  0.320609E+02
  0.102684E+03  0.166718E+02 -0.966122E+01  0.805132E-03  0.113327E+02  0.108014E+02  0.164033E+02  0.150052E+02  0.321585E+02
  0.102684E+03  0.172734E+02 -0.106146E+02  0.122566E-02  0.106357E+02  0.956534E+01  0.145885E+02  0.133793E+02  0.329519E+02
  0.102291E+03  0.387752E+01 -0.178436E+02  0.122566E-02  0.929020E+01  0.101517E+02  0.156395E+02  0.129750E+02  0.351415E+02
  0.102071E+03 -0.569753E-01 -0.284087E+02  0.156255E-02  0.984548E+01  0.114174E+02  0.156924E+02  0.133183E+02  0.343177E+02
  0.100808E+03 -0.336504E+01 -0.294676E+02  0.156255E-02  0.909794E+01  0.114174E+02  0.164301E+02  0.147881E+02  0.341655E+02
  0.103724E+03  0.515239E+01 -0.323456E+02  0.148242E-02  0.937236E+01  0.114174E+02  0.144199E+02  0.146110E+02  0.334759E+02
  0.103724E+03  0.870188E+00 -0.352711E+02  0.148242E-02  0.937236E+01  0.118567E+02  0.136008E+02  0.157097E+02  0.336124E+02
  0.103724E+03  0.964901E+00 -0.376980E+02  0.484054E-03  0.969250E+01  0.116202E+02  0.130553E+02  0.139707E+02  0.343027E+02
  0.103724E+03  0.964901E+00 -0.442838E+02  0.386734E-03  0.101362E+02  0.113578E+02  0.121917E+02  0.131333E+02  0.329043E+02
  0.104870E+03  0.964901E+00 -0.442838E+02  0.386734E-03  0.112793E+02  0.114136E+02  0.114246E+02  0.137759E+02  0.317104E+02
  0.101839E+03  0.450216E+01 -0.357796E+02  0.801717E-03  0.108543E+02  0.106198E+02  0.104652E+02  0.125298E+02  0.341718E+02
  0.101839E+03  0.599977E+01 -0.360140E+02  0.801717E-03  0.121221E+02  0.107505E+02  0.104652E+02  0.132026E+02  0.334015E+02
  0.101839E+03  0.599977E+01 -0.329572E+02  0.801717E-03  0.112341E+02  0.101940E+02  0.983391E+01  0.132026E+02  0.336843E+02
  0.101839E+03  0.732353E+01 -0.255675E+02  0.801717E-03  0.971936E+01  0.111093E+02  0.100322E+02  0.138575E+02  0.340585E+02
  0.101839E+03  0.732353E+01 -0.248542E+02  0.801717E-03  0.103260E+02  0.118601E+02  0.100322E+02  0.138575E+02  0.337242E+02
  0.102014E+03  0.598041E+01 -0.248542E+02  0.156664E-02  0.930495E+01  0.118601E+02  0.108283E+02  0.125689E+02  0.327721E+02
  0.102014E+03  0.130152E+01 -0.329141E+02  0.947991E-03  0.101377E+02  0.103796E+02  0.112035E+02  0.125689E+02  0.351449E+02
  0.102014E+03  0.702224E+00 -0.308492E+02  0.121493E-02  0.904167E+01  0.112354E+02  0.108459E+02  0.134760E+02  0.343537E+02
  0.102014E+03  0.702224E+00 -0.355957E+02  0.121493E-02  0.108971E+02  0.108092E+02  0.108459E+02  0.138608E+02  0.341209E+02
  0.102014E+03  0.702224E+00 -0.299283E+02  0.121493E-02  0.111361E+02  0.114051E+02  0.108459E+02  0.167723E+02  0.338583E+02
  0.102014E+03  0.702224E+00 -0.457377E+02  0.121493E-02  0.121033E+02  0.125989E+02  0.108459E+02  0.156504E+02  0.306984E+02
  0.102014E+03  0.702224E+00 -0.474428E+02  0.121493E-02  0.121406E+02  0.128376E+02  0.116518E+02  0.157293E+02  0.302154E+02
  0.102014E+03  0.783850E+01 -0.518138E+02  0.121493E-02  0.121406E+02  0.128376E+02  0.116518E+02  0.157293E+02  0.268660E+02
  0.103380E+03  0.523446E+01 -0.386450E+02  0.166229E-02  0.123802E+02  0.130040E+02  0.116518E+02  0.155348E+02  0.311488E+02
  0.103380E+03  0.784186E+01 -0.411011E+02  0.140676E-02  0.131175E+02  0.130040E+02  0.116518E+02  0.132321E+02  0.305088E+02
  0.103380E+03  0.784186E+01 -0.393849E+02  0.945446E-03  0.127798E+02  0.124943E+02  0.142109E+02  0.120347E+02  0.314519E+02
  0.103380E+03  0.611091E+01 -0.393849E+02  0.175645E-02  0.134657E+02  0.117788E+02  0.165752E+02  0.117251E+02  0.306955E+02
  0.103380E+03  0.611091E+01 -0.338856E+02  0.160454E-02  0.131179E+02  0.119851E+02  0.176877E+02  0.130117E+02  0.312856E+02
  0.103380E+03  0.213509E+00 -0.177476E+02  0.164045E-02  0.114941E+02  0.120964E+02  0.185188E+02  0.125628E+02  0.317689E+02
  0.100225E+03  0.145413E+02 -0.246066E+02  0.137120E-02  0.114941E+02  0.106400E+02  0.195095E+02  0.125628E+02  0.321303E+02
  0.100225E+03  0.150716E+02 -0.222673E+02  0.137120E-02  0.116133E+02  0.958057E+01  0.198206E+02  0.126482E+02  0.321891E+02
  0.100225E+03  0.749102E+01 -0.251959E+02  0.137120E-02  0.116133E+02  0.888664E+01  0.183006E+02  0.122301E+02  0.340691E+02
  0.100768E+03  0.128061E+02 -0.161065E+02  0.104339E-02  0.122109E+02  0.911515E+01  0.183006E+02  0.126055E+02  0.339035E+02
  0.100768E+03  0.128061E+02 -0.696429E+01  0.104339E-02  0.115819E+02  0.914154E+01  0.185218E+02  0.128897E+02  0.347225E+02
  0.100768E+03  0.128061E+02 -0.718777E+01  0.104339E-02  0.107657E+02  0.914154E+01  0.184302E+02  0.138400E+02  0.351523E+02
  0.100768E+03  0.117274E+02 -0.845763E+01  0.522596E-03  0.948345E+01  0.919205E+01  0.200700E+02  0.135430E+02  0.357079E+02
  0.100768E+03 -0.142714E+01 -0.845763E+01  0.522596E-03  0.957839E+01  0.101583E+02  0.200700E+02  0.137891E+02  0.374875E+02
