a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.988418E+02   0.290094E+01   0.313489E-03   0.959005E+01   0.932467E+01   0.183511E+03  -0.205816E+01   0.000000E+00   0.185569E+03  -0.371138E+03
   0.988418E+02   0.290094E+01   0.313489E-03   0.998691E+01   0.932467E+01   0.183558E+03  -0.201118E+01   0.000000E+00   0.185569E+03  -0.371138E+03
   0.988418E+02   0.290094E+01   0.313489E-03   0.998691E+01   0.101489E+02   0.183706E+03  -0.186236E+01   0.000000E+00   0.185568E+03  -0.371137E+03
   0.988418E+02   0.305876E+01   0.604228E-03   0.998691E+01   0.973940E+01   0.184014E+03  -0.184511E+01   0.000000E+00   0.185859E+03  -0.371718E+03
   0.988418E+02   0.200668E+01   0.604228E-03   0.103571E+02   0.107474E+02   0.183607E+03  -0.226637E+01   0.000000E+00   0.185873E+03  -0.371747E+03
   0.988418E+02   0.200668E+01   0.604228E-03   0.110862E+02   0.101625E+02   0.183372E+03  -0.250175E+01   0.000000E+00   0.185874E+03  -0.371748E+03
   0.988418E+02   0.200668E+01   0.337957E-03   0.110862E+02   0.104163E+02   0.183288E+03  -0.259660E+01   0.000000E+00   0.185885E+03  -0.371769E+03
   0.988418E+02   0.200668E+01   0.296587E-03   0.119550E+02   0.100784E+02   0.181868E+03  -0.362157E+01   0.000000E+00   0.185490E+03  -0.370979E+03
   0.988418E+02   0.200668E+01   0.296587E-03   0.119550E+02   0.974963E+01   0.181872E+03  -0.361750E+01   0.000000E+00   0.185489E+03  -0.370979E+03
   0.988418E+02   0.200668E+01   0.296587E-03   0.112350E+02   0.974963E+01   0.182850E+03  -0.263913E+01   0.000000E+00   0.185489E+03  -0.370978E+03
   0.988418E+02   0.333395E+01   0.547513E-03   0.108721E+02   0.974963E+01   0.183855E+03  -0.227785E+01   0.000000E+00   0.186133E+03  -0.372266E+03
   0.988418E+02   0.333395E+01   0.547513E-03   0.989920E+01   0.968303E+01   0.184281E+03  -0.185254E+01   0.000000E+00   0.186134E+03  -0.372267E+03
   0.999582E+02   0.333395E+01   0.547513E-03   0.107089E+02   0.938892E+01   0.185470E+03  -0.227665E+01   0.000000E+00   0.187747E+03  -0.375493E+03
   0.999582E+02   0.333395E+01   0.547513E-03   0.114905E+02   0.100694E+02   0.184795E+03  -0.295128E+01   0.000000E+00   0.187746E+03  -0.375493E+03
   0.999582E+02   0.333395E+01   0.547513E-03   0.114905E+02   0.100694E+02   0.184795E+03  -0.295128E+01   0.000000E+00   0.187746E+03  -0.375493E+03
   0.999582E+02   0.333395E+01   0.381940E-03   0.101807E+02   0.103300E+02   0.185857E+03  -0.195700E+01   0.000000E+00   0.187814E+03  -0.375628E+03
   0.999582E+02   0.333395E+01   0.381940E-03   0.103854E+02   0.103959E+02   0.185752E+03  -0.206140E+01   0.000000E+00   0.187813E+03  -0.375627E+03
   0.999582E+02   0.507493E+01   0.381940E-03   0.879626E+01   0.941816E+01   0.184180E+03  -0.265186E+01   0.000000E+00   0.186832E+03  -0.373664E+03
   0.999582E+02   0.507493E+01   0.381940E-03   0.879626E+01   0.809211E+01   0.182271E+03  -0.456118E+01   0.000000E+00   0.186832E+03  -0.373664E+03
   0.999582E+02   0.507493E+01   0.381940E-03   0.879626E+01   0.831667E+01   0.182786E+03  -0.404656E+01   0.000000E+00   0.186833E+03  -0.373665E+03
   0.999582E+02   0.242096E+01   0.482176E-03   0.950533E+01   0.837053E+01   0.184813E+03  -0.331981E+01   0.000000E+00   0.188133E+03  -0.376266E+03
   0.999582E+02   0.242096E+01   0.482176E-03   0.950533E+01   0.966322E+01   0.186193E+03  -0.194026E+01   0.000000E+00   0.188133E+03  -0.376267E+03
   0.999582E+02   0.242096E+01   0.482176E-03   0.950533E+01   0.972315E+01   0.186206E+03  -0.192717E+01   0.000000E+00   0.188133E+03  -0.376266E+03
   0.999582E+02   0.242096E+01   0.482176E-03   0.102622E+02   0.972315E+01   0.186225E+03  -0.190859E+01   0.000000E+00   0.188134E+03  -0.376267E+03
   0.999582E+02   0.242096E+01   0.482176E-03   0.102622E+02   0.972315E+01   0.186225E+03  -0.190859E+01   0.000000E+00   0.188134E+03  -0.376267E+03
   0.999582E+02   0.242096E+01   0.473290E-03   0.102622E+02   0.866912E+01   0.185376E+03  -0.277428E+01   0.000000E+00   0.188150E+03  -0.376301E+03
   0.999582E+02   0.161458E-01   0.473290E-03   0.954589E+01   0.866912E+01   0.184876E+03  -0.277642E+01   0.000000E+00   0.187652E+03  -0.375305E+03
   0.100699E+03   0.161458E-01   0.473290E-03   0.880195E+01   0.866912E+01   0.183759E+03  -0.340153E+01   0.000000E+00   0.187161E+03  -0.374321E+03
   0.100699E+03   0.246761E+01   0.473290E-03   0.860296E+01   0.866912E+01   0.183868E+03  -0.369662E+01   0.000000E+00   0.187565E+03  -0.375129E+03
   0.100699E+03   0.246761E+01   0.533555E-03   0.850127E+01   0.891336E+01   0.183932E+03  -0.354030E+01   0.000000E+00   0.187472E+03  -0.374945E+03
   0.100699E+03   0.246761E+01   0.533555E-03   0.851211E+01   0.111072E+02   0.183842E+03  -0.363071E+01   0.000000E+00   0.187473E+03  -0.374945E+03
   0.100699E+03   0.246761E+01   0.533555E-03   0.878834E+01   0.976837E+01   0.184926E+03  -0.254685E+01   0.000000E+00   0.187473E+03  -0.374946E+03
   0.100699E+03   0.246761E+01   0.533555E-03   0.909099E+01   0.998618E+01   0.185277E+03  -0.219540E+01   0.000000E+00   0.187472E+03  -0.374945E+03
   0.999393E+02   0.246761E+01   0.533555E-03   0.951838E+01   0.878684E+01   0.185317E+03  -0.261732E+01   0.000000E+00   0.187934E+03  -0.375869E+03
   0.999393E+02   0.246761E+01   0.533555E-03   0.951838E+01   0.914817E+01   0.185716E+03  -0.221763E+01   0.000000E+00   0.187934E+03  -0.375867E+03
   0.999393E+02  -0.225723E+01   0.533555E-03   0.951838E+01   0.902050E+01   0.183610E+03  -0.233858E+01   0.000000E+00   0.185949E+03  -0.371897E+03
   0.999393E+02  -0.225723E+01   0.533555E-03   0.957564E+01   0.902050E+01   0.183631E+03  -0.231677E+01   0.000000E+00   0.185948E+03  -0.371896E+03
   0.999393E+02   0.341592E+01   0.606615E-03   0.957564E+01   0.893081E+01   0.184892E+03  -0.241478E+01   0.000000E+00   0.187307E+03  -0.374614E+03
   0.100152E+03   0.341592E+01   0.659883E-03   0.878441E+01   0.893081E+01   0.183747E+03  -0.307441E+01   0.000000E+00   0.186821E+03  -0.373643E+03
   0.100152E+03   0.341592E+01   0.659883E-03   0.115280E+02   0.893081E+01   0.183304E+03  -0.351728E+01   0.000000E+00   0.186821E+03  -0.373643E+03
   0.100152E+03   0.341592E+01   0.235856E-03   0.106755E+02   0.897221E+01   0.183471E+03  -0.259653E+01   0.000000E+00   0.186068E+03  -0.372135E+03
   0.100152E+03   0.341592E+01   0.665972E-03   0.102480E+02   0.930100E+01   0.184675E+03  -0.208246E+01   0.000000E+00   0.186757E+03  -0.373515E+03
   0.100152E+03   0.341592E+01   0.589712E-03   0.932761E+01   0.909406E+01   0.185087E+03  -0.236646E+01   0.000000E+00   0.187453E+03  -0.374907E+03
   0.100152E+03   0.341592E+01   0.596310E-03   0.932761E+01   0.100109E+02   0.185391E+03  -0.201167E+01   0.000000E+00   0.187403E+03  -0.374805E+03
   0.100152E+03   0.341592E+01   0.596310E-03   0.104939E+02   0.100109E+02   0.185400E+03  -0.200344E+01   0.000000E+00   0.187403E+03  -0.374807E+03
   0.100152E+03   0.341592E+01   0.596310E-03   0.107134E+02   0.100109E+02   0.185258E+03  -0.214537E+01   0.000000E+00   0.187403E+03  -0.374807E+03
   0.100152E+03   0.341592E+01   0.596310E-03   0.110658E+02   0.100109E+02   0.184950E+03  -0.245312E+01   0.000000E+00   0.187403E+03  -0.374806E+03
