a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.100000E-02  0.100000E+02  0.100000E+02  0.179887E+03
  0.100000E+03  0.000000E+00  0.667310E-03  0.924305E+01  0.100000E+02  0.184337E+03
  0.100000E+03  0.000000E+00  0.247878E-03  0.924305E+01  0.963212E+01  0.184057E+03
  0.100000E+03 -0.891213E+00  0.628211E-03  0.916296E+01  0.929125E+01  0.184056E+03
  0.100000E+03 -0.891213E+00  0.470366E-03  0.963291E+01  0.100801E+02  0.185265E+03
  0.100000E+03 -0.891213E+00  0.333754E-03  0.104437E+02  0.109626E+02  0.184043E+03
  0.100000E+03 -0.891213E+00  0.333754E-03  0.104886E+02  0.109788E+02  0.184004E+03
  0.100000E+03 -0.891213E+00  0.333754E-03  0.121802E+02  0.909029E+01  0.182194E+03
  0.100000E+03  0.213856E+00  0.621238E-03  0.118507E+02  0.909029E+01  0.183127E+03
  0.100000E+03  0.162388E+01  0.500455E-03  0.118507E+02  0.976213E+01  0.184608E+03
  0.100000E+03  0.523764E+01  0.500455E-03  0.109547E+02  0.973006E+01  0.184746E+03
  0.100336E+03  0.682609E+01  0.662886E-03  0.112479E+02  0.943686E+01  0.182482E+03
  0.100336E+03  0.811359E+01  0.662886E-03  0.112479E+02  0.943686E+01  0.181434E+03
  0.100336E+03 -0.373480E+01  0.602250E-03  0.113263E+02  0.943686E+01  0.181576E+03
  0.100336E+03 -0.373480E+01  0.602250E-03  0.109688E+02  0.101042E+02  0.182050E+03
  0.100336E+03 -0.162514E+01  0.602250E-03  0.109688E+02  0.103678E+02  0.183711E+03
  0.100336E+03  0.140007E+01  0.602250E-03  0.107858E+02  0.101671E+02  0.185130E+03
  0.100336E+03  0.140007E+01  0.602250E-03  0.100843E+02  0.984893E+01  0.185514E+03
  0.100336E+03  0.140007E+01  0.485189E-03  0.101609E+02  0.105337E+02  0.185912E+03
  0.100336E+03  0.140007E+01  0.485189E-03  0.101609E+02  0.103567E+02  0.186002E+03
  0.100336E+03  0.140007E+01  0.485189E-03  0.101609E+02  0.101417E+02  0.186075E+03
  0.100336E+03  0.140007E+01  0.485189E-03  0.954405E+01  0.101417E+02  0.186041E+03
  0.100336E+03  0.215264E+01  0.485189E-03  0.110174E+02  0.109147E+02  0.185143E+03
  0.100336E+03  0.215264E+01  0.485189E-03  0.110174E+02  0.111559E+02  0.184906E+03
  0.985749E+02  0.215264E+01  0.485189E-03  0.114525E+02  0.110846E+02  0.181995E+03
  0.985749E+02  0.456744E+01  0.485189E-03  0.114525E+02  0.101816E+02  0.181998E+03
  0.985749E+02  0.456744E+01  0.485189E-03  0.114525E+02  0.101816E+02  0.181998E+03
