a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.100152E+03   0.337715E+01   0.353599E-03   0.112092E+02   0.942951E+01   0.184819E+03
   0.100152E+03   0.337715E+01   0.647460E-03   0.112092E+02   0.941604E+01   0.184230E+03
   0.100152E+03   0.337715E+01   0.624970E-03   0.105609E+02   0.941604E+01   0.185006E+03
   0.100152E+03   0.337715E+01   0.624970E-03   0.105609E+02   0.941604E+01   0.185006E+03
   0.100152E+03   0.337715E+01   0.555306E-03   0.105609E+02   0.101822E+02   0.185615E+03
   0.100152E+03   0.337715E+01   0.555306E-03   0.115791E+02   0.996258E+01   0.184634E+03
   0.100152E+03   0.334421E+01   0.555306E-03   0.101968E+02   0.996258E+01   0.185825E+03
   0.100152E+03   0.334421E+01   0.500998E-03   0.101968E+02   0.106916E+02   0.185762E+03
   0.100152E+03   0.334421E+01   0.500998E-03   0.864378E+01   0.106669E+02   0.184902E+03
   0.100152E+03   0.334421E+01   0.272493E-03   0.927370E+01   0.102707E+02   0.184535E+03
   0.100152E+03   0.198790E+01   0.272493E-03   0.978522E+01   0.102707E+02   0.185055E+03
   0.100152E+03   0.198790E+01   0.272493E-03   0.978522E+01   0.102707E+02   0.185055E+03
   0.100152E+03   0.198790E+01   0.272493E-03   0.978522E+01   0.112137E+02   0.184347E+03
   0.100152E+03   0.222201E-02   0.381427E-03   0.959111E+01   0.112137E+02   0.184788E+03
   0.100152E+03   0.372688E+01   0.381427E-03   0.959111E+01   0.112137E+02   0.184944E+03
   0.100152E+03   0.363529E+01   0.381427E-03   0.105652E+02   0.107294E+02   0.185275E+03
   0.100152E+03   0.363529E+01   0.381427E-03   0.110352E+02   0.933734E+01   0.185049E+03
   0.100152E+03   0.363529E+01   0.381427E-03   0.111218E+02   0.829709E+01   0.183572E+03
   0.100152E+03   0.363529E+01   0.381427E-03   0.977742E+01   0.829709E+01   0.184240E+03
   0.100152E+03   0.363529E+01   0.381427E-03   0.110730E+02   0.829709E+01   0.183622E+03
   0.100152E+03   0.138837E+01   0.381427E-03   0.115780E+02   0.829709E+01   0.183299E+03
   0.100152E+03   0.138837E+01   0.381427E-03   0.115780E+02   0.847352E+01   0.183649E+03
   0.100152E+03   0.138837E+01   0.381427E-03   0.114675E+02   0.854724E+01   0.183925E+03
   0.100152E+03   0.138837E+01   0.381427E-03   0.113073E+02   0.103985E+02   0.185082E+03
   0.100152E+03   0.138837E+01   0.381427E-03   0.124929E+02   0.107514E+02   0.183040E+03
   0.100152E+03  -0.220921E+01   0.341361E-03   0.128250E+02   0.107514E+02   0.179780E+03
   0.100152E+03  -0.338967E+01   0.341361E-03   0.128250E+02   0.111190E+02   0.177908E+03
   0.100406E+03  -0.338967E+01   0.341361E-03   0.104035E+02   0.996319E+01   0.181679E+03
   0.100406E+03  -0.338967E+01   0.341361E-03   0.921426E+01   0.996319E+01   0.181544E+03
   0.100406E+03  -0.193400E+01   0.341361E-03   0.921426E+01   0.986470E+01   0.183324E+03
   0.100406E+03  -0.193400E+01   0.341361E-03   0.982649E+01   0.970180E+01   0.183559E+03
   0.100406E+03  -0.193400E+01   0.341361E-03   0.982649E+01   0.970180E+01   0.183559E+03
   0.100406E+03  -0.193400E+01   0.341361E-03   0.914578E+01   0.102720E+02   0.183200E+03
   0.100406E+03   0.248757E+01   0.341361E-03   0.969812E+01   0.970636E+01   0.185509E+03
   0.100406E+03   0.248757E+01   0.341361E-03   0.980214E+01   0.970636E+01   0.185526E+03
   0.100406E+03   0.248757E+01   0.341361E-03   0.980214E+01   0.970636E+01   0.185526E+03
   0.100406E+03   0.248757E+01   0.457078E-03   0.105503E+02   0.970636E+01   0.185907E+03
   0.100406E+03   0.248757E+01   0.404567E-03   0.106880E+02   0.100820E+02   0.185686E+03
   0.100406E+03   0.248757E+01   0.404567E-03   0.101986E+02   0.100820E+02   0.185935E+03
   0.100406E+03   0.248757E+01   0.404567E-03   0.101986E+02   0.100820E+02   0.185935E+03
   0.100406E+03   0.248757E+01   0.404567E-03   0.111979E+02   0.100820E+02   0.185221E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.910450E+01   0.111002E+02   0.184965E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.796105E+01   0.111002E+02   0.182940E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.906950E+01   0.912958E+01   0.185258E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.896979E+01   0.947313E+01   0.185386E+03
