               a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   
N                 0.120100E+04   0.120100E+04   0.120100E+04   0.120100E+04   0.120100E+04
Minimum           0.983403E+02  -0.408158E+01   0.187406E-04   0.773994E+01   0.761017E+01
Maximum           0.102296E+03   0.747118E+01   0.113872E-02   0.138350E+02   0.146018E+02
Range             0.395570E+01   0.115528E+02   0.111998E-02   0.609506E+01   0.699163E+01
Mean              0.999522E+02   0.245513E+01   0.476062E-03   0.100444E+02   0.101212E+02
Median            0.999764E+02   0.266338E+01   0.462612E-03   0.996259E+01   0.100820E+02
Q10%              0.991305E+02  -0.478742E+00   0.327848E-03   0.879487E+01   0.893661E+01
Q25%              0.995450E+02   0.965747E+00   0.386705E-03   0.942466E+01   0.940078E+01
Q75%              0.100370E+03   0.377029E+01   0.548251E-03   0.106030E+02   0.107234E+02
Q90%              0.100699E+03   0.524017E+01   0.638126E-03   0.113190E+02   0.112568E+02
St.Dev.           0.605673E+00   0.217121E+01   0.141366E-03   0.955263E+00   0.101315E+01
Variance          0.366839E+00   0.471417E+01   0.199845E-07   0.912527E+00   0.102648E+01
CV                0.605962E-02   0.884359E+00   0.296950E+00   0.951045E-01   0.100102E+00
Skewness          0.592042E-01  -0.268646E+00   0.650421E+00   0.257218E+00   0.733429E+00
Kurtosis          0.875722E-01  -0.204230E+00   0.269179E+01   0.187281E+00   0.177652E+01
MaxPost           0.998425E+02   0.214838E+01   0.418430E-03   0.992682E+01   0.101843E+02
