X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y1_sim         Y2_sim         Y3_sim         Y1_res         Y2_res         Y3_res         Y1_stdres      Y2_stdres      Y3_stdres      
   0.100000E+01   0.100000E+01   0.600000E-01   0.342000E+04   0.100000E+01   0.100000E+01   0.600000E-01   0.342000E+04   0.112546E+00  -0.999900E+04  -0.999900E+04   0.112546E+00  -0.999900E+04  -0.999900E+04   0.112709E+00   0.120000E+00  -0.100000E+10  -0.162423E-03  -0.999900E+04  -0.999900E+04  -0.160974E+00  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.650000E+00   0.342000E+04   0.100000E+01   0.100000E+01   0.650000E+00   0.342000E+04   0.111933E+00  -0.999900E+04  -0.999900E+04   0.111933E+00  -0.999900E+04  -0.999900E+04   0.112070E+00   0.120000E+00  -0.100000E+10  -0.137464E-03  -0.999900E+04  -0.999900E+04  -0.136237E+00  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.165000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.165000E+01   0.342000E+04   0.111046E+00  -0.999900E+04  -0.999900E+04   0.111046E+00  -0.999900E+04  -0.999900E+04   0.110993E+00   0.120000E+00  -0.100000E+10   0.524073E-04  -0.999900E+04  -0.999900E+04   0.519396E-01  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.365000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.365000E+01   0.342000E+04   0.108083E+00  -0.999900E+04  -0.999900E+04   0.108083E+00  -0.999900E+04  -0.999900E+04   0.108864E+00   0.120000E+00  -0.100000E+10  -0.780359E-03  -0.999900E+04  -0.999900E+04  -0.773396E+00  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.565000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.565000E+01   0.342000E+04   0.106061E+00  -0.999900E+04  -0.999900E+04   0.106061E+00  -0.999900E+04  -0.999900E+04   0.106768E+00   0.120000E+00  -0.100000E+10  -0.707073E-03  -0.999900E+04  -0.999900E+04  -0.700764E+00  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.765000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.765000E+01   0.342000E+04   0.104516E+00  -0.999900E+04  -0.999900E+04   0.104516E+00  -0.999900E+04  -0.999900E+04   0.104710E+00   0.120000E+00  -0.100000E+10  -0.194367E-03  -0.999900E+04  -0.999900E+04  -0.192633E+00  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.965000E+01   0.342000E+04   0.100000E+01   0.100000E+01   0.965000E+01   0.342000E+04   0.102142E+00  -0.999900E+04  -0.999900E+04   0.102142E+00  -0.999900E+04  -0.999900E+04   0.102695E+00   0.120000E+00  -0.100000E+10  -0.552578E-03  -0.999900E+04  -0.999900E+04  -0.547648E+00  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.116500E+02   0.342000E+04   0.100000E+01   0.100000E+01   0.116500E+02   0.342000E+04   0.100660E+00  -0.999900E+04  -0.999900E+04   0.100660E+00  -0.999900E+04  -0.999900E+04   0.100725E+00   0.120000E+00  -0.100000E+10  -0.648154E-04  -0.999900E+04  -0.999900E+04  -0.642371E-01  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.600000E-01   0.342000E+04   0.200000E+01   0.100000E+01   0.600000E-01   0.342000E+04   0.782550E-01  -0.999900E+04  -0.999900E+04   0.782550E-01  -0.999900E+04  -0.999900E+04   0.787606E-01   0.600000E-01  -0.100000E+10  -0.505586E-03  -0.999900E+04  -0.999900E+04  -0.728864E+00  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.650000E+00   0.342000E+04   0.200000E+01   0.100000E+01   0.650000E+00   0.342000E+04   0.776414E-01  -0.999900E+04  -0.999900E+04   0.776414E-01  -0.999900E+04  -0.999900E+04   0.780864E-01   0.600000E-01  -0.100000E+10  -0.444983E-03  -0.999900E+04  -0.999900E+04  -0.641498E+00  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.165000E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.165000E+01   0.342000E+04   0.766031E-01  -0.999900E+04  -0.999900E+04   0.766031E-01  -0.999900E+04  -0.999900E+04   0.769432E-01   0.600000E-01  -0.100000E+10  -0.340111E-03  -0.999900E+04  -0.999900E+04  -0.490312E+00  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.365000E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.365000E+01   0.342000E+04   0.738700E-01  -0.999900E+04  -0.999900E+04   0.738700E-01  -0.999900E+04  -0.999900E+04   0.746547E-01   0.600000E-01  -0.100000E+10  -0.784674E-03  -0.999900E+04  -0.999900E+04  -0.113120E+01  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.565000E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.565000E+01   0.342000E+04   0.716777E-01  -0.999900E+04  -0.999900E+04   0.716777E-01  -0.999900E+04  -0.999900E+04   0.723623E-01   0.600000E-01  -0.100000E+10  -0.684657E-03  -0.999900E+04  -0.999900E+04  -0.987018E+00  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.765000E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.765000E+01   0.342000E+04   0.698072E-01  -0.999900E+04  -0.999900E+04   0.698072E-01  -0.999900E+04  -0.999900E+04   0.700647E-01   0.600000E-01  -0.100000E+10  -0.257498E-03  -0.999900E+04  -0.999900E+04  -0.371216E+00  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.965000E+01   0.342000E+04   0.200000E+01   0.100000E+01   0.965000E+01   0.342000E+04   0.672428E-01  -0.999900E+04  -0.999900E+04   0.672428E-01  -0.999900E+04  -0.999900E+04   0.677600E-01   0.600000E-01  -0.100000E+10  -0.517206E-03  -0.999900E+04  -0.999900E+04  -0.745616E+00  -0.999900E+04  -0.999900E+04
   0.200000E+01   0.100000E+01   0.116500E+02   0.342000E+04   0.200000E+01   0.100000E+01   0.116500E+02   0.342000E+04   0.650094E-01  -0.999900E+04  -0.999900E+04   0.650094E-01  -0.999900E+04  -0.999900E+04   0.654461E-01   0.600000E-01  -0.100000E+10  -0.436720E-03  -0.999900E+04  -0.999900E+04  -0.629587E+00  -0.999900E+04  -0.999900E+04
   0.300000E+01   0.100000E+01   0.600000E-01   0.342000E+04   0.300000E+01   0.100000E+01   0.600000E-01   0.342000E+04   0.572459E-01  -0.999900E+04  -0.999900E+04   0.572459E-01  -0.999900E+04  -0.999900E+04   0.577832E-01   0.300000E-01  -0.100000E+10  -0.537373E-03  -0.999900E+04  -0.999900E+04  -0.865462E+00  -0.999900E+04  -0.999900E+04
   0.300000E+01   0.100000E+01   0.650000E+00   0.342000E+04   0.300000E+01   0.100000E+01   0.650000E+00   0.342000E+04   0.566323E-01  -0.999900E+04  -0.999900E+04   0.566323E-01  -0.999900E+04  -0.999900E+04   0.571402E-01   0.300000E-01  -0.100000E+10  -0.507906E-03  -0.999900E+04  -0.999900E+04  -0.818004E+00  -0.999900E+04  -0.999900E+04
   0.300000E+01   0.100000E+01   0.165000E+01   0.342000E+04   0.300000E+01   0.100000E+01   0.165000E+01   0.342000E+04   0.560822E-01  -0.999900E+04  -0.999900E+04   0.560822E-01  -0.999900E+04  -0.999900E+04   0.560519E-01   0.300000E-01  -0.100000E+10   0.302976E-04  -0.999900E+04  -0.999900E+04   0.487956E-01  -0.999900E+04  -0.999900E+04
   0.300000E+01   0.100000E+01   0.365000E+01   0.342000E+04   0.300000E+01   0.100000E+01   0.365000E+01   0.342000E+04   0.539269E-01  -0.999900E+04  -0.999900E+04   0.539269E-01  -0.999900E+04  -0.999900E+04   0.538826E-01   0.300000E-01  -0.100000E+10   0.442203E-04  -0.999900E+04  -0.999900E+04   0.712186E-01  -0.999900E+04  -0.999900E+04
   0.300000E+01   0.100000E+01   0.565000E+01   0.342000E+04   0.300000E+01   0.100000E+01   0.565000E+01   0.342000E+04   0.515902E-01  -0.999900E+04  -0.999900E+04   0.515902E-01  -0.999900E+04  -0.999900E+04   0.517254E-01   0.300000E-01  -0.100000E+10  -0.135131E-03  -0.999900E+04  -0.999900E+04  -0.217634E+00  -0.999900E+04  -0.999900E+04
