a0_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.101970E+03  0.186617E-03  0.553368E-03  0.560370E-03  0.128431E-02  0.211805E+03
  0.101970E+03  0.186617E-03  0.553368E-03  0.560370E-03  0.128431E-02  0.211805E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.560370E-03  0.128431E-02  0.214317E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.560370E-03  0.128431E-02  0.214317E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.128431E-02  0.216489E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.128431E-02  0.216489E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.128431E-02  0.216489E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.128431E-02  0.216489E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.128431E-02  0.216489E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.145233E-02  0.216184E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.145233E-02  0.216184E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.145233E-02  0.216184E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.145233E-02  0.216184E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.145233E-02  0.216184E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.145233E-02  0.216184E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.145233E-02  0.216184E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.145233E-02  0.216184E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.145233E-02  0.216184E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.145233E-02  0.216184E+03
  0.101970E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.145233E-02  0.216184E+03
  0.100112E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.768759E-03  0.217785E+03
  0.100112E+03  0.186617E-03  0.253772E-04  0.232845E-04  0.768759E-03  0.217785E+03
  0.100112E+03  0.186617E-03  0.186952E-03  0.232845E-04  0.768759E-03  0.217683E+03
  0.100112E+03  0.186617E-03  0.186952E-03  0.232845E-04  0.768759E-03  0.217683E+03
  0.100112E+03  0.186617E-03  0.186952E-03  0.232845E-04  0.768759E-03  0.217683E+03
  0.100112E+03  0.186617E-03  0.186952E-03  0.232845E-04  0.768759E-03  0.217683E+03
  0.100112E+03  0.186617E-03  0.186952E-03  0.232845E-04  0.768759E-03  0.217683E+03
  0.101185E+03  0.186617E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.218300E+03
  0.101185E+03  0.186617E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.218300E+03
  0.101185E+03  0.186617E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.218300E+03
  0.101185E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217734E+03
  0.101185E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217734E+03
  0.101185E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217734E+03
  0.101185E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217734E+03
  0.101185E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217734E+03
  0.101253E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217651E+03
  0.101253E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217651E+03
  0.101253E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217651E+03
  0.101253E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217651E+03
  0.101253E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217651E+03
  0.101253E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217651E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.101410E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217369E+03
  0.100963E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217940E+03
  0.100963E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217940E+03
  0.100963E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217940E+03
  0.100963E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217940E+03
  0.100963E+03  0.431186E-03  0.186952E-03  0.232845E-04  0.102481E-02  0.217940E+03
  0.100963E+03  0.431186E-03  0.186952E-03  0.592673E-04  0.102481E-02  0.217900E+03
  0.100963E+03  0.431186E-03  0.186952E-03  0.592673E-04  0.102481E-02  0.217900E+03
  0.100963E+03  0.431186E-03  0.186952E-03  0.592673E-04  0.102481E-02  0.217900E+03
  0.100963E+03  0.431186E-03  0.186952E-03  0.592673E-04  0.102481E-02  0.217900E+03
  0.100963E+03  0.431186E-03  0.186952E-03  0.592673E-04  0.102481E-02  0.217900E+03
  0.100963E+03  0.431186E-03  0.186952E-03  0.592673E-04  0.102481E-02  0.217900E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.592673E-04  0.102481E-02  0.217697E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.592673E-04  0.102481E-02  0.217697E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.592673E-04  0.102481E-02  0.217697E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.592673E-04  0.102481E-02  0.217697E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.169774E-03  0.102481E-02  0.217391E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.169774E-03  0.102481E-02  0.217391E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.169774E-03  0.102481E-02  0.217391E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.210481E-03  0.102481E-02  0.217210E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.210481E-03  0.102481E-02  0.217210E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.210481E-03  0.102481E-02  0.217210E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.210481E-03  0.102481E-02  0.217210E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.210481E-03  0.102481E-02  0.217210E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.210481E-03  0.102481E-02  0.217210E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.210481E-03  0.102481E-02  0.217210E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.210481E-03  0.102481E-02  0.217210E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.210481E-03  0.102481E-02  0.217210E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.488109E-04  0.102481E-02  0.217711E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.488109E-04  0.765257E-03  0.217182E+03
  0.101190E+03  0.431186E-03  0.186952E-03  0.488109E-04  0.765257E-03  0.217182E+03
  0.100955E+03  0.431186E-03  0.186952E-03  0.488109E-04  0.765257E-03  0.217522E+03
  0.100955E+03  0.431186E-03  0.186952E-03  0.488109E-04  0.765257E-03  0.217522E+03
  0.100955E+03  0.431186E-03  0.186952E-03  0.488109E-04  0.765257E-03  0.217522E+03
  0.100955E+03  0.431186E-03  0.752687E-03  0.488109E-04  0.765257E-03  0.214340E+03
  0.100955E+03  0.431186E-03  0.752687E-03  0.488109E-04  0.765257E-03  0.214340E+03
  0.100955E+03  0.431186E-03  0.752687E-03  0.488109E-04  0.765257E-03  0.214340E+03
  0.100955E+03  0.431186E-03  0.752687E-03  0.488109E-04  0.765257E-03  0.214340E+03
  0.995328E+02  0.431186E-03  0.752687E-03  0.488109E-04  0.765257E-03  0.214250E+03
  0.995328E+02  0.134295E-03  0.752687E-03  0.488109E-04  0.765257E-03  0.214747E+03
  0.995328E+02  0.134295E-03  0.752687E-03  0.488109E-04  0.765257E-03  0.214747E+03
  0.995328E+02  0.134295E-03  0.752687E-03  0.488109E-04  0.765257E-03  0.214747E+03
  0.995328E+02  0.134295E-03  0.752687E-03  0.488109E-04  0.765257E-03  0.214747E+03
  0.995328E+02  0.134295E-03  0.752687E-03  0.488109E-04  0.765257E-03  0.214747E+03
  0.995328E+02  0.379345E-03  0.752687E-03  0.488109E-04  0.765257E-03  0.214372E+03
  0.995328E+02  0.379345E-03  0.752687E-03  0.488109E-04  0.950405E-03  0.214217E+03
  0.995328E+02  0.379345E-03  0.752687E-03  0.488109E-04  0.950405E-03  0.214217E+03
  0.995328E+02  0.379345E-03  0.752687E-03  0.488109E-04  0.950405E-03  0.214217E+03
  0.995328E+02  0.379345E-03  0.752687E-03  0.488109E-04  0.950405E-03  0.214217E+03
  0.995328E+02  0.379345E-03  0.752687E-03  0.488109E-04  0.950405E-03  0.214217E+03
  0.995328E+02  0.379345E-03  0.270541E-03  0.488109E-04  0.950405E-03  0.215376E+03
  0.995328E+02  0.379345E-03  0.270541E-03  0.488109E-04  0.950405E-03  0.215376E+03
  0.995328E+02  0.379345E-03  0.270541E-03  0.488109E-04  0.950405E-03  0.215376E+03
  0.995328E+02  0.379345E-03  0.270541E-03  0.488109E-04  0.950405E-03  0.215376E+03
  0.100195E+03  0.379345E-03  0.270541E-03  0.488109E-04  0.950405E-03  0.217364E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.950405E-03  0.217873E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.950405E-03  0.217873E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.950405E-03  0.217873E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.950405E-03  0.217873E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.950405E-03  0.217873E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.950405E-03  0.217873E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.950405E-03  0.217873E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.950405E-03  0.217873E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.950405E-03  0.217873E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.950405E-03  0.217873E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.950405E-03  0.217873E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.217898E+03
  0.100195E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.217898E+03
  0.100605E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.218348E+03
  0.100605E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.218348E+03
  0.100605E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.218348E+03
  0.100605E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.218348E+03
  0.100605E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.218348E+03
  0.100605E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.218348E+03
  0.100605E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.218348E+03
  0.100605E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.218348E+03
  0.100605E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.218348E+03
  0.100605E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.218348E+03
  0.100605E+03  0.540623E-04  0.270541E-03  0.488109E-04  0.909596E-03  0.218348E+03
  0.100605E+03  0.540623E-04  0.249395E-03  0.488109E-04  0.909596E-03  0.218419E+03
  0.100605E+03  0.540623E-04  0.341389E-03  0.488109E-04  0.909596E-03  0.218071E+03
  0.100605E+03  0.540623E-04  0.341389E-03  0.488109E-04  0.909596E-03  0.218071E+03
  0.100605E+03  0.540623E-04  0.341389E-03  0.488109E-04  0.909596E-03  0.218071E+03
  0.100605E+03  0.177504E-03  0.341389E-03  0.265258E-03  0.909596E-03  0.217041E+03
  0.100605E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.909596E-03  0.217119E+03
  0.100605E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.909596E-03  0.217119E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.909596E-03  0.216896E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.909596E-03  0.216896E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.909596E-03  0.216896E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.909596E-03  0.216896E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.909596E-03  0.216896E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.909596E-03  0.216896E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.709597E-03  0.216553E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.709597E-03  0.216553E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.709597E-03  0.216553E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.709597E-03  0.216553E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.709597E-03  0.216553E+03
  0.100320E+03  0.109573E-03  0.341389E-03  0.265258E-03  0.709597E-03  0.216553E+03
