               a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.989497E+02   0.258923E-04   0.649512E-05   0.925302E-05   0.491302E-03
Maximum           0.102598E+03   0.196642E-02   0.878178E-03   0.783182E-03   0.304590E-02
Range             0.364830E+01   0.194053E-02   0.871683E-03   0.773929E-03   0.255460E-02
Mean              0.100740E+03   0.331745E-03   0.273717E-03   0.206644E-03   0.109423E-02
Median            0.100605E+03   0.275697E-03   0.262938E-03   0.156725E-03   0.981060E-03
Q10%              0.997750E+02   0.762458E-04   0.599646E-04   0.460841E-04   0.692440E-03
Q25%              0.100211E+03   0.144184E-03   0.108434E-03   0.599450E-04   0.786376E-03
Q75%              0.101284E+03   0.424341E-03   0.341389E-03   0.288201E-03   0.134548E-02
Q90%              0.101993E+03   0.647090E-03   0.609622E-03   0.522301E-03   0.165520E-02
St.Dev.           0.795516E+00   0.275413E-03   0.192461E-03   0.178198E-03   0.377364E-03
Variance          0.632845E+00   0.758526E-07   0.370411E-07   0.317546E-07   0.142403E-06
CV                0.789670E-02   0.830198E+00   0.703138E+00   0.862343E+00   0.344867E+00
Skewness          0.262528E+00   0.272807E+01   0.908510E+00   0.122056E+01   0.136314E+01
Kurtosis         -0.484117E+00   0.119943E+02   0.359155E+00   0.907291E+00   0.308046E+01
MaxPost           0.100965E+03   0.762458E-04   0.340304E-04   0.102125E-04   0.115087E-02
