               a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04
Minimum           0.954560E+02   0.279912E-03   0.549856E+01   0.552503E+01   0.799571E+01   0.820146E+01
Maximum           0.100168E+03   0.121715E-02   0.191811E+02   0.161726E+02   0.252415E+02   0.266047E+02
Range             0.471200E+01   0.937238E-03   0.136825E+02   0.106476E+02   0.172458E+02   0.184032E+02
Mean              0.977453E+02   0.629675E-03   0.101778E+02   0.102007E+02   0.152759E+02   0.152486E+02
Median            0.976870E+02   0.619419E-03   0.999448E+01   0.101352E+02   0.149445E+02   0.148681E+02
Q10%              0.969427E+02   0.468252E-03   0.779138E+01   0.800411E+01   0.116357E+02   0.115209E+02
Q25%              0.972114E+02   0.528865E-03   0.875450E+01   0.883656E+01   0.133058E+02   0.129442E+02
Q75%              0.982521E+02   0.721578E-03   0.113602E+02   0.113442E+02   0.171028E+02   0.172502E+02
Q90%              0.986340E+02   0.808413E-03   0.127110E+02   0.127979E+02   0.193591E+02   0.196041E+02
St.Dev.           0.716794E+00   0.141369E-03   0.197836E+01   0.183202E+01   0.296707E+01   0.320562E+01
Variance          0.513793E+00   0.199852E-07   0.391390E+01   0.335628E+01   0.880352E+01   0.102760E+02
CV                0.733328E-02   0.224511E+00   0.194380E+00   0.179597E+00   0.194233E+00   0.210224E+00
Skewness          0.451511E+00   0.402530E+00   0.600049E+00   0.469774E+00   0.478268E+00   0.654463E+00
Kurtosis          0.688676E+00   0.195220E+00   0.629770E+00  -0.279754E-01   0.615238E-01   0.314980E+00
MaxPost           0.975897E+02   0.604244E-03   0.923695E+01   0.899848E+01   0.149100E+02   0.155299E+02
