a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.976232E+02   0.764905E-03   0.155288E+02   0.874666E+01   0.128827E+02   0.108494E+02   0.171429E+03  -0.113359E+02   0.000000E+00   0.182765E+03  -0.365530E+03
   0.987086E+02   0.764905E-03   0.155288E+02   0.874666E+01   0.128827E+02   0.108494E+02   0.170888E+03  -0.113359E+02   0.000000E+00   0.182224E+03  -0.364448E+03
   0.987086E+02   0.764905E-03   0.121453E+02   0.874666E+01   0.181325E+02   0.108494E+02   0.172581E+03  -0.964311E+01   0.000000E+00   0.182224E+03  -0.364448E+03
   0.987086E+02   0.764905E-03   0.117465E+02   0.874666E+01   0.138511E+02   0.113004E+02   0.173671E+03  -0.855347E+01   0.000000E+00   0.182224E+03  -0.364449E+03
   0.987086E+02   0.764905E-03   0.961732E+01   0.874666E+01   0.137982E+02   0.113004E+02   0.174172E+03  -0.805260E+01   0.000000E+00   0.182225E+03  -0.364449E+03
   0.987086E+02   0.764905E-03   0.947699E+01   0.874666E+01   0.137982E+02   0.872487E+01   0.171760E+03  -0.104640E+02   0.000000E+00   0.182224E+03  -0.364448E+03
   0.987086E+02   0.764905E-03   0.982048E+01   0.874666E+01   0.129683E+02   0.872487E+01   0.171641E+03  -0.105832E+02   0.000000E+00   0.182224E+03  -0.364448E+03
   0.987086E+02   0.665626E-03   0.982048E+01   0.874666E+01   0.146055E+02   0.105576E+02   0.174172E+03  -0.850833E+01   0.000000E+00   0.182680E+03  -0.365361E+03
   0.100110E+03   0.665626E-03   0.852664E+01   0.105586E+02   0.146358E+02   0.105576E+02   0.169939E+03  -0.868231E+01   0.000000E+00   0.178621E+03  -0.357243E+03
   0.100110E+03   0.681268E-03   0.109507E+02   0.111978E+02   0.137655E+02   0.105576E+02   0.169789E+03  -0.892323E+01   0.000000E+00   0.178712E+03  -0.357424E+03
   0.988335E+02   0.681268E-03   0.109507E+02   0.111978E+02   0.123621E+02   0.140534E+02   0.174446E+03  -0.798844E+01   0.000000E+00   0.182434E+03  -0.364869E+03
   0.975439E+02   0.681268E-03   0.105959E+02   0.801381E+01   0.136733E+02   0.130859E+02   0.175467E+03  -0.786147E+01   0.000000E+00   0.183328E+03  -0.366657E+03
   0.975439E+02   0.681268E-03   0.869040E+01   0.801381E+01   0.172620E+02   0.130859E+02   0.175088E+03  -0.824010E+01   0.000000E+00   0.183328E+03  -0.366656E+03
   0.975439E+02   0.681268E-03   0.869040E+01   0.801381E+01   0.135075E+02   0.119631E+02   0.175126E+03  -0.820258E+01   0.000000E+00   0.183329E+03  -0.366657E+03
   0.975439E+02   0.681268E-03   0.722167E+01   0.801381E+01   0.135075E+02   0.133222E+02   0.174589E+03  -0.873931E+01   0.000000E+00   0.183328E+03  -0.366657E+03
   0.975897E+02   0.681268E-03   0.722167E+01   0.130203E+02   0.135075E+02   0.133222E+02   0.173867E+03  -0.948253E+01   0.000000E+00   0.183350E+03  -0.366699E+03
   0.975897E+02   0.681268E-03   0.822753E+01   0.129998E+02   0.177047E+02   0.151091E+02   0.174169E+03  -0.917988E+01   0.000000E+00   0.183349E+03  -0.366698E+03
   0.975897E+02   0.681268E-03   0.822753E+01   0.951529E+01   0.169231E+02   0.159229E+02   0.175421E+03  -0.792794E+01   0.000000E+00   0.183349E+03  -0.366698E+03
   0.975897E+02   0.681268E-03   0.601368E+01   0.851601E+01   0.169231E+02   0.179084E+02   0.172331E+03  -0.110177E+02   0.000000E+00   0.183349E+03  -0.366697E+03
   0.975897E+02   0.681268E-03   0.669818E+01   0.790195E+01   0.109538E+02   0.107855E+02   0.172074E+03  -0.112747E+02   0.000000E+00   0.183349E+03  -0.366697E+03
   0.975897E+02   0.681268E-03   0.653701E+01   0.106965E+02   0.137732E+02   0.107855E+02   0.173096E+03  -0.102529E+02   0.000000E+00   0.183349E+03  -0.366698E+03
   0.975897E+02   0.681268E-03   0.962727E+01   0.100256E+02   0.137732E+02   0.107855E+02   0.175071E+03  -0.827779E+01   0.000000E+00   0.183349E+03  -0.366698E+03
