               a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04   0.562600E+04
Minimum           0.100000E+03   0.300662E+02   0.206338E-06   0.464838E+01   0.537307E+01   0.857299E+01   0.328251E-04
Maximum           0.125285E+03   0.385535E+02   0.197975E-02   0.216648E+02   0.193062E+02   0.275166E+02   0.135925E-01
Range             0.252850E+02   0.848730E+01   0.197954E-02   0.170164E+02   0.139331E+02   0.189436E+02   0.135597E-01
Mean              0.119421E+03   0.329693E+02   0.225270E-03   0.102027E+02   0.102843E+02   0.151841E+02   0.148607E-02
Median            0.119444E+03   0.329970E+02   0.184809E-03   0.100441E+02   0.100525E+02   0.148924E+02   0.987014E-03
Q10%              0.117763E+03   0.316734E+02   0.299185E-04   0.766758E+01   0.780488E+01   0.116251E+02   0.287418E-03
Q25%              0.118605E+03   0.322827E+02   0.832470E-04   0.873766E+01   0.884713E+01   0.131634E+02   0.524275E-03
Q75%              0.120216E+03   0.336218E+02   0.318776E-03   0.113902E+02   0.114752E+02   0.170686E+02   0.178804E-02
Q90%              0.121027E+03   0.342148E+02   0.466956E-03   0.128941E+02   0.131382E+02   0.189563E+02   0.332988E-02
St.Dev.           0.127077E+01   0.972259E+00   0.204170E-03   0.210505E+01   0.206830E+01   0.291915E+01   0.157806E-02
Variance          0.161485E+01   0.945288E+00   0.416854E-07   0.443125E+01   0.427788E+01   0.852145E+01   0.249028E-05
CV                0.106411E-01   0.294898E-01   0.906337E+00   0.206323E+00   0.201113E+00   0.192250E+00   0.106190E+01
Skewness         -0.656965E+00   0.104801E+00   0.267375E+01   0.676945E+00   0.592666E+00   0.545062E+00   0.273120E+01
Kurtosis          0.100146E+02   0.550675E+00   0.146005E+02   0.104026E+01   0.444107E+00   0.421782E+00   0.101728E+02
MaxPost           0.119299E+03   0.332317E+02   0.108292E-03   0.952152E+01   0.100512E+02   0.152091E+02   0.392184E-03
