a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.118370E+03   0.341954E+02   0.157048E-02   0.112572E+02   0.108182E+02   0.146003E+02   0.160113E-03   0.308504E+02   0.469296E+00   0.000000E+00   0.303811E+02  -0.607622E+02
   0.118370E+03   0.341954E+02   0.147360E-02   0.115023E+02   0.110237E+02   0.124741E+02   0.160113E-03   0.309392E+02   0.594320E-01   0.000000E+00   0.308798E+02  -0.617595E+02
   0.118370E+03   0.341954E+02   0.147360E-02   0.113214E+02   0.104917E+02   0.120733E+02   0.160113E-03   0.310156E+02   0.135787E+00   0.000000E+00   0.308798E+02  -0.617596E+02
   0.118370E+03   0.332710E+02   0.147360E-02   0.944603E+01   0.109184E+02   0.126972E+02   0.189681E-03   0.321914E+02   0.679163E+00   0.000000E+00   0.315122E+02  -0.630245E+02
   0.118370E+03   0.332710E+02   0.147360E-02   0.940038E+01   0.958363E+01   0.139004E+02   0.163999E-03   0.324706E+02   0.958388E+00   0.000000E+00   0.315122E+02  -0.630244E+02
   0.118370E+03   0.334166E+02   0.147360E-02   0.959838E+01   0.949925E+01   0.139004E+02   0.163999E-03   0.324427E+02   0.962799E+00   0.000000E+00   0.314799E+02  -0.629598E+02
   0.118370E+03   0.334166E+02   0.115130E-02   0.896566E+01   0.949925E+01   0.156475E+02   0.163999E-03   0.341410E+02   0.834716E+00   0.000000E+00   0.333063E+02  -0.666126E+02
   0.118370E+03   0.334166E+02   0.115130E-02   0.705905E+01   0.938318E+01   0.134541E+02   0.163999E-03   0.330330E+02  -0.273279E+00   0.000000E+00   0.333063E+02  -0.666126E+02
   0.118370E+03   0.334166E+02   0.115149E-02   0.747774E+01   0.871230E+01   0.127261E+02   0.163999E-03   0.331874E+02  -0.117707E+00   0.000000E+00   0.333051E+02  -0.666102E+02
   0.118370E+03   0.334166E+02   0.122241E-02   0.815185E+01   0.881883E+01   0.116472E+02   0.163999E-03   0.328626E+02  -0.156756E-01   0.000000E+00   0.328783E+02  -0.657566E+02
   0.118370E+03   0.334166E+02   0.122241E-02   0.815185E+01   0.726424E+01   0.116349E+02   0.163999E-03   0.319715E+02  -0.906870E+00   0.000000E+00   0.328784E+02  -0.657567E+02
   0.118370E+03   0.334166E+02   0.122241E-02   0.864520E+01   0.821573E+01   0.119257E+02   0.163999E-03   0.329652E+02   0.869290E-01   0.000000E+00   0.328783E+02  -0.657565E+02
   0.118370E+03   0.334166E+02   0.122241E-02   0.879599E+01   0.101237E+02   0.116969E+02   0.163999E-03   0.331828E+02   0.304543E+00   0.000000E+00   0.328783E+02  -0.657565E+02
   0.118370E+03   0.317811E+02   0.122241E-02   0.963255E+01   0.110119E+02   0.116407E+02   0.163999E-03   0.318066E+02   0.178127E+00   0.000000E+00   0.316285E+02  -0.632569E+02
   0.118370E+03   0.317811E+02   0.122241E-02   0.106928E+02   0.110119E+02   0.127619E+02   0.597558E-03   0.322575E+02   0.629039E+00   0.000000E+00   0.316285E+02  -0.632569E+02
   0.118370E+03   0.337766E+02   0.122241E-02   0.106928E+02   0.110119E+02   0.134150E+02   0.597558E-03   0.334496E+02   0.749609E+00   0.000000E+00   0.327000E+02  -0.654000E+02
   0.118370E+03   0.337766E+02   0.122241E-02   0.101133E+02   0.104191E+02   0.149766E+02   0.597558E-03   0.337560E+02   0.105599E+01   0.000000E+00   0.327000E+02  -0.654000E+02
   0.118370E+03   0.337766E+02   0.121078E-02   0.909147E+01   0.121247E+02   0.142559E+02   0.597558E-03   0.332428E+02   0.473170E+00   0.000000E+00   0.327696E+02  -0.655393E+02
   0.118370E+03   0.326934E+02   0.121078E-02   0.909147E+01   0.121247E+02   0.164663E+02   0.597558E-03   0.330615E+02   0.252653E+00   0.000000E+00   0.328088E+02  -0.656177E+02
   0.118370E+03   0.326934E+02   0.117739E-02   0.890521E+01   0.121247E+02   0.163989E+02   0.597558E-03   0.332324E+02   0.232160E+00   0.000000E+00   0.330002E+02  -0.660005E+02
   0.118370E+03   0.326934E+02   0.117739E-02   0.100869E+02   0.121637E+02   0.190428E+02   0.597558E-03   0.324941E+02  -0.506087E+00   0.000000E+00   0.330002E+02  -0.660004E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.100869E+02   0.124116E+02   0.196612E+02   0.313961E-03   0.376249E+02  -0.760431E+00   0.000000E+00   0.383853E+02  -0.767707E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.109960E+02   0.114305E+02   0.183890E+02   0.289465E-02   0.362175E+02  -0.216777E+01   0.000000E+00   0.383853E+02  -0.767705E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.109960E+02   0.117105E+02   0.178482E+02   0.788596E-03   0.381128E+02  -0.272460E+00   0.000000E+00   0.383853E+02  -0.767705E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.109757E+02   0.111042E+02   0.195476E+02   0.788596E-03   0.377571E+02  -0.628219E+00   0.000000E+00   0.383853E+02  -0.767706E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.112970E+02   0.922552E+01   0.201817E+02   0.788596E-03   0.376359E+02  -0.749385E+00   0.000000E+00   0.383853E+02  -0.767706E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.112970E+02   0.922552E+01   0.178336E+02   0.788596E-03   0.384859E+02   0.100626E+00   0.000000E+00   0.383853E+02  -0.767705E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.124645E+02   0.902695E+01   0.181604E+02   0.307352E-03   0.381125E+02  -0.272765E+00   0.000000E+00   0.383853E+02  -0.767705E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.110003E+02   0.105142E+02   0.196048E+02   0.307352E-03   0.381620E+02  -0.223262E+00   0.000000E+00   0.383853E+02  -0.767705E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.106001E+02   0.107107E+02   0.201148E+02   0.307352E-03   0.380184E+02  -0.366870E+00   0.000000E+00   0.383853E+02  -0.767705E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.108387E+02   0.107107E+02   0.202222E+02   0.307352E-03   0.379128E+02  -0.472495E+00   0.000000E+00   0.383853E+02  -0.767706E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.109139E+02   0.105915E+02   0.202222E+02   0.307352E-03   0.379202E+02  -0.465092E+00   0.000000E+00   0.383853E+02  -0.767706E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.914688E+01   0.112239E+02   0.198851E+02   0.307352E-03   0.380485E+02  -0.336796E+00   0.000000E+00   0.383853E+02  -0.767706E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.853602E+01   0.106467E+02   0.210467E+02   0.744768E-03   0.373444E+02  -0.104091E+01   0.000000E+00   0.383853E+02  -0.767706E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.844469E+01   0.107076E+02   0.210467E+02   0.744768E-03   0.372961E+02  -0.108921E+01   0.000000E+00   0.383853E+02  -0.767706E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.769715E+01   0.107076E+02   0.210467E+02   0.368429E-02   0.344840E+02  -0.390128E+01   0.000000E+00   0.383853E+02  -0.767706E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.769715E+01   0.935512E+01   0.209247E+02   0.674244E-02   0.331014E+02  -0.528382E+01   0.000000E+00   0.383852E+02  -0.767704E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.800096E+01   0.938997E+01   0.206229E+02   0.674244E-02   0.334324E+02  -0.495287E+01   0.000000E+00   0.383853E+02  -0.767705E+02
   0.118370E+03   0.327811E+02   0.212435E-03   0.800096E+01   0.897360E+01   0.192827E+02   0.316625E-02   0.358389E+02  -0.254633E+01   0.000000E+00   0.383852E+02  -0.767705E+02
   0.118370E+03   0.342368E+02   0.212435E-03   0.800096E+01   0.889960E+01   0.188420E+02   0.946189E-03   0.383305E+02  -0.529203E+00   0.000000E+00   0.388597E+02  -0.777194E+02
   0.118370E+03   0.342368E+02   0.212435E-03   0.742520E+01   0.889960E+01   0.190139E+02   0.946189E-03   0.378572E+02  -0.100252E+01   0.000000E+00   0.388597E+02  -0.777194E+02
