               a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04   0.200100E+04
Minimum           0.999974E+02   0.521071E+02   0.208953E-03   0.578294E+01   0.575048E+01   0.757195E-05   0.795988E+01
Maximum           0.100002E+03   0.638039E+02   0.197568E-02   0.187542E+02   0.190242E+02   0.641558E-02   0.253781E+02
Range             0.460000E-02   0.116968E+02   0.176673E-02   0.129713E+02   0.132737E+02   0.640801E-02   0.174182E+02
Mean              0.100000E+03   0.593397E+02   0.464067E-03   0.101289E+02   0.103446E+02   0.717191E-03   0.151584E+02
Median            0.100000E+03   0.593257E+02   0.421150E-03   0.987471E+01   0.101373E+02   0.406784E-03   0.149915E+02
Q10%              0.100000E+03   0.578182E+02   0.325939E-03   0.764606E+01   0.784148E+01   0.106203E-03   0.113987E+02
Q25%              0.100000E+03   0.586624E+02   0.370100E-03   0.861460E+01   0.888727E+01   0.206396E-03   0.132113E+02
Q75%              0.100000E+03   0.600413E+02   0.521734E-03   0.113021E+02   0.115899E+02   0.840126E-03   0.169855E+02
Q90%              0.100000E+03   0.608575E+02   0.633330E-03   0.129116E+02   0.129324E+02   0.166079E-02   0.189785E+02
St.Dev.           0.514596E-03   0.125045E+01   0.170512E-03   0.215207E+01   0.213793E+01   0.837859E-03   0.294550E+01
Variance          0.264809E-06   0.156361E+01   0.290744E-07   0.463139E+01   0.457074E+01   0.702007E-06   0.867597E+01
CV                0.514596E-05   0.210727E-01   0.367430E+00   0.212468E+00   0.206672E+00   0.116825E+01   0.194314E+00
Skewness          0.513807E+00  -0.678784E+00   0.388415E+01   0.788049E+00   0.673140E+00   0.261497E+01   0.368663E+00
Kurtosis          0.127389E+02   0.419527E+01   0.257040E+02   0.852897E+00   0.802783E+00   0.841432E+01   0.186513E+00
MaxPost           0.100000E+03   0.596315E+02   0.347862E-03   0.985053E+01   0.101739E+02   0.207459E-03   0.145668E+02
