"Typology" "SU" "param_name" "prior.dist" "par_1" "par_2" "covariate" "scaled" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17"
"Seine" "SU1" "Km_SU1_a0" "Gaussian" 30 6.2500520419994 0 -1 1 1.19790763919862e-16 0.771976084483869 -1.63348530334442e-16 0.721770026738053 -7.18305286065737e-17 -0.567616047848563 8.87828774479914e-17 -0.814645380392995 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a1" "Gaussian" 2.66453525910038e-15 7.85921430660157 17247.875 -0.75 8.47576159810342e-17 1 1.1736926192387e-16 0.395486396275192 2.52588664539933e-16 0.00060132907142915 -2.32358137861563e-16 -0.631944039150992 -2.14909294433362e-16 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a2" "Gaussian" -2.66453525910038e-15 22.3866788517178 34495.75 -0.5 0.771976084483869 1.1736926192387e-16 1 -1.7739793271531e-16 0.813190873354258 2.80757303464577e-17 -0.662301785120949 6.25608783316414e-17 -0.927426047702205 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a3" "Gaussian" -1.24344978758018e-14 11.8532614201066 51743.625 -0.25 -1.4086937478383e-16 0.395486396275192 -2.30952025610498e-16 1 -1.77543904105954e-16 -0.0883273126355416 2.05417714344759e-16 -0.706943663888771 1.80798792534834e-16 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a4" "Gaussian" -2.04281036531029e-14 20.4690801750302 68991.5 0 0.721770026738053 2.52588664539933e-16 0.813190873354258 -2.34284739438785e-16 1 1.09664073362483e-17 -0.703288727192033 6.84217502650816e-17 -0.888508828399269 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a5" "Gaussian" 5.32907051820075e-15 9.89185006852363 86239.375 0.25 -8.61966343278884e-17 0.00060132907142915 2.80757303464577e-17 -0.0883273126355416 1.09664073362483e-17 1 -9.06865059357752e-17 -0.411376675603721 8.26202243260225e-18 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a6" "Gaussian" 4.88498130835069e-15 13.8614307014695 103487.25 0.5 -0.567616047848563 -1.67134800917966e-16 -0.662301785120949 2.94612248204983e-16 -0.703288727192033 -9.06865059357752e-17 1 -8.43486306872177e-17 0.53748384988657 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a7" "Gaussian" 7.105427357601e-15 17.7568424585878 120735.125 0.75 7.50277837588659e-19 -0.631944039150992 2.68118049992749e-17 -0.706943663888771 2.81017902874442e-17 -0.411376675603721 1.62382390627799e-17 1 -1.43190325143492e-17 0 0 0 0 0 0 0 0
"Seine" "SU1" "Km_SU1_a8" "Gaussian" 1.92068583260152e-14 36.6783760657809 137983 1 -0.814645380392995 -1.65803676081653e-16 -0.927426047702205 1.48112005183903e-16 -0.888508828399269 8.10902201718369e-18 0.53748384988657 -1.42764163461517e-17 1 0 0 0 0 0 0 0 0
"Seine" "SU1" "Kf_SU1_a0" "FIX" 20 NA 137983 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"event_1" "node_1" "Q_e1_Poses" "FIX" 1 NA NA NA 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"event_1" "node_2" "Q_e1_Eure" "FIX" 1 NA NA NA 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Y_1" NA "intercept" "Uniform" -10 10 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Y_2" NA "intercept" "Uniform" -1000 1000 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Y_3" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Y_4" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Y_5" NA "intercept" "Exponential" 0 0.01 NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
