"X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10"
1 -1 1 -1 1 -1 1 -1 1
1 -0.989460166519121 0.968547131692069 -0.937591232663338 0.897080711327333 -0.847653147889191 0.790084286138865 -0.725274456273883 0.654232845147531
1 -0.978920333038241 0.937427527653552 -0.876831223924223 0.799038203308737 -0.706485560228502 0.602055477069641 -0.488974737742231 0.370702669660149
1 -0.968380499557362 0.906641187884449 -0.81770241103313 0.705751480336326 -0.576022819138087 0.434524086200925 -0.28772336525942 0.142214604919645
1 -0.957840666076483 0.87618811238476 -0.760187231240535 0.617100842561405 -0.455801922743247 0.286156262877606 -0.118340833459554 -0.0378523623711321
1 -0.947300832595603 0.846068301154484 -0.704268121796915 0.532967885894466 -0.345371162260651 0.155672475955325 0.0221620449232601 -0.175577398225583
1 -0.936760999114724 0.816281754193624 -0.649927519952748 0.453235502005191 -0.244289999084565 0.0418462116253597 0.136591615337142 -0.276528619023281
1 -0.926448024717954 0.787458913755699 -0.598267575513886 0.379367488461594 -0.154021608178311 -0.0545357135067506 0.225849743111963 -0.344602591411222
1 -0.916361909405295 0.759578723513377 -0.549173742767061 0.310989281520201 -0.0736227230595294 -0.135471792956347 0.293653117084237 -0.386010676927186
1 -0.906275794092635 0.732003722437355 -0.501478228656042 0.246332972988973 -0.000659516347372957 -0.204181687371518 0.344220152755371 -0.406263009076913
1 -0.896189678779976 0.704733910527635 -0.455165642315212 0.185300380966039 0.0652167938397986 -0.261569116262673 0.379443040947128 -0.408726280110857
1 -0.886103563467317 0.677769287784215 -0.410220592878953 0.127794410187841 0.124346126237593 -0.308498508687762 0.401089200702566 -0.396451123668462
1 -0.876017448154657 0.651109854207096 -0.366627689481647 0.0737190520291416 0.17705963507521 -0.345795981122214 0.410806465441626 -0.372191575658576
1 -0.865931332841998 0.624755609796278 -0.324371541257678 0.0229793845030217 0.22367980871508 -0.374250304385087 0.410128141616378 -0.338423749236577
1 -0.855845217529338 0.598706554551761 -0.283436757341428 -0.0245184277391219 0.264520568292502 -0.394613859621412 0.400477941300875 -0.297363743059418
1 -0.845759102216679 0.572962688473544 -0.243807946867279 -0.0688671334075747 0.299887366355271 -0.407603583340745 0.38317479015054 -0.250984801782695
1 -0.835672986904019 0.547524011561628 -0.205469718969615 -0.110158394574303 0.330077285503319 -0.413901901511917 0.359437512166059 -0.201033747546748
1 -0.82558687159136 0.522390523816013 -0.168406682782817 -0.148482786672958 0.355379137028343 -0.414157652713991 0.330389392696698 -0.149046700981701
1 -0.8155007562787 0.497562225236699 -0.132603447441268 -0.18392979849887 0.376073559553445 -0.408987000343414 0.29706262111801 -0.0963641100442704
1 -0.805414640966041 0.473039115823685 -0.0980446220793506 -0.216587832209054 0.392433117672763 -0.398974333877375 0.260402614618867 -0.044145104782059
1 -0.795328525653382 0.448821195576973 -0.0647148158314483 -0.246544203322207 0.404722400591107 -0.384673159193369 0.221272224532763 0.00661880409603655
1 -0.785242410340722 0.424908464496561 -0.0325986378319427 -0.273885140718707 0.413198120763592 -0.366606977944954 0.180455826648336 0.0550906651817717
1 -0.775156295028063 0.401300922582449 -0.00168069721521643 -0.298695786640618 0.418109212535274 -0.345270155993716 0.138663296934058 0.100575647417413
1 -0.765070179715403 0.377998569834639 0.0280543968843475 -0.321060196691681 0.419696930780782 -0.321128780897436 0.0965338741120246 0.142509205006174
1 -0.754984064402744 0.35500140625313 0.0566220353323668 -0.341061339837323 0.418194949543956 -0.294621508454457 0.0546399105158059 0.180445829172978
1 -0.744897949090084 0.332309431837921 0.0840376089944587 -0.358781098404652 0.413829460677477 -0.266160398304255 0.0134905126672934 0.214048369982397
1 -0.734811833777425 0.309922646589013 0.110316508736241 -0.374300268082461 0.406819272482506 -0.236131738584207 -0.0264649269925094 0.243077911637716
1 -0.724725718464766 0.287841050506406 0.13547412542333 -0.38769855792122 0.397375908348313 -0.20489685964257 -0.0648333057838019 0.267384184902146
1 -0.714639603152106 0.2660646435901 0.159525849921345 -0.399054590333087 0.385703705391918 -0.172792936807652 -0.101274492444473 0.28689650050035
