a0_min_r_1     a0_flood_r_1   a1_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.113002E+03   0.385178E+02   0.125803E+01   0.810902E-03   0.962268E+01   0.850628E+01   0.197977E+02   0.163291E+02   0.450610E+02  -0.881988E+01   0.000000E+00   0.538809E+02  -0.107762E+03
   0.113002E+03   0.385178E+02   0.136010E+01   0.810902E-03   0.102078E+02   0.873417E+01   0.197977E+02   0.152803E+02   0.452374E+02  -0.864175E+01   0.000000E+00   0.538792E+02  -0.107758E+03
   0.113002E+03   0.385178E+02   0.136010E+01   0.810902E-03   0.102078E+02   0.740792E+01   0.228779E+02   0.145791E+02   0.431377E+02  -0.107415E+02   0.000000E+00   0.538792E+02  -0.107758E+03
   0.112053E+03   0.385178E+02   0.143337E+01   0.810902E-03   0.103797E+02   0.780613E+01   0.228779E+02   0.145791E+02   0.432355E+02  -0.104641E+02   0.000000E+00   0.536996E+02  -0.107399E+03
   0.112053E+03   0.385178E+02   0.143337E+01   0.125640E-02   0.999222E+01   0.889599E+01   0.228779E+02   0.160787E+02   0.407840E+02  -0.100918E+02   0.000000E+00   0.508758E+02  -0.101752E+03
   0.112053E+03   0.385178E+02   0.238594E+01   0.125640E-02   0.999222E+01   0.824478E+01   0.218988E+02   0.162021E+02   0.411042E+02  -0.985055E+01   0.000000E+00   0.509548E+02  -0.101910E+03
   0.112053E+03   0.385178E+02   0.204778E+01   0.125640E-02   0.963299E+01   0.937801E+01   0.228680E+02   0.159308E+02   0.409760E+02  -0.997665E+01   0.000000E+00   0.509527E+02  -0.101905E+03
   0.112053E+03   0.385178E+02   0.228888E+01   0.125640E-02   0.954055E+01   0.960004E+01   0.200549E+02   0.165707E+02   0.421691E+02  -0.878820E+01   0.000000E+00   0.509573E+02  -0.101915E+03
   0.112053E+03   0.386163E+02   0.328606E+01   0.125640E-02   0.791820E+01   0.106446E+02   0.204316E+02   0.147451E+02   0.414942E+02  -0.930749E+01   0.000000E+00   0.508017E+02  -0.101603E+03
   0.112053E+03   0.386163E+02   0.252412E+01   0.128849E-02   0.715330E+01   0.100504E+02   0.225847E+02   0.153279E+02   0.398928E+02  -0.108625E+02   0.000000E+00   0.507553E+02  -0.101511E+03
   0.112053E+03   0.375420E+02   0.220776E+01   0.128849E-02   0.811231E+01   0.103789E+02   0.230602E+02   0.146191E+02   0.402995E+02  -0.103761E+02   0.000000E+00   0.506756E+02  -0.101351E+03
   0.112053E+03   0.375420E+02   0.214973E+01   0.128849E-02   0.902146E+01   0.111542E+02   0.200443E+02   0.146192E+02   0.417924E+02  -0.887016E+01   0.000000E+00   0.506626E+02  -0.101325E+03
   0.112053E+03   0.375420E+02   0.190707E+01   0.128849E-02   0.902146E+01   0.110727E+02   0.200798E+02   0.156304E+02   0.416651E+02  -0.893790E+01   0.000000E+00   0.506030E+02  -0.101206E+03
   0.113651E+03   0.375420E+02   0.916569E+00   0.979447E-03   0.938212E+01   0.114246E+02   0.238211E+02   0.116895E+02   0.413877E+02  -0.112657E+02   0.000000E+00   0.526534E+02  -0.105307E+03
   0.113651E+03   0.375420E+02   0.492542E+00   0.979447E-03   0.987547E+01   0.123761E+02   0.238211E+02   0.116895E+02   0.408320E+02  -0.116945E+02   0.000000E+00   0.525265E+02  -0.105053E+03
   0.113651E+03   0.375420E+02   0.651891E+00   0.979447E-03   0.810393E+01   0.133569E+02   0.230071E+02   0.114441E+02   0.402842E+02  -0.122977E+02   0.000000E+00   0.525819E+02  -0.105164E+03
   0.113651E+03   0.375420E+02   0.109597E+01   0.867010E-03   0.703206E+01   0.124984E+02   0.226220E+02   0.130346E+02   0.415242E+02  -0.119288E+02   0.000000E+00   0.534530E+02  -0.106906E+03
   0.113651E+03   0.375420E+02   0.116823E+01   0.867010E-03   0.723161E+01   0.115292E+02   0.226220E+02   0.141782E+02   0.423153E+02  -0.111482E+02   0.000000E+00   0.534635E+02  -0.106927E+03
   0.113651E+03   0.375420E+02   0.227468E+01   0.867010E-03   0.665211E+01   0.109364E+02   0.241836E+02   0.138706E+02   0.408590E+02  -0.124460E+02   0.000000E+00   0.533050E+02  -0.106610E+03
   0.113651E+03   0.357586E+02   0.220291E+01   0.965240E-04   0.655572E+01   0.108430E+02   0.230655E+02   0.137081E+02   0.454692E+02  -0.119845E+02   0.000000E+00   0.574537E+02  -0.114907E+03
   0.113651E+03   0.357586E+02   0.302266E+01   0.965240E-04   0.655572E+01   0.857053E+01   0.235023E+02   0.152568E+02   0.458061E+02  -0.121990E+02   0.000000E+00   0.580051E+02  -0.116010E+03
   0.113651E+03   0.357586E+02   0.347801E+01   0.965240E-04   0.655572E+01   0.101189E+02   0.216659E+02   0.155371E+02   0.464793E+02  -0.111875E+02   0.000000E+00   0.576668E+02  -0.115334E+03
   0.113651E+03   0.357586E+02   0.347801E+01   0.965240E-04   0.641639E+01   0.101189E+02   0.226157E+02   0.150283E+02   0.458567E+02  -0.118102E+02   0.000000E+00   0.576669E+02  -0.115334E+03
   0.113651E+03   0.357586E+02   0.324378E+01   0.965240E-04   0.732548E+01   0.913784E+01   0.213435E+02   0.163186E+02   0.476480E+02  -0.102509E+02   0.000000E+00   0.578989E+02  -0.115798E+03
   0.113651E+03   0.357586E+02   0.372008E+01   0.965240E-04   0.760549E+01   0.877726E+01   0.202905E+02   0.176446E+02   0.473635E+02  -0.993915E+01   0.000000E+00   0.573027E+02  -0.114605E+03
   0.113651E+03   0.357586E+02   0.405762E+01   0.965240E-04   0.873846E+01   0.832024E+01   0.210714E+02   0.171534E+02   0.468420E+02  -0.973337E+01   0.000000E+00   0.565754E+02  -0.113151E+03
   0.113651E+03   0.344023E+02   0.405762E+01   0.965240E-04   0.980789E+01   0.103836E+02   0.195811E+02   0.149390E+02   0.494042E+02  -0.845046E+01   0.000000E+00   0.578547E+02  -0.115709E+03
   0.113651E+03   0.344023E+02   0.405762E+01   0.965240E-04   0.815319E+01   0.111630E+02   0.213324E+02   0.146411E+02   0.481315E+02  -0.972317E+01   0.000000E+00   0.578547E+02  -0.115709E+03
   0.113651E+03   0.344023E+02   0.405762E+01   0.965240E-04   0.815319E+01   0.114726E+02   0.209039E+02   0.149015E+02   0.482024E+02  -0.965216E+01   0.000000E+00   0.578546E+02  -0.115709E+03
   0.113651E+03   0.343108E+02   0.405762E+01   0.965240E-04   0.815319E+01   0.114726E+02   0.214140E+02   0.165690E+02   0.477283E+02  -0.101128E+02   0.000000E+00   0.578411E+02  -0.115682E+03
   0.113651E+03   0.343108E+02   0.426750E+01   0.965240E-04   0.864787E+01   0.115441E+02   0.201244E+02   0.160680E+02   0.485329E+02  -0.928050E+01   0.000000E+00   0.578134E+02  -0.115627E+03
   0.113651E+03   0.343108E+02   0.371197E+01   0.965240E-04   0.906840E+01   0.108471E+02   0.182703E+02   0.142532E+02   0.495454E+02  -0.810996E+01   0.000000E+00   0.576554E+02  -0.115311E+03
   0.113651E+03   0.343108E+02   0.371197E+01   0.965240E-04   0.104556E+02   0.112644E+02   0.162323E+02   0.149648E+02   0.498759E+02  -0.777949E+01   0.000000E+00   0.576554E+02  -0.115311E+03
   0.113651E+03   0.343108E+02   0.409914E+01   0.533940E-03   0.117475E+02   0.104261E+02   0.162323E+02   0.148278E+02   0.478263E+02  -0.795505E+01   0.000000E+00   0.557813E+02  -0.111563E+03
   0.114565E+03   0.343108E+02   0.409914E+01   0.533940E-03   0.116151E+02   0.119561E+02   0.151109E+02   0.148278E+02   0.471874E+02  -0.826500E+01   0.000000E+00   0.554524E+02  -0.110905E+03
   0.114565E+03   0.343108E+02   0.424496E+01   0.533940E-03   0.112554E+02   0.118759E+02   0.155226E+02   0.148278E+02   0.471769E+02  -0.813280E+01   0.000000E+00   0.553097E+02  -0.110619E+03
   0.114565E+03   0.331303E+02   0.367822E+01   0.533940E-03   0.115592E+02   0.119108E+02   0.152208E+02   0.171222E+02   0.470229E+02  -0.859215E+01   0.000000E+00   0.556151E+02  -0.111230E+03
   0.114565E+03   0.331303E+02   0.391841E+01   0.533940E-03   0.115710E+02   0.116074E+02   0.137232E+02   0.176024E+02   0.471340E+02  -0.858801E+01   0.000000E+00   0.557220E+02  -0.111444E+03
