               Km_SU1_Rh_a0   Km_SU2_Rh_a0   Km_SU1_Ai_a0   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.110000E+02   0.110000E+02   0.110000E+02   0.110000E+02   0.110000E+02   0.110000E+02   0.110000E+02   0.110000E+02
Minimum           0.300000E+02   0.300000E+02   0.190000E+02   0.100000E+00   0.797674E-02   0.589543E-02   0.567691E-02   0.994428E-02
Maximum           0.374962E+02   0.398157E+02   0.198557E+02   0.105453E+00   0.136333E-01   0.100000E-01   0.100000E-01   0.124686E-01
Range             0.749620E+01   0.981570E+01   0.855700E+00   0.545300E-02   0.565656E-02   0.410457E-02   0.432309E-02   0.252432E-02
Mean              0.343854E+02   0.376035E+02   0.191388E+02   0.102747E+00   0.105563E-01   0.789060E-02   0.759001E-02   0.111875E-01
Median            0.346502E+02   0.398142E+02   0.190000E+02   0.103694E+00   0.100611E-01   0.807987E-02   0.747084E-02   0.107623E-01
Q10%              0.314318E+02   0.309996E+02   0.190000E+02   0.100000E+00   0.876727E-02   0.624102E-02   0.567691E-02   0.997771E-02
Q25%              0.329523E+02   0.352805E+02   0.190000E+02   0.101209E+00   0.948204E-02   0.663907E-02   0.595584E-02   0.101210E-01
Q75%              0.350804E+02   0.398157E+02   0.192519E+02   0.104583E+00   0.114297E-01   0.916889E-02   0.880635E-02   0.121795E-01
Q90%              0.374962E+02   0.398157E+02   0.195438E+02   0.105109E+00   0.128859E-01   0.963990E-02   0.983832E-02   0.123152E-01
St.Dev.           0.218248E+01   0.380531E+01   0.273073E+00   0.201182E-02   0.157355E-02   0.136367E-02   0.157711E-02   0.104877E-02
Variance          0.476322E+01   0.144804E+02   0.745687E-01   0.404742E-05   0.247607E-05   0.185958E-05   0.248727E-05   0.109992E-05
CV                0.634711E-01   0.101196E+00   0.142680E-01   0.195804E-01   0.149063E+00   0.172822E+00   0.207787E+00   0.937447E-01
Skewness         -0.463621E+00  -0.137767E+01   0.217429E+01  -0.133318E+00   0.469173E+00   0.874571E-01   0.173354E+00   0.265728E-01
Kurtosis          0.597763E+00   0.173901E+00   0.473726E+01  -0.165069E+01   0.365202E+00  -0.125073E+01  -0.127579E+01  -0.214195E+01
MaxPost           0.374962E+02   0.398157E+02   0.198557E+02   0.105453E+00   0.109223E-01   0.666107E-02   0.737420E-02   0.103189E-01
