a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.100000E+03  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.181725E+03
  0.100000E+03  0.000000E+00  0.000000E+00 -0.670349E+01  0.517678E+00  0.100000E-02  0.176793E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.100000E-02  0.180110E+03
  0.100000E+03  0.000000E+00  0.000000E+00  0.666279E+00 -0.488552E+00  0.100000E-02  0.176793E-02  0.100000E-02  0.140658E-02  0.100000E-02  0.106237E-02  0.100000E-02  0.100000E-02  0.179301E+03
  0.100000E+03  0.306562E+01 -0.354920E+01 -0.463975E+01 -0.488552E+00  0.100000E-02  0.176793E-02  0.834965E-03  0.140658E-02  0.222772E-02  0.106237E-02  0.100000E-02  0.100000E-02  0.177367E+03
  0.100000E+03  0.306562E+01 -0.354920E+01 -0.463975E+01  0.103104E+02  0.100000E-02  0.390579E-05  0.107784E-02  0.140658E-02  0.222772E-02  0.106237E-02  0.841188E-03  0.100000E-02  0.178777E+03
  0.100000E+03  0.306562E+01 -0.354920E+01 -0.463975E+01  0.629224E+01  0.100000E-02  0.390579E-05  0.107784E-02  0.140658E-02  0.222772E-02  0.106237E-02  0.841188E-03  0.100000E-02  0.179318E+03
  0.100000E+03  0.223745E+01 -0.354920E+01 -0.463975E+01  0.106602E+02  0.100000E-02  0.390579E-05  0.107784E-02  0.140658E-02  0.222772E-02  0.106237E-02  0.841188E-03  0.100000E-02  0.179056E+03
  0.100000E+03  0.223745E+01 -0.354920E+01  0.146022E+02  0.106602E+02  0.100000E-02  0.390579E-05  0.107784E-02  0.140658E-02  0.421204E-02  0.106237E-02  0.841188E-03  0.100000E-02  0.176334E+03
  0.100000E+03  0.223745E+01 -0.113503E+01  0.146022E+02  0.106602E+02  0.100000E-02  0.390579E-05  0.107784E-02  0.140658E-02  0.421204E-02  0.106237E-02  0.841188E-03  0.100000E-02  0.176467E+03
  0.100000E+03  0.123170E+02 -0.113503E+01  0.146022E+02  0.106602E+02  0.100000E-02  0.390579E-05  0.107784E-02  0.140658E-02  0.295562E-02  0.106237E-02  0.841188E-03  0.122356E-02  0.172444E+03
  0.100000E+03  0.789474E+01  0.825525E+01  0.146022E+02 -0.702466E+00  0.100000E-02  0.390579E-05  0.107784E-02  0.586280E-03  0.295562E-02  0.106237E-02  0.841188E-03  0.122356E-02  0.178529E+03
  0.100000E+03  0.789474E+01  0.825525E+01  0.740308E+01 -0.702466E+00  0.100000E-02  0.667542E-03  0.107784E-02  0.586280E-03  0.134959E-03  0.106237E-02  0.108898E-02  0.122356E-02  0.181271E+03
  0.100000E+03  0.100145E+02  0.825525E+01  0.740308E+01 -0.702466E+00  0.100000E-02  0.667542E-03  0.107784E-02  0.586280E-03  0.134959E-03  0.106237E-02  0.108898E-02  0.122356E-02  0.180842E+03
  0.100000E+03  0.747297E+01  0.410968E-01  0.150004E+02 -0.702466E+00  0.100000E-02  0.141792E-02  0.107784E-02  0.586280E-03  0.134959E-03  0.106237E-02  0.108898E-02  0.122356E-02  0.180062E+03
  0.100000E+03  0.747297E+01  0.410968E-01  0.172963E+02 -0.702466E+00  0.100000E-02  0.141792E-02  0.107784E-02  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.122356E-02  0.177695E+03
  0.100551E+03  0.747297E+01  0.410968E-01  0.136077E+02 -0.916927E+01  0.100000E-02  0.176626E-02  0.951289E-03  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.122356E-02  0.177214E+03
  0.100551E+03  0.747297E+01  0.345530E+01  0.177826E+01 -0.686936E+01  0.100000E-02  0.176626E-02  0.951289E-03  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.122356E-02  0.177737E+03
  0.102016E+03  0.415933E+01  0.954211E+01 -0.314605E+01  0.661342E+01  0.100000E-02  0.176626E-02  0.290347E-02  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.122356E-02  0.174375E+03
  0.101838E+03  0.415933E+01  0.954211E+01  0.461214E+01  0.420861E+01  0.100000E-02  0.176626E-02  0.290347E-02  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.122356E-02  0.174919E+03
  0.101838E+03  0.567015E+00  0.954211E+01  0.110730E+02  0.239958E+01  0.100000E-02  0.176626E-02  0.290347E-02  0.202950E-02  0.134959E-03  0.106237E-02  0.120968E-02  0.122356E-02  0.173788E+03
  0.101838E+03  0.472654E+01  0.964067E+01  0.110730E+02  0.417653E+01  0.100000E-02  0.153797E-02  0.290347E-02  0.202950E-02  0.134959E-03  0.101957E-02  0.120968E-02  0.129634E-02  0.175352E+03
  0.101838E+03  0.670658E+01  0.879684E+01  0.110730E+02  0.417653E+01  0.100000E-02  0.153797E-02  0.236630E-02  0.202950E-02  0.134959E-03  0.101957E-02  0.120968E-02  0.129634E-02  0.176151E+03
  0.101838E+03  0.198174E+01  0.879684E+01 -0.799317E+01  0.301586E+01  0.100000E-02  0.153797E-02  0.236630E-02  0.202950E-02  0.395241E-03  0.101957E-02  0.120968E-02  0.129634E-02  0.175625E+03
  0.101838E+03  0.344295E+01  0.879684E+01 -0.880853E+01  0.325227E+01  0.100000E-02  0.207065E-02  0.236630E-02  0.185997E-02  0.395241E-03  0.101957E-02  0.120968E-02  0.129634E-02  0.174638E+03
  0.101838E+03  0.344295E+01 -0.353899E+00 -0.132197E+02 -0.522826E+01  0.100000E-02  0.207065E-02  0.236630E-02  0.185997E-02  0.395241E-03  0.101957E-02  0.120968E-02  0.129634E-02  0.173861E+03
  0.101838E+03  0.344295E+01 -0.353899E+00 -0.147449E+02 -0.135953E+02  0.593732E-04  0.207065E-02  0.236630E-02  0.185997E-02  0.395241E-03  0.832172E-03  0.120968E-02  0.129634E-02  0.175090E+03
  0.101838E+03  0.875573E+00 -0.353899E+00 -0.586817E+01 -0.612058E+01  0.781972E-03  0.207065E-02  0.336404E-02  0.185997E-02  0.395241E-03  0.832172E-03  0.120968E-02  0.129634E-02  0.173944E+03
  0.101838E+03  0.875573E+00 -0.353899E+00 -0.187573E+02 -0.612058E+01  0.781972E-03  0.104525E-02  0.417503E-02  0.968295E-03  0.395241E-03  0.832172E-03  0.120968E-02  0.129634E-02  0.176140E+03
  0.101838E+03  0.875573E+00 -0.353899E+00 -0.187573E+02 -0.176571E+01  0.781972E-03  0.104525E-02  0.417503E-02  0.968295E-03  0.395241E-03  0.832172E-03  0.115403E-02  0.365061E-03  0.177382E+03
