               a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.997626E+02  -0.340044E+01  -0.295631E+01  -0.199126E+02  -0.226497E+02   0.932203E-05   0.160415E-04   0.696033E-06   0.262179E-04   0.330236E-04   0.135866E-04   0.217131E-05   0.998653E-05
Maximum           0.108768E+03   0.253075E+02   0.435047E+02   0.475713E+02   0.632562E+02   0.346063E-02   0.444542E-02   0.270335E-02   0.483064E-02   0.903986E-02   0.614375E-02   0.820461E-02   0.492581E-02
Range             0.900540E+01   0.287079E+02   0.464610E+02   0.674839E+02   0.859059E+02   0.345131E-02   0.442938E-02   0.270265E-02   0.480442E-02   0.900684E-02   0.613016E-02   0.820244E-02   0.491582E-02
Mean              0.103790E+03   0.928633E+01   0.190150E+02   0.166332E+02   0.232279E+02   0.670437E-03   0.680265E-03   0.779425E-03   0.103532E-02   0.936472E-03   0.105787E-02   0.771701E-03   0.769741E-03
Median            0.103490E+03   0.888491E+01   0.186725E+02   0.155838E+02   0.217967E+02   0.575037E-03   0.589021E-03   0.696557E-03   0.827455E-03   0.743550E-03   0.891116E-03   0.609712E-03   0.491634E-03
Q10%              0.101164E+03   0.195087E+01   0.580034E+01   0.288222E+00   0.556332E+01   0.731453E-04   0.808395E-04   0.945814E-04   0.234754E-03   0.311894E-03   0.141457E-03   0.109700E-03   0.227083E-04
Q25%              0.101999E+03   0.397935E+01   0.110438E+02   0.680058E+01   0.135590E+02   0.317449E-03   0.316022E-03   0.412498E-03   0.497325E-03   0.488699E-03   0.536516E-03   0.333531E-03   0.274284E-03
Q75%              0.105534E+03   0.131993E+02   0.273407E+02   0.262497E+02   0.332874E+02   0.973118E-03   0.868016E-03   0.109892E-02   0.134422E-02   0.109574E-02   0.123010E-02   0.101042E-02   0.107395E-02
Q90%              0.106451E+03   0.181275E+02   0.315316E+02   0.342686E+02   0.411029E+02   0.138835E-02   0.149519E-02   0.164971E-02   0.194745E-02   0.182735E-02   0.222480E-02   0.164078E-02   0.160117E-02
St.Dev.           0.199066E+01   0.603481E+01   0.991624E+01   0.135608E+02   0.146206E+02   0.545132E-03   0.533759E-03   0.529422E-03   0.845150E-03   0.821336E-03   0.938644E-03   0.794710E-03   0.801801E-03
Variance          0.396272E+01   0.364189E+02   0.983318E+02   0.183894E+03   0.213761E+03   0.297169E-06   0.284899E-06   0.280288E-06   0.714279E-06   0.674593E-06   0.881052E-06   0.631564E-06   0.642884E-06
CV                0.191796E-01   0.649859E+00   0.521497E+00   0.815281E+00   0.629439E+00   0.813099E+00   0.784634E+00   0.679247E+00   0.816319E+00   0.877053E+00   0.887299E+00   0.102982E+01   0.104165E+01
Skewness          0.205940E+00   0.289212E+00  -0.297218E-01   0.324553E-01   0.151620E+00   0.154730E+01   0.172811E+01   0.686416E+00   0.194289E+01   0.397339E+01   0.250473E+01   0.368535E+01   0.214034E+01
Kurtosis         -0.879560E+00  -0.603543E+00  -0.916200E+00  -0.325480E+00   0.149140E+00   0.423034E+01   0.627216E+01  -0.272744E-01   0.505363E+01   0.277358E+02   0.848602E+01   0.236462E+02   0.568296E+01
MaxPost           0.101999E+03   0.222798E+01   0.120673E+02   0.428973E+01   0.203435E+02   0.318393E-03   0.457877E-03   0.452711E-04   0.375637E-03   0.491616E-03   0.896462E-03   0.250353E-03   0.274284E-03
