a0_min         a0_flood       a1_flood       a2_flood       a3_flood       a4_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.146590E+03   0.318554E+02  -0.151001E+01   0.119780E+01  -0.158693E+01   0.943268E+00   0.370586E-02   0.104505E+02   0.114028E+02   0.108539E+02   0.110844E+02   0.726633E+02
   0.144775E+03   0.273659E+02  -0.151067E+01   0.128087E+01  -0.181542E+01   0.620233E+00   0.370586E-02   0.101930E+02   0.123554E+02   0.108539E+02   0.113644E+02   0.721518E+02
   0.141169E+03   0.250492E+02  -0.133388E+01   0.158403E+01  -0.211753E+01   0.755248E+00   0.370586E-02   0.113259E+02   0.118984E+02   0.113745E+02   0.110369E+02   0.719245E+02
   0.131568E+03   0.246017E+02  -0.162901E+01   0.115063E+01  -0.182923E+01   0.331763E+00   0.570336E-02   0.113259E+02   0.102405E+02   0.980906E+01   0.110369E+02   0.719234E+02
   0.111124E+03   0.246017E+02  -0.168153E+01   0.925338E+00  -0.196354E+01   0.714895E-01   0.798542E-02   0.133918E+02   0.955987E+01   0.101187E+02   0.107513E+02   0.688033E+02
   0.112859E+03   0.234884E+02  -0.168337E+01   0.140957E+01  -0.180253E+01  -0.856214E-02   0.798542E-02   0.137318E+02   0.106715E+02   0.105071E+02   0.960086E+01   0.686174E+02
   0.117057E+03   0.242760E+02  -0.158443E+01   0.142388E+01  -0.197447E+01  -0.753552E-01   0.798542E-02   0.132145E+02   0.956046E+01   0.102175E+02   0.110305E+02   0.693877E+02
   0.104867E+03   0.281865E+02  -0.137028E+01   0.107047E+01  -0.184798E+01  -0.120294E+00   0.798542E-02   0.136318E+02   0.820173E+01   0.106919E+02   0.104196E+02   0.683506E+02
   0.990945E+02   0.307419E+02  -0.134112E+01   0.132885E+01  -0.201565E+01   0.918382E-01   0.771145E-02   0.136927E+02   0.932064E+01   0.126102E+02   0.914007E+01   0.677962E+02
   0.990945E+02   0.265860E+02  -0.143013E+01   0.162261E+01  -0.180020E+01  -0.220421E+00   0.631973E-02   0.134925E+02   0.791242E+01   0.112577E+02   0.905875E+01   0.677028E+02
   0.109288E+03   0.314185E+02  -0.168194E+01   0.183497E+01  -0.173944E+01  -0.213452E+00   0.571617E-02   0.134925E+02   0.791242E+01   0.103894E+02   0.953913E+01   0.699906E+02
   0.109288E+03   0.300445E+02  -0.186064E+01   0.159656E+01  -0.160826E+01  -0.184339E+00   0.891869E-02   0.126323E+02   0.783842E+01   0.100955E+02   0.879911E+01   0.691493E+02
   0.106645E+03   0.315624E+02  -0.188511E+01   0.138415E+01  -0.135357E+01  -0.333198E+00   0.129122E-01   0.128888E+02   0.898146E+01   0.101513E+02   0.828768E+01   0.674746E+02
   0.110929E+03   0.305621E+02  -0.179668E+01   0.159676E+01  -0.127057E+01  -0.418192E+00   0.105308E-01   0.122492E+02   0.815071E+01   0.111565E+02   0.847488E+01   0.687024E+02
   0.110636E+03   0.333437E+02  -0.154313E+01   0.162290E+01  -0.135737E+01  -0.328485E+00   0.111328E-01   0.122492E+02   0.853282E+01   0.111565E+02   0.758687E+01   0.683384E+02
   0.105071E+03   0.319548E+02  -0.181997E+01   0.129028E+01  -0.132427E+01  -0.143742E+00   0.111328E-01   0.107345E+02   0.944813E+01   0.112887E+02   0.802346E+01   0.688045E+02
   0.123258E+03   0.366312E+02  -0.180213E+01   0.137075E+01  -0.120295E+01   0.641405E-02   0.920491E-02   0.955195E+01   0.946571E+01   0.111208E+02   0.802346E+01   0.710013E+02
   0.130907E+03   0.332619E+02  -0.161452E+01   0.147690E+01  -0.137477E+01   0.504800E-01   0.745033E-02   0.854445E+01   0.884706E+01   0.111208E+02   0.802346E+01   0.715024E+02
   0.133409E+03   0.309299E+02  -0.177480E+01   0.146192E+01  -0.132315E+01   0.103867E+00   0.416211E-02   0.940030E+01   0.860861E+01   0.117256E+02   0.873401E+01   0.726067E+02
   0.133409E+03   0.289720E+02  -0.211258E+01   0.149072E+01  -0.122599E+01   0.337895E+00   0.380406E-02   0.101181E+02   0.956016E+01   0.105152E+02   0.897300E+01   0.731755E+02
   0.139368E+03   0.254596E+02  -0.172438E+01   0.155808E+01  -0.150447E+01  -0.573385E-01   0.149375E-02   0.110853E+02   0.107539E+02   0.822730E+01   0.822507E+01   0.726720E+02
   0.134101E+03   0.297665E+02  -0.176700E+01   0.191308E+01  -0.149700E+01  -0.959957E-02   0.310569E-02   0.111378E+02   0.107539E+02   0.911933E+01   0.767868E+01   0.724843E+02
   0.123321E+03   0.303884E+02  -0.142491E+01   0.170305E+01  -0.115901E+01   0.177074E-01   0.212917E-02   0.111378E+02   0.112013E+02   0.935893E+01   0.784513E+01   0.723665E+02
   0.115150E+03   0.299606E+02  -0.126131E+01   0.176823E+01  -0.122041E+01  -0.334000E-01   0.434120E-02   0.111378E+02   0.970774E+01   0.935893E+01   0.892905E+01   0.723205E+02
   0.122175E+03   0.306685E+02  -0.135357E+01   0.170068E+01  -0.132235E+01   0.307808E+00   0.194643E-02   0.106250E+02   0.949137E+01   0.804814E+01   0.974005E+01   0.729327E+02
   0.129034E+03   0.283073E+02  -0.103834E+01   0.165940E+01  -0.131362E+01   0.468000E+00   0.400866E-02   0.104731E+02   0.914360E+01   0.825440E+01   0.104818E+02   0.727727E+02
   0.137612E+03   0.306305E+02  -0.118577E+01   0.206285E+01  -0.130644E+01   0.143231E+00   0.434279E-02   0.110272E+02   0.884437E+01   0.793890E+01   0.122727E+02   0.719279E+02
   0.129038E+03   0.297419E+02  -0.942003E+00   0.177157E+01  -0.117435E+01  -0.148735E+00   0.434279E-02   0.110935E+02   0.913678E+01   0.817354E+01   0.123920E+02   0.718495E+02
   0.118443E+03   0.304264E+02  -0.930623E+00   0.151117E+01  -0.136387E+01  -0.221949E+00   0.434279E-02   0.110935E+02   0.844285E+01   0.716018E+01   0.121132E+02   0.706600E+02
