               a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   
N                 0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03   0.401000E+03
Minimum           0.993514E+02  -0.471441E+01  -0.130749E+02   0.168767E-04   0.286012E-04   0.145998E-04   0.607888E-03
Maximum           0.103112E+03   0.734766E+01   0.157410E+02   0.161314E-02   0.123046E-02   0.162481E-02   0.390172E-02
Range             0.376060E+01   0.120621E+02   0.288159E+02   0.159626E-02   0.120186E-02   0.161021E-02   0.329383E-02
Mean              0.100985E+03   0.207481E+01   0.194307E+01   0.318568E-03   0.277318E-03   0.269430E-03   0.127467E-02
Median            0.101067E+03   0.205563E+01   0.204562E+01   0.205648E-03   0.210255E-03   0.231805E-03   0.111637E-02
Q10%              0.100039E+03  -0.187973E+00  -0.386497E+01   0.685667E-04   0.444024E-04   0.954171E-04   0.847459E-03
Q25%              0.100327E+03   0.998458E+00  -0.142809E+01   0.115533E-03   0.140998E-03   0.134331E-03   0.920033E-03
Q75%              0.101596E+03   0.326602E+01   0.510267E+01   0.404133E-03   0.330426E-03   0.312425E-03   0.140186E-02
Q90%              0.101959E+03   0.463559E+01   0.784498E+01   0.644897E-03   0.670423E-03   0.556165E-03   0.206314E-02
St.Dev.           0.795117E+00   0.191752E+01   0.461327E+01   0.315210E-03   0.220699E-03   0.227389E-03   0.524548E-03
Variance          0.632210E+00   0.367690E+01   0.212823E+02   0.993576E-07   0.487079E-07   0.517057E-07   0.275151E-06
CV                0.787364E-02   0.924191E+00   0.237422E+01   0.989461E+00   0.795832E+00   0.843962E+00   0.411516E+00
Skewness          0.125591E+00  -0.112095E+00  -0.194969E+00   0.207528E+01   0.135137E+01   0.311305E+01   0.191263E+01
Kurtosis         -0.509835E+00   0.816080E+00   0.114025E+00   0.439154E+01   0.125704E+01   0.145837E+02   0.451553E+01
MaxPost           0.101128E+03   0.237805E+01   0.299342E+01   0.563687E-04   0.444024E-04   0.134331E-03   0.116255E-02
