a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.968635E+02   0.541246E+01   0.878736E-03   0.945041E+01   0.569485E+01   0.156741E+02   0.182192E+02   0.168720E+03
   0.967700E+02   0.618017E+01   0.792733E-03   0.115514E+02   0.951786E+01   0.113154E+02   0.148150E+02   0.171827E+03
   0.988215E+02  -0.224624E+01   0.720383E-03   0.849433E+01   0.129344E+02   0.138127E+02   0.989542E+01   0.171589E+03
   0.990501E+02   0.357644E+00   0.617690E-03   0.729411E+01   0.735603E+01   0.116983E+02   0.142461E+02   0.172394E+03
   0.976358E+02   0.309542E+01   0.617690E-03   0.849861E+01   0.802116E+01   0.179505E+02   0.116407E+02   0.174314E+03
   0.966067E+02  -0.893437E+00   0.617690E-03   0.107023E+02   0.961407E+01   0.131479E+02   0.155243E+02   0.174468E+03
   0.966067E+02   0.613008E+01   0.907874E-03   0.102787E+02   0.124819E+02   0.182385E+02   0.142264E+02   0.170318E+03
   0.976927E+02  -0.189817E+01   0.322075E-03   0.101439E+02   0.782105E+01   0.179693E+02   0.175699E+02   0.171196E+03
   0.976925E+02  -0.117869E+01   0.777115E-03   0.722952E+01   0.715108E+01   0.133442E+02   0.150436E+02   0.173041E+03
   0.967950E+02   0.136410E+01   0.637796E-03   0.836712E+01   0.105949E+02   0.141601E+02   0.166046E+02   0.175010E+03
   0.982152E+02  -0.186860E+01   0.380251E-03   0.105868E+02   0.782593E+01   0.152400E+02   0.132072E+02   0.172787E+03
   0.982152E+02  -0.986970E+00   0.660515E-03   0.120835E+02   0.931239E+01   0.183962E+02   0.185789E+02   0.173731E+03
   0.975908E+02   0.311342E+01   0.857244E-03   0.878682E+01   0.127063E+02   0.171447E+02   0.126412E+02   0.172833E+03
   0.975908E+02   0.110071E+01   0.586690E-03   0.120567E+02   0.100320E+02   0.151022E+02   0.233803E+02   0.172904E+03
   0.976055E+02   0.349309E+01   0.562358E-03   0.107305E+02   0.941953E+01   0.181417E+02   0.145276E+02   0.175026E+03
   0.967810E+02   0.910441E+00   0.645771E-03   0.746892E+01   0.103744E+02   0.149883E+02   0.131327E+02   0.174563E+03
