               a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   
N                 0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03   0.500000E+03
Minimum           0.955500E+02  -0.731620E+01   0.315838E-03   0.538352E+01   0.555531E+01   0.933671E+01   0.805653E+01
Maximum           0.997104E+02   0.829353E+01   0.121916E-02   0.162068E+02   0.204687E+02   0.249212E+02   0.284350E+02
Range             0.416040E+01   0.156097E+02   0.903322E-03   0.108233E+02   0.149134E+02   0.155845E+02   0.203785E+02
Mean              0.977646E+02   0.885044E+00   0.644493E-03   0.102423E+02   0.101077E+02   0.152492E+02   0.151493E+02
Median            0.978181E+02   0.961627E+00   0.636445E-03   0.100210E+02   0.989002E+01   0.146757E+02   0.149575E+02
Q10%              0.968451E+02  -0.249916E+01   0.461195E-03   0.775988E+01   0.766314E+01   0.116380E+02   0.113180E+02
Q25%              0.972569E+02  -0.911795E+00   0.556871E-03   0.878290E+01   0.866369E+01   0.131585E+02   0.129100E+02
Q75%              0.982353E+02   0.255096E+01   0.729229E-03   0.115074E+02   0.114137E+02   0.171364E+02   0.170791E+02
Q90%              0.986187E+02   0.421842E+01   0.831066E-03   0.130619E+02   0.128122E+02   0.193554E+02   0.194703E+02
St.Dev.           0.692648E+00   0.262113E+01   0.140919E-03   0.199768E+01   0.212356E+01   0.293540E+01   0.321827E+01
Variance          0.479761E+00   0.687030E+01   0.198582E-07   0.399074E+01   0.450950E+01   0.861656E+01   0.103572E+02
CV                0.708486E-02   0.296158E+01   0.218651E+00   0.195042E+00   0.210094E+00   0.192496E+00   0.212437E+00
Skewness         -0.252426E-01   0.216314E-01   0.415091E+00   0.409556E+00   0.773934E+00   0.577405E+00   0.555261E+00
Kurtosis         -0.122793E+00   0.136551E+00   0.599413E+00  -0.341557E+00   0.140674E+01   0.356351E-02   0.430478E+00
MaxPost           0.976557E+02   0.176639E+01   0.651330E-03   0.104534E+02   0.103859E+02   0.150413E+02   0.133529E+02
