a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.992668E+02  -0.980973E+00   0.692098E-03   0.980179E+01   0.114761E+02   0.254827E+02   0.144642E+02   0.169741E+03  -0.116396E+02   0.000000E+00   0.181381E+03  -0.362761E+03
   0.981932E+02  -0.980973E+00   0.620750E-03   0.918971E+01   0.113774E+02   0.256516E+02   0.159065E+02   0.171394E+03  -0.118381E+02   0.000000E+00   0.183232E+03  -0.366464E+03
   0.981932E+02  -0.980973E+00   0.620750E-03   0.730280E+01   0.113774E+02   0.256516E+02   0.163975E+02   0.170391E+03  -0.128406E+02   0.000000E+00   0.183232E+03  -0.366463E+03
   0.981932E+02   0.370137E+01   0.620750E-03   0.730280E+01   0.119129E+02   0.240628E+02   0.176325E+02   0.170210E+03  -0.124912E+02   0.000000E+00   0.182701E+03  -0.365402E+03
   0.973580E+02   0.370137E+01   0.620750E-03   0.730280E+01   0.861918E+01   0.244196E+02   0.113764E+02   0.170471E+03  -0.124426E+02   0.000000E+00   0.182914E+03  -0.365827E+03
   0.973580E+02   0.370137E+01   0.646397E-03   0.730280E+01   0.861918E+01   0.214274E+02   0.113764E+02   0.171941E+03  -0.109329E+02   0.000000E+00   0.182874E+03  -0.365748E+03
   0.973580E+02   0.351267E+01   0.646397E-03   0.781564E+01   0.109159E+02   0.173173E+02   0.114023E+02   0.173934E+03  -0.902316E+01   0.000000E+00   0.182957E+03  -0.365914E+03
   0.973580E+02   0.213571E+01   0.646397E-03   0.781564E+01   0.125344E+02   0.170309E+02   0.114023E+02   0.173746E+03  -0.963017E+01   0.000000E+00   0.183376E+03  -0.366752E+03
   0.979624E+02  -0.194369E+00   0.625340E-03   0.779660E+01   0.138939E+02   0.170309E+02   0.114023E+02   0.173072E+03  -0.104599E+02   0.000000E+00   0.183532E+03  -0.367064E+03
   0.979624E+02  -0.194369E+00   0.625340E-03   0.779660E+01   0.140125E+02   0.186766E+02   0.138491E+02   0.173167E+03  -0.103646E+02   0.000000E+00   0.183532E+03  -0.367063E+03
   0.979624E+02  -0.920558E+00   0.625340E-03   0.793373E+01   0.124443E+02   0.202258E+02   0.140986E+02   0.173453E+03  -0.991570E+01   0.000000E+00   0.183369E+03  -0.366737E+03
   0.979624E+02  -0.920558E+00   0.625340E-03   0.131600E+02   0.108437E+02   0.213369E+02   0.179203E+02   0.172251E+03  -0.111174E+02   0.000000E+00   0.183368E+03  -0.366737E+03
   0.979624E+02  -0.920558E+00   0.700576E-03   0.809271E+01   0.820047E+01   0.213369E+02   0.179203E+02   0.172698E+03  -0.103791E+02   0.000000E+00   0.183077E+03  -0.366154E+03
   0.979624E+02  -0.668649E+00   0.700576E-03   0.842112E+01   0.825281E+01   0.195756E+02   0.152310E+02   0.174243E+03  -0.889591E+01   0.000000E+00   0.183139E+03  -0.366278E+03
   0.979624E+02  -0.668649E+00   0.700576E-03   0.842112E+01   0.825281E+01   0.186195E+02   0.152310E+02   0.174595E+03  -0.854389E+01   0.000000E+00   0.183139E+03  -0.366278E+03
   0.979624E+02  -0.668649E+00   0.700576E-03   0.842112E+01   0.825281E+01   0.182749E+02   0.153438E+02   0.174700E+03  -0.843950E+01   0.000000E+00   0.183140E+03  -0.366279E+03
   0.979624E+02   0.226950E+01   0.700576E-03   0.748720E+01   0.965337E+01   0.182749E+02   0.145896E+02   0.174497E+03  -0.866382E+01   0.000000E+00   0.183161E+03  -0.366322E+03
   0.979624E+02   0.226950E+01   0.700576E-03   0.748720E+01   0.965337E+01   0.132757E+02   0.216922E+02   0.173030E+03  -0.101313E+02   0.000000E+00   0.183161E+03  -0.366323E+03
   0.979624E+02   0.226950E+01   0.700576E-03   0.748720E+01   0.965337E+01   0.136909E+02   0.187144E+02   0.174318E+03  -0.884301E+01   0.000000E+00   0.183161E+03  -0.366322E+03
   0.979624E+02   0.226950E+01   0.792402E-03   0.600117E+01   0.965337E+01   0.151562E+02   0.162668E+02   0.172328E+03  -0.101632E+02   0.000000E+00   0.182491E+03  -0.364982E+03
   0.979624E+02   0.226950E+01   0.792402E-03   0.600117E+01   0.937702E+01   0.151562E+02   0.162668E+02   0.172321E+03  -0.101703E+02   0.000000E+00   0.182491E+03  -0.364983E+03
   0.979624E+02   0.226950E+01   0.792402E-03   0.105841E+02   0.937702E+01   0.151562E+02   0.162668E+02   0.174973E+03  -0.751866E+01   0.000000E+00   0.182492E+03  -0.364983E+03
   0.979624E+02  -0.740666E+00   0.732112E-03   0.105841E+02   0.130112E+02   0.174375E+02   0.162668E+02   0.173837E+03  -0.908286E+01   0.000000E+00   0.182920E+03  -0.365840E+03
   0.979624E+02  -0.740666E+00   0.732112E-03   0.122895E+02   0.130112E+02   0.174375E+02   0.162668E+02   0.173197E+03  -0.972325E+01   0.000000E+00   0.182920E+03  -0.365840E+03
   0.979624E+02  -0.740666E+00   0.732112E-03   0.124725E+02   0.137297E+02   0.128806E+02   0.162668E+02   0.172955E+03  -0.996426E+01   0.000000E+00   0.182919E+03  -0.365839E+03
   0.979624E+02  -0.116626E+01   0.732112E-03   0.128455E+02   0.129330E+02   0.128806E+02   0.125901E+02   0.173086E+03  -0.972357E+01   0.000000E+00   0.182810E+03  -0.365619E+03
   0.979624E+02  -0.116626E+01   0.732112E-03   0.128455E+02   0.129330E+02   0.130443E+02   0.200300E+02   0.171993E+03  -0.108163E+02   0.000000E+00   0.182809E+03  -0.365619E+03
   0.979624E+02  -0.116626E+01   0.732112E-03   0.101803E+02   0.129330E+02   0.130443E+02   0.156720E+02   0.174272E+03  -0.853729E+01   0.000000E+00   0.182809E+03  -0.365619E+03
