Heures;X;Y;Z
09:36:16;886969.78;6559709.04;249.77
09:36:19;886971.48;6559711.41;249.77
09:36:21;886973.08;6559713.40;249.77
09:36:24;886976.97;6559716.81;249.77
09:36:26;886980.26;6559718.57;249.77
09:36:29;886985.19;6559720.09;249.76
09:36:31;886988.53;6559720.70;249.76
09:36:34;886993.59;6559721.16;249.76
09:36:36;886996.80;6559720.89;249.76
09:36:39;887001.21;6559719.66;249.76
09:36:41;887003.78;6559718.40;249.75
09:36:44;887007.22;6559715.94;249.75
09:36:46;887009.17;6559713.91;249.75
09:36:49;887011.70;6559710.58;249.76
09:36:51;887013.18;6559708.14;249.76
09:36:54;887015.14;6559703.78;249.75
09:36:56;887016.06;6559700.24;249.75
09:36:59;887016.93;6559693.84;249.75
09:37:01;887016.89;6559689.30;249.75
09:37:04;887015.60;6559682.58;249.75
09:37:06;887014.10;6559678.58;249.75
09:37:09;887011.58;6559672.29;249.75
09:37:11;887009.66;6559668.09;249.76
09:37:14;887006.55;6559661.55;249.75
09:37:16;887004.37;6559656.87;249.75
09:37:19;887000.94;6559649.77;249.75
09:37:21;886998.74;6559645.09;249.75
09:37:24;886995.40;6559638.22;249.74
09:37:26;886993.84;6559634.20;249.74
09:37:29;886992.18;6559627.11;249.74
09:37:31;886990.73;6559622.25;249.74
09:37:34;886987.85;6559614.72;249.75
09:37:36;886985.83;6559609.61;249.75
09:37:39;886982.99;6559601.89;249.75
09:37:41;886981.16;6559596.75;249.74
09:37:44;886978.57;6559589.17;249.74
09:37:46;886976.87;6559584.00;249.74
09:37:49;886974.05;6559577.07;249.74
09:37:51;886972.20;6559572.16;249.74
09:37:54;886970.12;6559564.03;249.74
09:37:56;886968.68;6559558.00;249.74
09:37:59;886966.48;6559549.15;249.74
09:38:01;886965.42;6559543.86;249.73
09:38:04;886963.86;6559535.73;249.73
09:38:06;886962.46;6559530.75;249.73
09:38:09;886959.98;6559522.86;249.73
09:38:11;886958.16;6559517.55;249.73
09:38:14;886955.44;6559509.41;249.73
09:38:16;886953.34;6559504.00;249.73
09:38:17;886952.78;6559502.65;249.72
09:38:19;886950.17;6559496.45;249.72
09:38:21;886948.28;6559491.92;249.71
09:38:24;886945.32;6559485.25;249.71
09:38:26;886942.90;6559480.43;249.71
09:38:29;886939.44;6559472.81;249.70
09:38:31;886936.78;6559467.83;249.70
09:38:34;886932.54;6559460.12;249.70
09:38:36;886929.39;6559455.24;249.69
09:38:39;886924.68;6559448.11;249.69
09:38:41;886921.73;6559443.13;249.69
09:38:44;886917.42;6559435.57;249.69
09:38:46;886914.56;6559430.39;249.69
09:38:49;886910.25;6559422.61;249.69
09:38:51;886907.46;6559417.47;249.69
09:38:54;886902.96;6559409.62;249.70
09:38:56;886900.06;6559404.84;249.70
09:38:59;886895.29;6559397.55;249.71
09:39:01;886892.16;6559392.88;249.71
09:39:04;886887.49;6559385.71;249.71
09:39:06;886884.35;6559381.01;249.71
09:39:09;886879.32;6559373.44;249.71
09:39:11;886876.08;6559368.19;249.71
09:39:14;886871.35;6559359.94;249.71
09:39:16;886868.20;6559354.54;249.71
09:39:19;886863.56;6559346.09;249.71
09:39:21;886860.27;6559340.50;249.71
09:39:24;886855.02;6559332.47;249.71
09:39:26;886851.60;6559326.95;249.71
09:39:29;886846.42;6559318.57;249.71
09:39:31;886842.84;6559313.11;249.71
09:39:34;886837.44;6559304.94;249.71
09:39:36;886833.89;6559299.66;249.71
09:39:39;886829.04;6559291.83;249.71
09:39:41;886825.95;6559286.63;249.71
09:39:44;886821.19;6559278.53;249.71
09:39:46;886817.86;6559273.19;249.71
09:39:49;886812.86;6559265.07;249.71
09:39:51;886809.47;6559259.81;249.71
09:39:54;886804.29;6559252.04;249.71
09:39:56;886800.58;6559247.07;249.71
09:39:59;886794.84;6559239.59;249.71
09:40:01;886791.15;6559234.66;249.71
09:40:04;886785.90;6559226.89;249.70
09:40:06;886782.90;6559221.49;249.70
09:40:09;886778.60;6559213.01;249.70
09:40:11;886775.62;6559207.23;249.70
09:40:14;886770.61;6559199.10;249.70
09:40:16;886766.97;6559194.02;249.70
09:40:17;886766.04;6559192.77;249.70
09:40:19;886761.34;6559186.43;249.70
09:40:21;886757.59;6559181.55;249.70
09:40:24;886751.90;6559174.05;249.70
09:40:26;886747.74;6559169.03;249.70
09:40:29;886740.83;6559162.27;249.70
09:40:31;886735.91;6559158.19;249.70
09:40:34;886728.69;6559152.10;249.70
09:40:36;886723.82;6559147.68;249.70
09:40:39;886716.59;6559141.54;249.70
09:40:41;886711.93;6559137.32;249.70
09:40:44;886704.89;6559130.79;249.70
09:40:46;886700.19;6559127.03;249.70
09:40:49;886694.08;6559122.17;249.69
09:40:51;886690.26;6559119.08;249.69
09:40:54;886684.84;6559114.68;249.68
09:40:56;886681.44;6559111.88;249.68
09:40:59;886676.14;6559107.32;249.68
09:41:01;886672.53;6559104.13;249.67
09:41:04;886666.93;6559099.16;249.67
09:41:06;886663.05;6559096.03;249.66
09:41:09;886656.89;6559091.20;249.66
09:41:11;886652.49;6559087.73;249.66
09:41:14;886645.85;6559082.52;249.65
09:41:16;886641.35;6559079.04;249.64
09:41:19;886634.23;6559073.50;249.63
09:41:21;886629.14;6559069.75;249.63
09:41:24;886621.32;6559064.40;249.62
09:41:26;886616.36;6559061.01;249.62
09:41:29;886609.17;6559056.16;249.62
09:41:31;886604.06;6559052.93;249.62
09:41:34;886596.05;6559048.07;249.62
09:41:36;886590.89;6559044.81;249.62
09:41:39;886582.86;6559040.28;249.62
09:41:41;886577.34;6559037.40;249.62
09:41:44;886568.64;6559033.43;249.62
09:41:46;886562.81;6559030.71;249.61
09:41:49;886553.98;6559026.61;249.61
09:41:51;886548.14;6559023.97;249.61
09:41:54;886539.19;6559019.85;249.61
09:41:56;886533.14;6559017.18;249.61
09:41:59;886524.01;6559013.12;249.60
09:42:01;886518.00;6559010.41;249.60
09:42:04;886509.67;6559006.62;249.60
09:42:06;886504.80;6559004.04;249.60
09:42:09;886498.14;6559000.40;249.60
09:42:11;886493.83;6558998.01;249.60
09:42:14;886487.31;6558994.77;249.61
09:42:16;886482.82;6558992.49;249.61
09:42:17;886481.25;6558991.69;249.59
09:42:19;886475.98;6558989.24;249.59
09:42:21;886470.44;6558987.29;249.59
09:42:24;886461.54;6558984.30;249.59
09:42:26;886455.67;6558982.33;249.58
09:42:29;886447.39;6558979.49;249.58
09:42:31;886441.84;6558977.73;249.58
09:42:34;886432.79;6558975.32;249.57
09:42:36;886426.61;6558973.68;249.57
09:42:39;886417.06;6558971.40;249.55
09:42:41;886410.46;6558969.99;249.55
09:42:44;886400.34;6558967.42;249.54
09:42:46;886393.62;6558965.59;249.54
09:42:49;886383.36;6558962.73;249.53
09:42:51;886376.20;6558961.14;249.52
09:42:54;886365.23;6558958.98;249.50
09:42:56;886357.90;6558957.60;249.49
09:42:59;886347.59;6558955.71;249.48
09:43:01;886340.66;6558954.31;249.47
09:43:04;886329.32;6558952.93;249.46
09:43:06;886322.19;6558952.38;249.45
09:43:09;886310.91;6558951.38;249.45
09:43:11;886303.35;6558950.40;249.44
09:43:14;886292.08;6558949.38;249.43
09:43:16;886284.57;6558948.88;249.43
09:43:19;886273.24;6558948.35;249.43
09:43:21;886265.97;6558948.15;249.43
09:43:24;886255.33;6558947.50;249.42
09:43:26;886248.30;6558946.88;249.42
09:43:29;886237.84;6558945.68;249.41
09:43:31;886230.82;6558944.57;249.41
09:43:34;886220.57;6558942.68;249.40
09:43:36;886213.68;6558941.32;249.40
09:43:39;886203.23;6558939.26;249.40
09:43:41;886196.35;6558937.84;249.39
09:43:44;886186.20;6558935.62;249.39
09:43:46;886179.46;6558934.14;249.39
09:43:49;886169.56;6558931.75;249.39
09:43:51;886162.71;6558930.03;249.39
09:43:54;886152.63;6558927.40;249.39
09:43:56;886145.97;6558925.49;249.39
09:43:59;886135.81;6558923.34;249.39
09:44:01;886129.35;6558921.90;249.39
09:44:04;886119.90;6558918.63;249.39
09:44:06;886113.71;6558915.93;249.38
09:44:09;886104.23;6558911.72;249.39
09:44:11;886097.92;6558909.00;249.39
09:44:14;886089.44;6558904.25;249.39
09:44:16;886084.01;6558900.28;249.39
09:44:17;886082.11;6558898.79;249.40
09:44:19;886075.83;6558893.85;249.40
09:44:21;886070.02;6558889.57;249.40
09:44:24;886061.92;6558883.75;249.40
09:44:26;886056.44;6558879.92;249.40
09:44:29;886048.90;6558873.44;249.40
09:44:31;886044.56;6558868.30;249.40
09:44:34;886038.74;6558860.23;249.40
09:44:36;886034.75;6558854.85;249.40
09:44:39;886028.97;6558846.91;249.40
09:44:41;886024.88;6558841.27;249.40
09:44:44;886019.58;6558833.66;249.40
09:44:46;886016.54;6558828.07;249.40
09:44:49;886012.52;6558819.05;249.39
09:44:51;886009.67;6558813.19;249.39
09:44:54;886005.17;6558804.90;249.39
09:44:56;886002.27;6558799.19;249.39
09:44:59;885998.29;6558790.38;249.38
09:45:01;885995.62;6558784.40;249.38
09:45:04;885991.47;6558775.64;249.38
09:45:06;885988.91;6558769.87;249.38
09:45:09;885985.87;6558760.94;249.38
09:45:11;885983.97;6558754.89;249.38
09:45:14;885981.10;6558745.89;249.38
09:45:16;885979.57;6558739.64;249.39
09:45:19;885977.00;6558730.30;249.39
09:45:21;885974.98;6558724.28;249.39
09:45:24;885972.19;6558715.22;249.39
09:45:26;885970.66;6558709.08;249.39
09:45:29;885968.76;6558699.76;249.38
09:45:31;885967.64;6558693.61;249.38
09:45:34;885966.45;6558684.34;249.38
09:45:36;885965.59;6558677.89;249.38
09:45:39;885963.75;6558668.39;249.38
09:45:41;885962.51;6558662.10;249.37
09:45:44;885960.94;6558652.36;249.37
09:45:46;885959.77;6558645.87;249.37
09:45:49;885958.10;6558636.16;249.37
09:45:51;885957.35;6558629.62;249.36
09:45:54;885956.63;6558619.65;249.36
09:45:56;885956.17;6558612.88;249.36
09:45:59;885955.60;6558602.47;249.35
09:46:01;885955.43;6558595.48;249.35
09:46:04;885955.50;6558585.00;249.34
09:46:06;885955.90;6558578.10;249.34
09:46:09;885956.93;6558567.61;249.34
09:46:11;885957.77;6558560.71;249.34
09:46:14;885959.14;6558550.41;249.34
09:46:16;885960.48;6558543.61;249.34
09:46:17;885961.12;6558540.92;249.36
09:46:19;885962.99;6558533.52;249.35
09:46:21;885964.54;6558526.67;249.35
09:46:24;885966.47;6558516.40;249.34
09:46:26;885967.76;6558509.52;249.34
09:46:29;885969.72;6558499.16;249.33
09:46:31;885970.99;6558492.28;249.32
09:46:34;885973.89;6558481.79;249.31
09:46:36;885975.92;6558474.63;249.30
09:46:39;885978.78;6558463.65;249.29
09:46:41;885980.59;6558456.21;249.29
09:46:44;885983.39;6558445.01;249.28
09:46:46;885985.14;6558437.46;249.27
09:46:49;885987.49;6558426.09;249.27
09:46:51;885989.02;6558418.50;249.26
09:46:54;885991.18;6558407.20;249.25
09:46:56;885992.57;6558399.85;249.24
09:46:59;885994.45;6558388.83;249.23
09:47:01;885996.13;6558381.61;249.23
09:47:04;885999.44;6558371.02;249.22
09:47:06;886001.44;6558363.82;249.22
09:47:09;886003.66;6558352.98;249.21
09:47:11;886004.93;6558345.81;249.21
09:47:14;886006.88;6558335.22;249.21
09:47:16;886008.19;6558328.16;249.22
09:47:19;886010.15;6558317.62;249.22
09:47:21;886011.14;6558310.58;249.23
09:47:24;886011.88;6558300.01;249.23
09:47:26;886011.94;6558292.97;249.23
09:47:29;886011.83;6558282.79;249.23
09:47:31;886012.04;6558275.95;249.23
09:47:34;886012.56;6558265.61;249.24
09:47:36;886012.64;6558258.63;249.24
09:47:39;886012.26;6558248.23;249.24
09:47:41;886012.00;6558241.62;249.24
09:47:44;886012.49;6558231.48;249.24
09:47:46;886012.53;6558224.71;249.24
09:47:49;886013.24;6558214.77;249.24
09:47:51;886014.06;6558207.98;249.24
09:47:54;886014.89;6558197.77;249.24
09:47:56;886015.42;6558191.00;249.24
09:47:59;886016.08;6558180.89;249.24
09:48:01;886016.38;6558174.16;249.24
09:48:04;886016.56;6558164.21;249.24
09:48:06;886016.62;6558157.71;249.23
09:48:09;886017.30;6558147.89;249.23
09:48:11;886017.88;6558141.42;249.23
09:48:14;886018.96;6558131.72;249.23
09:48:16;886019.58;6558125.16;249.23
09:48:17;886019.82;6558122.20;249.23
09:48:19;886020.27;6558115.32;249.24
09:48:21;886020.61;6558108.70;249.24
09:48:24;886020.71;6558098.77;249.24
09:48:26;886020.62;6558092.16;249.24
