Date;Heure;Ain;Lagnieu
24/03/2009;00:00:00;89,202;320,083
24/03/2009;01:00:00;82,961;287,922
24/03/2009;02:00:00;74,195;276,543
24/03/2009;03:00:00;66,657;275,279
24/03/2009;04:00:00;60,84;279,078
24/03/2009;05:00:00;61,148;297,754
24/03/2009;06:00:00;71,763;314,126
24/03/2009;07:00:00;88,881;346,208
24/03/2009;08:00:00;98,604;369,791
24/03/2009;09:00:00;101,311;402,924
24/03/2009;10:00:00;102,781;448,712
24/03/2009;11:00:00;102,203;492,263
24/03/2009;12:00:00;106,205;511,526
24/03/2009;13:00:00;108,852;518,196
24/03/2009;14:00:00;116,294;521,983
24/03/2009;15:00:00;125,63;521,14
24/03/2009;16:00:00;132,377;520,689
24/03/2009;17:00:00;139,42;517,674
24/03/2009;18:00:00;142,734;518,695
24/03/2009;19:00:00;145,615;527,112
24/03/2009;20:00:00;151,8;539,993
24/03/2009;21:00:00;154,724;504,311
24/03/2009;22:00:00;155,223;452,645
24/03/2009;23:00:00;154,969;401,174
