IDTRANS;DIST;pk;ALTI_MOY
1938;9732,5;52215;192,0652
1939;9737,5;52210;192,0631
1941;9747,5;52200;192,0611
1942;9752,5;52195;192,0683
1943;9757,5;52190;192,0586
1945;9767,5;52180;192,0540
1946;9772,5;52175;192,0447
1947;9777,5;52170;192,0529
1949;9787,5;52160;192,0525
1950;9792,5;52155;192,0408
1951;9797,5;52150;192,0432
1952;9802,5;52145;192,0511
1954;9812,5;52135;192,0477
1955;9817,5;52130;192,0570
1956;9822,5;52125;192,0488
1958;9832,5;52115;192,0382
1959;9837,5;52110;192,0537
1960;9842,5;52105;192,0453
1961;9847,5;52100;192,0431
1963;9857,5;52090;192,0352
1964;9862,5;52085;192,0461
1965;9867,5;52080;192,0428
1966;9872,5;52075;192,0368
1968;9882,5;52065;192,0446
1969;9887,5;52060;192,0488
1970;9892,5;52055;192,0427
1971;9897,5;52050;192,0365
1973;9907,5;52040;192,0403
1974;9912,5;52035;192,0285
1975;9917,5;52030;192,0445
1977;9927,5;52020;192,0216
1978;9932,5;52015;192,0183
1979;9937,5;52010;192,0399
1981;9947,5;52000;192,0150
1982;9952,5;51995;192,0239
1983;9957,5;51990;192,0217
1985;9967,5;51980;192,0141
1986;9972,5;51975;192,0022
1987;9977,5;51970;192,0064
1988;9982,5;51965;192,0041
1989;9987,5;51960;191,9998
1991;9997,5;51950;191,9969
1992;10002,5;51945;191,9974
1993;10007,5;51940;192,0010
1994;10012,5;51935;191,9818
1996;10022,5;51925;191,9691
1997;10027,5;51920;191,9716
1999;10037,5;51910;191,9721
2000;10042,5;51905;191,9616
2002;10052,5;51895;191,9577
2003;10057,5;51890;191,9573
2004;10062,5;51885;191,9492
2006;10072,5;51875;191,9422
2007;10077,5;51870;191,9419
2009;10087,5;51860;191,9483
2010;10092,5;51855;191,9413
2012;10102,5;51845;191,9379
2013;10107,5;51840;191,9320
2014;10112,5;51835;191,9286
2016;10122,5;51825;191,9224
2017;10127,5;51820;191,9076
2019;10137,5;51810;191,9045
2020;10142,5;51805;191,9282
2022;10152,5;51795;191,9241
2023;10157,5;51790;191,9104
2024;10162,5;51785;191,9015
2026;10172,5;51775;191,9089
2027;10177,5;51770;191,9008
2028;10182,5;51765;191,8997
2029;10187,5;51760;191,9009
2031;10197,5;51750;191,8848
2032;10202,5;51745;191,8893
2033;10207,5;51740;191,8733
2035;10217,5;51730;191,8854
2036;10222,5;51725;191,8657
2038;10232,5;51715;191,8780
2039;10237,5;51710;191,8752
2040;10242,5;51705;191,8734
2042;10252,5;51695;191,8565
2043;10257,5;51690;191,8555
2045;10267,5;51680;191,8513
2046;10272,5;51675;191,8555
2047;10277,5;51670;191,8564
2049;10287,5;51660;191,8634
2050;10292,5;51655;191,8506
2052;10302,5;51645;191,8355
2053;10307,5;51640;191,8491
2055;10317,5;51630;191,8429
2056;10322,5;51625;191,8284
2058;10332,5;51615;191,8427
2059;10337,5;51610;191,8441
2061;10347,5;51600;191,8395
2063;10357,5;51590;191,8176
2064;10362,5;51585;191,8308
2066;10372,5;51575;191,8159
2067;10377,5;51570;191,8203
2069;10387,5;51560;191,8132
2070;10392,5;51555;191,8079
2072;10402,5;51545;191,8278
2073;10407,5;51540;191,8194
2075;10417,5;51530;191,8052
2076;10422,5;51525;191,8112
2077;10427,5;51520;191,8129
2079;10437,5;51510;191,8111
2080;10442,5;51505;191,8047
2081;10447,5;51500;191,7918
2083;10457,5;51490;191,7934
2084;10462,5;51485;191,7951
2085;10467,5;51480;191,7828
2087;10477,5;51470;191,7918
2088;10482,5;51465;191,7955
2089;10487,5;51460;191,7755
2091;10497,5;51450;191,7917
2092;10502,5;51445;191,7817
2094;10512,5;51435;191,7757
2095;10517,5;51430;191,7781
2096;10522,5;51425;191,7696
2098;10532,5;51415;191,7879
2099;10537,5;51410;191,7724
2100;10542,5;51405;191,7562
2102;10552,5;51395;191,7671
2103;10557,5;51390;191,7600
2105;10567,5;51380;191,7772
2106;10572,5;51375;191,7594
2108;10582,5;51365;191,7594
2109;10587,5;51360;191,7602
2111;10597,5;51350;191,7524
2112;10602,5;51345;191,7620
2114;10612,5;51335;191,7455
2115;10617,5;51330;191,7536
2116;10622,5;51325;191,7395
2118;10632,5;51315;191,7330
2119;10637,5;51310;191,7315
2120;10642,5;51305;191,7323
2122;10652,5;51295;191,7414
2123;10657,5;51290;191,7269
2124;10662,5;51285;191,7196
2125;10667,5;51280;191,7109
2127;10677,5;51270;191,7155
2128;10682,5;51265;191,7023
2129;10687,5;51260;191,7103
2130;10692,5;51255;191,6978
2131;10697,5;51250;191,7062
2132;10702,5;51245;191,6799
2133;10707,5;51240;191,6952
2134;10712,5;51235;191,7045
2135;10717,5;51230;191,6918
2136;10722,5;51225;191,6989
2137;10727,5;51220;191,6967
2138;10732,5;51215;191,6986
2139;10737,5;51210;191,7067
2140;10742,5;51205;191,6959
2141;10747,5;51200;191,6967
