a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.102412E+03  -0.535664E+00   0.572065E+01   0.447899E+01   0.105705E+02   0.365085E-03   0.428401E-03   0.514707E-04   0.907238E-03   0.191014E+03
   0.102150E+03  -0.535664E+00   0.864395E+01   0.127337E+01   0.335674E+01   0.365085E-03   0.428401E-03   0.208356E-03   0.907238E-03   0.191091E+03
   0.101041E+03  -0.535664E+00   0.684546E+00   0.381427E+01   0.176353E+02   0.365085E-03   0.428401E-03   0.208356E-03   0.907238E-03   0.190391E+03
   0.101420E+03  -0.535664E+00   0.684546E+00  -0.746650E+01   0.101523E+02   0.365085E-03   0.428401E-03   0.208356E-03   0.907238E-03   0.191780E+03
   0.101420E+03  -0.535664E+00   0.684546E+00  -0.746650E+01   0.120637E+01   0.526153E-03   0.428401E-03   0.208356E-03   0.907238E-03   0.191448E+03
   0.101420E+03  -0.535664E+00   0.590792E+01  -0.925767E+00   0.559573E+01   0.526153E-03   0.428401E-03   0.450092E-03   0.907238E-03   0.190282E+03
   0.101420E+03  -0.535664E+00   0.970227E+01   0.153690E+01   0.698256E+01   0.526153E-03   0.428401E-03   0.450092E-03   0.810236E-03   0.189466E+03
   0.101420E+03  -0.133375E+00   0.848250E+01  -0.103061E+02   0.689574E+01   0.526153E-03   0.428401E-03   0.450092E-03   0.810236E-03   0.189015E+03
   0.101420E+03  -0.133375E+00   0.150116E+01  -0.103061E+02   0.106472E+02   0.746991E-03   0.428401E-03   0.450092E-03   0.214702E-02   0.186432E+03
   0.101420E+03  -0.133375E+00  -0.856853E+01  -0.108387E+02  -0.434859E+01   0.746991E-03   0.428401E-03   0.391025E-03   0.208362E-02   0.186724E+03
   0.101420E+03  -0.133375E+00  -0.535256E+01  -0.108387E+02   0.198800E+01   0.746991E-03   0.257009E-03   0.391025E-03   0.239421E-02   0.187018E+03
   0.101420E+03  -0.133375E+00   0.484760E+01  -0.224933E+01   0.166057E+02   0.972631E-03   0.257009E-03   0.391025E-03   0.239421E-02   0.186080E+03
   0.101420E+03  -0.133375E+00   0.340819E+01  -0.224933E+01   0.166057E+02   0.528373E-03   0.233213E-03   0.391025E-03   0.197717E-02   0.188978E+03
   0.101813E+03   0.237060E+00   0.107153E+02  -0.224933E+01   0.167510E+02   0.528373E-03   0.233213E-03   0.391025E-03   0.197717E-02   0.188739E+03
   0.101813E+03   0.237060E+00   0.107153E+02   0.298538E+01   0.711255E+01   0.610743E-03   0.233213E-03   0.391025E-03   0.197717E-02   0.188239E+03
   0.101387E+03   0.608684E+00   0.107153E+02   0.245948E+01   0.963666E+01   0.610743E-03   0.233213E-03   0.391025E-03   0.197717E-02   0.187786E+03
