Km_a0          Km_a1          Km_a2          Km_a3          Km_a4          Km_a5          Km_a6          Km_a7          Km_a8          Km_a9          Km_a10         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.310304E+02   0.112922E+02   0.697750E+01   0.148049E+02   0.198404E+02   0.711099E+01   0.278038E-01  -0.822354E+00  -0.878031E+01  -0.383954E+02  -0.120273E+02   0.146902E-02   0.197706E-01   0.162716E-01   0.722159E-02   0.175996E-01   0.297717E+03
   0.321114E+02   0.118488E+02   0.584735E+01   0.161403E+02   0.226251E+02   0.734017E+01  -0.702326E+01  -0.492857E+01  -0.893176E+01  -0.361220E+02  -0.105030E+02   0.422737E-02   0.667335E-03   0.167317E-01   0.264597E-01   0.144297E-01   0.292664E+03
   0.320628E+02   0.127904E+02   0.388015E+01   0.155141E+02   0.228653E+02   0.665430E+01  -0.286198E+01  -0.463092E+01  -0.106220E+02  -0.389365E+02  -0.151323E+02   0.524352E-02   0.153179E-01   0.182222E-02   0.528626E-02   0.767950E-02   0.296397E+03
   0.332787E+02   0.119318E+02   0.462686E+01   0.149334E+02   0.223287E+02   0.610347E+01  -0.286198E+01  -0.459848E+01  -0.113208E+02  -0.428809E+02  -0.138762E+02   0.444850E-02   0.262722E-02   0.130275E-01   0.356389E-03   0.129982E-01   0.302947E+03
   0.334901E+02   0.103239E+02   0.691934E+00   0.153190E+02   0.215897E+02   0.820422E+01  -0.173582E+01   0.208024E+01  -0.105809E+02  -0.405371E+02  -0.108897E+02   0.172848E-02   0.630325E-03   0.253393E-01   0.428108E-02   0.882929E-03   0.299417E+03
   0.327098E+02   0.999815E+01   0.232167E+01   0.177148E+02   0.216451E+02   0.684516E+01  -0.567840E+01   0.420261E+01  -0.105809E+02  -0.393586E+02  -0.993084E+01   0.172848E-02   0.959804E-02   0.103625E-01   0.301078E-02   0.216119E-02   0.300788E+03
   0.328377E+02   0.112923E+02   0.232167E+01   0.193581E+02   0.188207E+02   0.109248E+02   0.158130E+01   0.601552E+01  -0.154504E+02  -0.332994E+02  -0.557710E+01   0.344272E-02   0.156990E-01   0.404491E-02   0.144766E-02   0.165319E-02   0.292321E+03
   0.326552E+02   0.105982E+02   0.332184E+01   0.153263E+02   0.203483E+02   0.843908E+01   0.359583E+01  -0.673135E+00  -0.989893E+01  -0.341763E+02  -0.362507E+01   0.206489E-02   0.700826E-02   0.122361E-01   0.201144E-01   0.165319E-02   0.297128E+03
   0.332403E+02   0.100765E+02   0.438439E+01   0.121265E+02   0.199362E+02   0.800647E+01   0.394997E+01   0.594526E+00  -0.131965E+02  -0.406478E+02  -0.803778E+01   0.335517E-02   0.420791E-03   0.302958E-01   0.288668E-02   0.521621E-03   0.294012E+03
   0.322437E+02   0.107515E+02   0.987923E-01   0.119089E+02   0.197834E+02   0.120883E+02  -0.732118E+00   0.142139E+01  -0.131965E+02  -0.323990E+02  -0.583144E+01   0.162277E-02   0.162587E-02   0.222416E-01   0.502834E-03   0.570055E-02   0.297701E+03
   0.327237E+02   0.113238E+02   0.161206E+01   0.979053E+01   0.214503E+02   0.141847E+02  -0.834524E+00  -0.589145E+01  -0.104755E+02  -0.311223E+02  -0.596034E+01   0.796704E-03   0.828788E-03   0.582239E-03   0.155570E-01   0.499094E-03   0.301638E+03
   0.327654E+02   0.116196E+02   0.147094E+01   0.979053E+01   0.206572E+02   0.144593E+02   0.869032E+00  -0.450702E+01  -0.101801E+02  -0.339700E+02  -0.582375E+01   0.743665E-02   0.229725E-01   0.182016E-01   0.239119E-01   0.160067E-01   0.294797E+03
   0.337638E+02   0.116041E+02   0.353107E+00   0.927614E+01   0.209797E+02   0.143639E+02   0.232315E+01  -0.839209E+01  -0.129295E+02  -0.339927E+02  -0.745773E+01   0.960204E-03   0.244194E-02   0.691895E-02   0.499302E-02   0.472994E-02   0.301234E+03
   0.333907E+02   0.124000E+02   0.353107E+00   0.105475E+02   0.209797E+02   0.146281E+02   0.579660E+00  -0.863339E+01  -0.137083E+02  -0.317273E+02  -0.107197E+02   0.137231E-02   0.299979E-02   0.550861E-02   0.168460E-01   0.137872E-01   0.299133E+03
   0.335959E+02   0.127303E+02   0.264547E+01   0.937321E+01   0.209745E+02   0.160052E+02   0.210610E+01  -0.105780E+02  -0.140075E+02  -0.330968E+02  -0.827973E+01   0.273133E-02   0.531553E-02   0.216613E-04   0.135941E-02   0.221059E-01   0.299919E+03
   0.335959E+02   0.124649E+02   0.938223E+00   0.124470E+02   0.208133E+02   0.171817E+02   0.269634E+01  -0.186242E+01  -0.131275E+02  -0.336335E+02  -0.110777E+02   0.525537E-03   0.488725E-02   0.153729E-01   0.216059E-03   0.436652E-02   0.295760E+03
   0.334129E+02   0.136442E+02   0.179459E+01   0.114618E+02   0.206854E+02   0.153260E+02   0.276266E+01  -0.643420E+01  -0.166855E+02  -0.328258E+02  -0.102435E+02   0.467984E-02   0.651438E-02   0.268156E-01   0.845151E-02   0.143687E-01   0.297077E+03
   0.339306E+02   0.126521E+02   0.302659E+01   0.758248E+01   0.207234E+02   0.165349E+02   0.928509E+01  -0.892753E+01  -0.142952E+02  -0.343635E+02   0.197145E+01   0.351462E-02   0.133776E-01   0.113434E-01   0.131479E-01   0.103024E-01   0.293821E+03
   0.335657E+02   0.126225E+02   0.450762E+01   0.121380E+02   0.197744E+02   0.146258E+02  -0.900753E+00  -0.310247E+01  -0.159907E+02  -0.364521E+02  -0.335965E+01   0.482797E-02   0.868739E-03   0.339919E-02   0.559165E-02   0.135155E-01   0.298384E+03
   0.335693E+02   0.125050E+02   0.543955E+01   0.126989E+02   0.199496E+02   0.127949E+02   0.383314E+01  -0.447317E+01  -0.131541E+02  -0.384120E+02  -0.656931E+01   0.849124E-02   0.552118E-01   0.599935E-02   0.153526E-02   0.106139E-01   0.294829E+03
   0.332739E+02   0.125373E+02   0.288543E+01   0.118900E+02   0.203123E+02   0.104801E+02   0.257677E+01  -0.446055E+01  -0.179832E+02  -0.374170E+02  -0.780315E+01   0.177867E-03   0.373234E-01   0.450047E-02   0.402199E-02   0.172145E-01   0.297385E+03
   0.330469E+02   0.115537E+02   0.514745E+01   0.108554E+02   0.182729E+02   0.104801E+02  -0.982562E+00  -0.920143E+01  -0.116962E+02  -0.387599E+02  -0.883924E+01   0.129352E-02   0.217549E-01   0.256137E-01   0.158105E-01   0.155696E-01   0.295176E+03
   0.330469E+02   0.108752E+02   0.435842E+01   0.103773E+02   0.198399E+02   0.100680E+02   0.936776E+00  -0.791569E+01  -0.105409E+02  -0.399167E+02  -0.107595E+02   0.146625E-02   0.170785E-02   0.955828E-02   0.957502E-02   0.225117E-02   0.301358E+03
   0.333797E+02   0.114624E+02   0.886170E+00   0.106208E+02   0.191957E+02   0.152482E+02  -0.436690E+00  -0.682816E+01  -0.113841E+02  -0.351757E+02  -0.943235E+01   0.201575E-02   0.272192E-02   0.105402E-01   0.779696E-02   0.311357E-02   0.301010E+03
   0.333797E+02   0.123470E+02   0.707747E+00   0.106208E+02   0.210356E+02   0.120262E+02  -0.289448E+01  -0.887169E+01  -0.127876E+02  -0.337083E+02  -0.624553E+01   0.224944E-02   0.896552E-02   0.439047E-02   0.897065E-02   0.128864E-01   0.299851E+03
   0.339909E+02   0.123470E+02   0.160000E+01   0.115880E+02   0.186347E+02   0.164049E+02  -0.286207E+01  -0.107064E+02  -0.163177E+02  -0.298931E+02  -0.147704E+02   0.234446E-02   0.319446E-02   0.439047E-02   0.293707E-02   0.117162E-01   0.297121E+03
