X1_obs         X2_obs         X3_obs         X4_obs         X1_true        X2_true        X3_true        X4_true        Y1_obs         Y2_obs         Y3_obs         Y4_obs         Y5_obs         Y1_unbiased    Y2_unbiased    Y3_unbiased    Y4_unbiased    Y5_unbiased    Y1_sim         Y2_sim         Y3_sim         Y4_sim         Y5_sim         Y1_res         Y2_res         Y3_res         Y4_res         Y5_res         Y1_stdres      Y2_stdres      Y3_stdres      Y4_stdres      Y5_stdres      
   0.100000E+01   0.100000E+01   0.660172E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.660172E+02   0.432000E+05   0.237652E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237652E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237645E+03   0.114000E+02   0.670171E+00   0.169615E+02   0.300000E+02   0.664478E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.132366E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.710619E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.710619E+02   0.432000E+05   0.237654E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237654E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237616E+03   0.114000E+02   0.693150E+00   0.169615E+02   0.300000E+02   0.375449E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.747906E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.742142E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.742142E+02   0.432000E+05   0.237606E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237606E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237599E+03   0.114000E+02   0.706232E+00   0.169615E+02   0.300000E+02   0.665002E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.132470E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.827127E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.827127E+02   0.432000E+05   0.237551E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237551E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237555E+03   0.114000E+02   0.739142E+00   0.191272E+02   0.300000E+02  -0.422156E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.840947E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.899986E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.899986E+02   0.432000E+05   0.237490E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237490E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237516E+03   0.114000E+02   0.772359E+00   0.216897E+02   0.300000E+02  -0.256860E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.511673E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.943654E+02   0.432000E+05   0.100000E+01   0.100000E+01   0.943654E+02   0.432000E+05   0.237469E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237469E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237493E+03   0.114000E+02   0.790863E+00   0.216897E+02   0.300000E+02  -0.241793E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.481659E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.100275E+03   0.432000E+05   0.100000E+01   0.100000E+01   0.100275E+03   0.432000E+05   0.237459E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237459E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237464E+03   0.114000E+02   0.813925E+00   0.242879E+02   0.300000E+02  -0.511133E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.101819E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.106892E+03   0.432000E+05   0.100000E+01   0.100000E+01   0.106892E+03   0.432000E+05   0.237426E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237426E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237434E+03   0.114000E+02   0.836244E+00   0.242879E+02   0.300000E+02  -0.757849E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.150966E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.113137E+03   0.432000E+05   0.100000E+01   0.100000E+01   0.113137E+03   0.432000E+05   0.237397E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237397E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237407E+03   0.114000E+02   0.853665E+00   0.266478E+02   0.300000E+02  -0.970776E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.193381E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.117892E+03   0.432000E+05   0.100000E+01   0.100000E+01   0.117892E+03   0.432000E+05   0.237395E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237395E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237387E+03   0.114000E+02   0.864330E+00   0.266478E+02   0.300000E+02   0.753357E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.150071E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.123836E+03   0.432000E+05   0.100000E+01   0.100000E+01   0.123836E+03   0.432000E+05   0.237360E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237360E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237365E+03   0.114000E+02   0.874968E+00   0.285759E+02   0.300000E+02  -0.465454E-02  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.927198E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
   0.100000E+01   0.100000E+01   0.130490E+03   0.432000E+05   0.100000E+01   0.100000E+01   0.130490E+03   0.432000E+05   0.237354E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237354E+03  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.237341E+03   0.114000E+02   0.883343E+00   0.285759E+02   0.300000E+02   0.133781E-01  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04   0.266495E+00  -0.999900E+04  -0.999900E+04  -0.999900E+04  -0.999900E+04
