Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.292874E+02  0.134367E+01 -0.789006E+01  0.439810E+01  0.113208E+02  0.583041E+01 -0.397742E+01 -0.560349E+01  0.367179E+01 -0.140892E+02 -0.195728E+01  0.153530E-01  0.796837E-02  0.380136E-04  0.105728E-01  0.227010E-01  0.273297E+03
  0.292874E+02  0.134367E+01 -0.836272E+01  0.439810E+01  0.113208E+02  0.583041E+01 -0.399389E+01 -0.352681E+01 -0.204042E+01 -0.140892E+02 -0.195728E+01  0.153530E-01  0.785976E-02  0.753907E-03  0.111752E-01  0.235281E-01  0.273078E+03
  0.292874E+02  0.290271E+01 -0.836272E+01  0.429626E+01  0.113208E+02  0.114953E+02 -0.399389E+01 -0.923827E+00 -0.204042E+01 -0.188899E+02 -0.263543E+01  0.138774E-01  0.569275E-02  0.753907E-03  0.905780E-02  0.241939E-01  0.277826E+03
  0.292874E+02  0.290271E+01 -0.836272E+01  0.429626E+01  0.113208E+02  0.916744E+01 -0.399389E+01 -0.923827E+00 -0.204042E+01 -0.188899E+02  0.116798E+01  0.138774E-01  0.501216E-02  0.106353E-02  0.877215E-02  0.243675E-01  0.280087E+03
  0.292874E+02  0.285692E+01 -0.836272E+01  0.429626E+01  0.113208E+02  0.916744E+01 -0.229388E+01 -0.923827E+00 -0.204042E+01 -0.188899E+02  0.116798E+01  0.138774E-01  0.550684E-02  0.113509E-02  0.791245E-02  0.240335E-01  0.280337E+03
  0.292874E+02  0.285692E+01 -0.836272E+01  0.284806E+01  0.113208E+02  0.916744E+01 -0.229388E+01 -0.923827E+00 -0.204042E+01 -0.157277E+02  0.445207E-01  0.138774E-01  0.592415E-02  0.113509E-02  0.849880E-02  0.247342E-01  0.278524E+03
  0.284787E+02  0.274688E+01 -0.836272E+01  0.284806E+01  0.113208E+02  0.916744E+01 -0.229388E+01 -0.747471E+00 -0.204042E+01 -0.163592E+02 -0.202302E+01  0.137450E-01  0.745411E-02  0.387541E-03  0.849880E-02  0.252259E-01  0.277815E+03
  0.284787E+02  0.274688E+01 -0.836272E+01  0.104928E+01  0.109202E+02  0.105395E+02 -0.229388E+01 -0.747471E+00 -0.263065E+01 -0.163592E+02 -0.202302E+01  0.133793E-01  0.837912E-02  0.387541E-03  0.893811E-02  0.246799E-01  0.275200E+03
  0.284787E+02  0.274688E+01 -0.830352E+01  0.104928E+01  0.109202E+02  0.105395E+02 -0.347641E+01 -0.256586E+01 -0.263065E+01 -0.163592E+02  0.113396E+01  0.125561E-01  0.828180E-02  0.831287E-03  0.867580E-02  0.241042E-01  0.278174E+03
  0.284787E+02  0.331986E+01 -0.830352E+01  0.104928E+01  0.109202E+02  0.848354E+01 -0.347641E+01 -0.256586E+01 -0.103007E+01 -0.163592E+02  0.113396E+01  0.125561E-01  0.894471E-02  0.831287E-03  0.788202E-02  0.234646E-01  0.278876E+03
  0.284787E+02  0.331986E+01 -0.736751E+01  0.104928E+01  0.109202E+02  0.848354E+01 -0.282296E+01 -0.473564E+01  0.121260E+01 -0.153559E+02  0.113396E+01  0.129382E-01  0.894471E-02  0.831287E-03  0.741582E-02  0.233596E-01  0.278121E+03
  0.287891E+02  0.331986E+01 -0.736751E+01  0.104928E+01  0.109202E+02  0.664501E+01 -0.282296E+01 -0.473564E+01 -0.374313E+01 -0.153559E+02  0.113396E+01  0.135069E-01  0.101531E-01  0.168318E-02  0.783837E-02  0.233222E-01  0.277847E+03
  0.287891E+02  0.331986E+01 -0.807560E+01  0.338157E+01  0.109202E+02  0.664501E+01 -0.135260E+01 -0.309170E+01 -0.374313E+01 -0.153559E+02  0.113396E+01  0.125268E-01  0.100822E-01  0.196187E-02  0.910706E-02  0.246106E-01  0.279666E+03
  0.287891E+02  0.331986E+01 -0.639254E+01  0.338157E+01  0.109202E+02  0.664501E+01 -0.193925E+01 -0.175608E+01 -0.374313E+01 -0.219763E+02  0.526231E+01  0.136530E-01  0.102219E-01  0.381732E-02  0.868085E-02  0.232709E-01  0.279286E+03
  0.295587E+02  0.331986E+01 -0.639254E+01  0.338157E+01  0.109202E+02  0.744384E+01  0.136084E+00 -0.175608E+01 -0.374313E+01 -0.219763E+02  0.964269E-01  0.120213E-01  0.989239E-02  0.401530E-02  0.744605E-02  0.237919E-01  0.282671E+03
  0.289840E+02  0.331986E+01 -0.419440E+01  0.338157E+01  0.109202E+02  0.915190E+01  0.136084E+00 -0.175608E+01 -0.374313E+01 -0.219763E+02  0.964269E-01  0.945814E-02  0.103559E-01  0.401530E-02  0.799864E-02  0.237919E-01  0.285845E+03
  0.289840E+02  0.331986E+01 -0.419440E+01  0.338157E+01  0.109202E+02  0.731859E+01 -0.812988E+00 -0.152602E+01 -0.374313E+01 -0.219763E+02  0.964269E-01  0.952325E-02  0.119120E-01  0.243465E-02  0.908604E-02  0.254041E-01  0.285086E+03
  0.289840E+02  0.331986E+01 -0.419440E+01  0.298510E+01  0.109202E+02  0.731859E+01 -0.812988E+00 -0.152602E+01 -0.209843E+01 -0.251483E+02  0.484303E+01  0.985852E-02  0.112862E-01  0.110843E-02  0.756295E-02  0.254121E-01  0.283584E+03
  0.289840E+02  0.331986E+01 -0.419440E+01  0.298510E+01  0.109202E+02  0.731859E+01 -0.812988E+00 -0.152602E+01 -0.419983E+01 -0.257101E+02  0.484303E+01  0.976135E-02  0.117621E-01  0.287625E-02  0.819895E-02  0.245874E-01  0.284208E+03
  0.289840E+02  0.331986E+01 -0.419440E+01  0.298510E+01  0.109202E+02  0.731859E+01 -0.812988E+00 -0.152602E+01 -0.419983E+01 -0.257101E+02  0.253723E+01  0.976135E-02  0.133023E-01  0.421965E-02  0.591908E-02  0.245858E-01  0.285513E+03
  0.289840E+02  0.331986E+01 -0.419440E+01  0.298510E+01  0.109202E+02  0.731859E+01 -0.298118E+00 -0.152602E+01 -0.419983E+01 -0.257101E+02  0.253723E+01  0.991301E-02  0.123191E-01  0.365906E-02  0.526822E-02  0.246357E-01  0.285873E+03
