a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.101404E+03   0.135800E+02   0.872120E-03   0.110802E+02   0.130799E+02   0.116218E+02   0.163611E+02   0.339671E+02
   0.100396E+03   0.435978E+00   0.134186E-03   0.792929E+01   0.959091E+01   0.149931E+02   0.167142E+02   0.395728E+02
   0.988784E+02  -0.430190E+01   0.134186E-03   0.886722E+01   0.100877E+02   0.194007E+02   0.106589E+02   0.370857E+02
   0.988784E+02   0.133182E+01   0.388430E-03   0.100050E+02   0.124075E+02   0.229902E+02   0.175041E+02   0.362965E+02
   0.977423E+02   0.119138E+01   0.238782E-03   0.107503E+02   0.102052E+02   0.153286E+02   0.181291E+02   0.389909E+02
   0.984423E+02   0.854658E+01   0.220436E-03   0.110520E+02   0.125633E+02   0.168584E+02   0.173402E+02   0.381733E+02
   0.982667E+02  -0.588778E+01   0.515595E-03   0.951168E+01   0.117247E+02   0.150127E+02   0.174421E+02   0.367682E+02
   0.100270E+03   0.138517E+01   0.522825E-03   0.724734E+01   0.108468E+02   0.112277E+02   0.156097E+02   0.375885E+02
   0.100280E+03   0.281526E+01   0.398036E-03   0.835214E+01   0.912627E+01   0.108144E+02   0.136212E+02   0.386182E+02
   0.989744E+02   0.234959E+01   0.289305E-03   0.159801E+02   0.101183E+02   0.177024E+02   0.106979E+02   0.357576E+02
   0.102172E+03   0.398533E+01   0.309708E-03   0.108707E+02   0.106240E+02   0.166529E+02   0.165731E+02   0.365884E+02
   0.997660E+02   0.922617E+01   0.309708E-03   0.163909E+02   0.106240E+02   0.126156E+02   0.119010E+02   0.352290E+02
   0.100136E+03  -0.272001E+01   0.573463E-03   0.101267E+02   0.127479E+02   0.127351E+02   0.199497E+02   0.366391E+02
   0.100136E+03   0.585121E+01   0.854018E-04   0.117564E+02   0.820734E+01   0.170648E+02   0.213704E+02   0.372115E+02
   0.996065E+02  -0.155830E+01   0.459348E-03   0.133814E+02   0.127665E+02   0.173805E+02   0.154147E+02   0.369369E+02
   0.996065E+02   0.506494E+01   0.341691E-03   0.132967E+02   0.887838E+01   0.175358E+02   0.145263E+02   0.384790E+02
   0.966684E+02   0.511911E+01   0.686739E-04   0.828072E+01   0.887838E+01   0.148955E+02   0.139213E+02   0.383536E+02
   0.980636E+02  -0.247746E+01   0.779134E-03   0.107596E+02   0.106473E+02   0.147786E+02   0.189266E+02   0.368639E+02
   0.979107E+02   0.524616E+01   0.787688E-04   0.932160E+01   0.109919E+02   0.123134E+02   0.166498E+02   0.396199E+02
   0.980775E+02   0.963894E+01   0.774653E-03   0.844311E+01   0.118355E+02   0.177919E+02   0.146755E+02   0.369447E+02
   0.984657E+02   0.288066E+01   0.485505E-03   0.100732E+02   0.114114E+02   0.141998E+02   0.154581E+02   0.395377E+02
   0.980139E+02   0.598518E+01   0.485505E-03   0.868797E+01   0.955513E+01   0.148740E+02   0.163472E+02   0.393464E+02
   0.966628E+02   0.114198E+01   0.105809E-03   0.108824E+02   0.105372E+02   0.149598E+02   0.163472E+02   0.377580E+02
   0.100776E+03   0.211861E+01   0.259543E-03   0.100540E+02   0.105167E+02   0.134535E+02   0.180692E+02   0.389886E+02
   0.967154E+02  -0.272031E+01   0.434560E-03   0.909529E+01   0.105167E+02   0.165781E+02   0.158738E+02   0.363953E+02
   0.990231E+02   0.112369E+01   0.181744E-03   0.948761E+01   0.985647E+01   0.123463E+02   0.141787E+02   0.404777E+02
   0.962294E+02   0.612754E+01   0.469904E-03   0.103737E+02   0.122237E+02   0.136666E+02   0.153830E+02   0.367106E+02
   0.101832E+03  -0.201022E+01   0.116917E-03   0.836298E+01   0.878442E+01   0.177835E+02   0.183457E+02   0.367533E+02
   0.961366E+02   0.139225E+02   0.107317E-02   0.102051E+02   0.878442E+01   0.158731E+02   0.174865E+02   0.343654E+02
   0.990636E+02   0.655123E+01   0.612648E-03   0.140850E+02   0.869240E+01   0.170388E+02   0.169515E+02   0.368411E+02
   0.100589E+03   0.295776E+01   0.142146E-03   0.103818E+02   0.137526E+02   0.189924E+02   0.168960E+02   0.371823E+02
   0.100589E+03   0.678023E+01   0.348247E-03   0.104989E+02   0.992573E+01   0.217153E+02   0.139283E+02   0.371697E+02
   0.101367E+03   0.538571E+01   0.626507E-04   0.972960E+01   0.832922E+01   0.121708E+02   0.153034E+02   0.381643E+02
